Id;Label;timeset;attr_type;global_occurrences;modularity_class;componentnumber;Degree;Eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality
authors_d40ecdd95bb5c0206ea0c9556b86c78d;anzani anna;"<[2003.0, 2004.0]; [2004.0, 2005.0]; [2005.0, 2006.0]; [2006.0, 2007.0]; [2007.0, 2008.0]; [2008.0, 2009.0]; [2009.0, 2010.0]; [2010.0, 2011.0]; [2011.0, 2012.0]; [2012.0, 2013.0]; [2013.0, 2014.0]; [2014.0, 2015.0]; [2015.0, 2016.0]; [2016.0, 2017.0]; [2017.0, 2018.0]>";<[-Infinity, Infinity, authors]>;<[-Infinity, Infinity, 100]>;37;0;89;6;0.252811;0.285096;172670.275331
authors_001a45c6dc08e6ffe29d5b0cfcd1f7a9;binda luigia;"<[2003.0, 2004.0]; [2004.0, 2005.0]; [2005.0, 2006.0]; [2006.0, 2007.0]; [2007.0, 2008.0]; [2008.0, 2009.0]; [2009.0, 2010.0]; [2010.0, 2011.0]; [2011.0, 2012.0]>";<[-Infinity, Infinity, authors]>;<[-Infinity, Infinity, 62]>;37;0;46;7;0.202497;0.222744;411.166667
authors_a922622ca09efbd6ee4d8e9288779d9c;condoleo paola;"<[2007.0, 2008.0]; [2008.0, 2009.0]; [2009.0, 2010.0]; [2010.0, 2011.0]; [2011.0, 2012.0]; [2012.0, 2013.0]; [2013.0, 2014.0]; [2015.0, 2016.0]>";<[-Infinity, Infinity, authors]>;<[-Infinity, Infinity, 14]>;37;0;20;7;0.214389;0.231974;2426.108923
authors_fb3d9815ea1465d8bfbe31b9b9e0a369;saisi antonella elide;"<[2003.0, 2004.0]; [2004.0, 2005.0]; [2005.0, 2006.0]; [2006.0, 2007.0]; [2007.0, 2008.0]; [2008.0, 2009.0]; [2009.0, 2010.0]; [2011.0, 2012.0]>";<[-Infinity, Infinity, authors]>;<[-Infinity, Infinity, 19]>;37;0;18;7;0.202069;0.217512;22.983333
authors_93f21a3f50eb9d398bbce9d31c4a2c0b;tedeschi cristina;"<[2004.0, 2005.0]; [2006.0, 2007.0]; [2007.0, 2008.0]>";<[-Infinity, Infinity, authors]>;<[-Infinity, Infinity, 5]>;37;0;16;7;0.202039;0.217138;14.983333
authors_5b5c00f10e3df5ce184bc5610473a2c7;cardani giuliana;"<[2005.0, 2006.0]; [2006.0, 2007.0]; [2007.0, 2008.0]; [2008.0, 2009.0]; [2009.0, 2010.0]; [2010.0, 2011.0]>";<[-Infinity, Infinity, authors]>;<[-Infinity, Infinity, 15]>;37;0;15;7;0.202023;0.216951;19.25
authors_81215c63169eecf7feeb48daabe62c1b;cantini lorenzo;"<[2006.0, 2007.0]; [2007.0, 2008.0]; [2008.0, 2009.0]; [2010.0, 2011.0]; [2011.0, 2012.0]; [2015.0, 2016.0]>";<[-Infinity, Infinity, authors]>;<[-Infinity, Infinity, 9]>;37;0;12;7;0.201978;0.216391;10.7
authors_df8810baa060669e32564edf43e91828;g. baronio;<[2004.0, 2005.0]>;<[-Infinity, Infinity, authors]>;<[-Infinity, Infinity, 1]>;37;0;11;7;0.201962;0.216204;0
authors_bf6e930e328e1c246be13ec7726c6157;g. mirabella roberti;"<[2003.0, 2004.0]; [2004.0, 2005.0]>";<[-Infinity, Infinity, authors]>;<[-Infinity, Infinity, 2]>;37;0;11;7;0.201962;0.216204;0
authors_d1afc1f78b2c976ad34b84db538f32e2;gentile carmelo;<[2004.0, 2005.0]>;<[-Infinity, Infinity, authors]>;<[-Infinity, Infinity, 1]>;37;0;11;7;0.201962;0.216204;0
authors_bf8107ecef9fb60ddb747053255b534c;m. falco;<[2004.0, 2005.0]>;<[-Infinity, Infinity, authors]>;<[-Infinity, Infinity, 1]>;37;0;11;7;0.201962;0.216204;0
authors_178d510e69b52cb5c0296f2afe830dc0;m. r. tongini folli;<[2004.0, 2005.0]>;<[-Infinity, Infinity, authors]>;<[-Infinity, Infinity, 1]>;37;0;11;7;0.201962;0.216204;0
authors_edb141ba3874bbc9b12a12bf1f034507;poggi carlo;<[2004.0, 2005.0]>;<[-Infinity, Infinity, authors]>;<[-Infinity, Infinity, 1]>;37;0;11;7;0.201962;0.216204;0
authors_d271238923e590b30b282cd71996bd84;tiraboschi claudia;<[2004.0, 2005.0]>;<[-Infinity, Infinity, authors]>;<[-Infinity, Infinity, 1]>;37;0;11;7;0.201962;0.216204;0
authors_4b88f88fdbafb28f6fdfef80228a096b;zasso alberto;<[2004.0, 2005.0]>;<[-Infinity, Infinity, authors]>;<[-Infinity, Infinity, 1]>;37;0;11;7;0.201962;0.216204;0
authors_f94a0c85d62756d3b090988f53366e65;baila a.;"<[2003.0, 2004.0]; [2004.0, 2005.0]; [2005.0, 2006.0]; [2012.0, 2013.0]>";<[-Infinity, Infinity, authors]>;<[-Infinity, Infinity, 6]>;37;0;9;7;0.2142;0.229918;688.653243
authors_a91025befc26ef8c5343e84621abd4e3;augelli francesco;"<[2011.0, 2012.0]; [2015.0, 2016.0]>";<[-Infinity, Infinity, authors]>;<[-Infinity, Infinity, 2]>;37;0;7;7;0.201901;0.215457;1
authors_24abd64c52d6c21d03c78e1803a096df;taliercio alberto;"<[2005.0, 2006.0]; [2008.0, 2009.0]; [2010.0, 2011.0]>";<[-Infinity, Infinity, authors]>;<[-Infinity, Infinity, 6]>;37;0;7;7;0.201901;0.215457;3
authors_e1dd6e66f5a5eab7265c8ccff1bd138a;a. baila;"<[2013.0, 2014.0]; [2014.0, 2015.0]>";<[-Infinity, Infinity, authors]>;<[-Infinity, Infinity, 4]>;37;0;6;7;0.214149;0.229358;310.019214
authors_f7499e6a05d6b57364335c7d5e4daf86;gobbo antonia;"<[2010.0, 2011.0]; [2015.0, 2016.0]>";<[-Infinity, Infinity, authors]>;<[-Infinity, Infinity, 3]>;37;0;6;7;0.201886;0.21527;0.916667
authors_8920c22295ea5aa78eec8a9a99315625;zanzi luigi;"<[2006.0, 2007.0]; [2008.0, 2009.0]>";<[-Infinity, Infinity, authors]>;<[-Infinity, Infinity, 2]>;37;0;6;7;0.201886;0.21527;0.75
authors_669fa30d7ea9639bd547bc80763154e7;a. carpinteri;"<[2008.0, 2009.0]; [2010.0, 2011.0]>";<[-Infinity, Infinity, authors]>;<[-Infinity, Infinity, 2]>;37;0;5;7;0.201871;0.215083;0.25
authors_c076383fa25f549df0ca3fd046a5903f;a. gobbo;<[2011.0, 2012.0]>;<[-Infinity, Infinity, authors]>;<[-Infinity, Infinity, 1]>;37;0;5;7;0.201871;0.215083;0
authors_fba7a051a9fa3c7a64908f266f4ff2b3;angela baila;<[2013.0, 2014.0]>;<[-Infinity, Infinity, authors]>;<[-Infinity, Infinity, 3]>;37;0;5;7;0.201871;0.215083;1.5
authors_8659f51bec084165ff61bc210c2a049d;bamonte patrick;"<[2012.0, 2013.0]; [2013.0, 2014.0]>";<[-Infinity, Infinity, authors]>;<[-Infinity, Infinity, 2]>;37;0;5;7;0.201871;0.215083;0.25
authors_921c3fd4b3155f27ad000a398cac6f85;carpinteri a.;"<[2007.0, 2008.0]; [2008.0, 2009.0]>";<[-Infinity, Infinity, authors]>;<[-Infinity, Infinity, 3]>;37;0;5;7;0.201871;0.215083;0.25
authors_bfa8cbc2929718cc15bf9a11e061c96c;claudio modena;<[2010.0, 2011.0]>;<[-Infinity, Infinity, authors]>;<[-Infinity, Infinity, 1]>;37;0;5;7;0.201871;0.215083;0
authors_dadf107dd7c962777e6826f72bf250df;fontana alberto;"<[2003.0, 2004.0]; [2004.0, 2005.0]; [2005.0, 2006.0]; [2006.0, 2007.0]>";<[-Infinity, Infinity, authors]>;<[-Infinity, Infinity, 5]>;37;0;5;7;0.201871;0.215083;0.666667
authors_be968882f2ba6623c4e0b4dac5b3137f;g. e. massetti;<[2007.0, 2008.0]>;<[-Infinity, Infinity, authors]>;<[-Infinity, Infinity, 1]>;37;0;5;7;0.201871;0.215083;0
authors_0050ad09c4965e709e80d25e30846a40;g. lacidogna;"<[2008.0, 2009.0]; [2010.0, 2011.0]>";<[-Infinity, Infinity, authors]>;<[-Infinity, Infinity, 2]>;37;0;5;7;0.201871;0.215083;0.25
authors_c83a2d2ddd94d779be486840579144b0;j. pina henriques;"<[2003.0, 2004.0]; [2004.0, 2005.0]; [2006.0, 2007.0]>";<[-Infinity, Infinity, authors]>;<[-Infinity, Infinity, 3]>;37;0;5;7;0.201871;0.215083;0.666667
authors_e7cb9cbed4749a92ddd17c6ca3e14a41;lacidogna g.;"<[2007.0, 2008.0]; [2008.0, 2009.0]>";<[-Infinity, Infinity, authors]>;<[-Infinity, Infinity, 3]>;37;0;5;7;0.201871;0.215083;0.25
authors_1162777be474fbf7486b54b5916100dc;m. a. ramalho;"<[2005.0, 2006.0]; [2008.0, 2009.0]>";<[-Infinity, Infinity, authors]>;<[-Infinity, Infinity, 3]>;37;0;5;7;0.201871;0.215083;0.25
authors_23dfc5552dc0319082a5bd56990481c4;marco munari;<[2010.0, 2011.0]>;<[-Infinity, Infinity, authors]>;<[-Infinity, Infinity, 1]>;37;0;5;7;0.201871;0.215083;0
authors_7b341f5a500fe5bbf473913f52fa4654;maria rosa valluzzi;<[2010.0, 2011.0]>;<[-Infinity, Infinity, authors]>;<[-Infinity, Infinity, 1]>;37;0;5;7;0.201871;0.215083;0
authors_838f53ed64e825e50df9b907e83620c7;mastropirro roberta;<[2015.0, 2016.0]>;<[-Infinity, Infinity, authors]>;<[-Infinity, Infinity, 1]>;37;0;5;7;0.201871;0.215083;0
authors_1807cb1d2866ac82620ab9e3b136fbf7;penazzi daniela;"<[2004.0, 2005.0]; [2005.0, 2006.0]>";<[-Infinity, Infinity, authors]>;<[-Infinity, Infinity, 4]>;37;0;5;7;0.201871;0.215083;0
