Source,Target,Type,Id,Label,timeset,Weight,attr_type,matchings_count,spanningtree
innercoauthorsid_6d94e28a25364b3e5df77a83e79cf5f9,innercoauthorsid_2cb20de08b39870f2c29b240637fbe31,Undirected,20574,,,1,pubLink,1,1
innercoauthorsid_e55dc1043868d6912d065ed282488f0f,innercoauthorsid_48a045f16cb0722d4eca2e181580ee45,Undirected,20575,,,1,pubLink,1,1
innercoauthorsid_e55dc1043868d6912d065ed282488f0f,innercoauthorsid_673103104e500868697f65f5bd86ccb4,Undirected,20576,,,1,pubLink,1,0
innercoauthorsid_e55dc1043868d6912d065ed282488f0f,innercoauthorsid_0dfd4e25dce60a5cc218846b9b53bf76,Undirected,20577,,,3,pubLink,3,0
innercoauthorsid_e55dc1043868d6912d065ed282488f0f,innercoauthorsid_9e322fb38ee000946a9f5348a0270c37,Undirected,20578,,,1,pubLink,1,1
innercoauthorsid_e55dc1043868d6912d065ed282488f0f,innercoauthorsid_6633870c9946991b7116c820829784e4,Undirected,20579,,,1,pubLink,1,1
innercoauthorsid_e55dc1043868d6912d065ed282488f0f,innercoauthorsid_9a7b1bf5998d74294cb8835408946a8f,Undirected,20580,,,1,pubLink,1,0
innercoauthorsid_e55dc1043868d6912d065ed282488f0f,innercoauthorsid_2ee065f4ecbfc1683fd583bee28ba091,Undirected,20581,,,2,pubLink,2,0
innercoauthorsid_e55dc1043868d6912d065ed282488f0f,innercoauthorsid_92737f7ef3b591314b5464c85a3efe0e,Undirected,20582,,,2,pubLink,2,0
innercoauthorsid_83460659537eb1bd9a0c96ea6f49c732,innercoauthorsid_72c38c562121c8a12f00b12956d613d3,Undirected,20583,,,2,pubLink,2,0
innercoauthorsid_83460659537eb1bd9a0c96ea6f49c732,innercoauthorsid_e2fcc11406b92d78b9cc0945871a0985,Undirected,20584,,,1,pubLink,1,0
innercoauthorsid_83460659537eb1bd9a0c96ea6f49c732,innercoauthorsid_1664578a6da0e8baa02742174237839e,Undirected,20585,,,1,pubLink,1,0
innercoauthorsid_83460659537eb1bd9a0c96ea6f49c732,innercoauthorsid_444623ff4cd1583769325f57f6c7c9ae,Undirected,20586,,,2,pubLink,2,0
innercoauthorsid_83460659537eb1bd9a0c96ea6f49c732,innercoauthorsid_4d603d98cef8cb83a139409c5fa72c49,Undirected,20587,,,1,pubLink,1,0
innercoauthorsid_83460659537eb1bd9a0c96ea6f49c732,innercoauthorsid_ea02744415f52d6b1eefe3d112b02089,Undirected,20588,,,1,pubLink,1,0
innercoauthorsid_83460659537eb1bd9a0c96ea6f49c732,innercoauthorsid_24edd4b71b8c78fa2b9c5b7ffead9f14,Undirected,20589,,,1,pubLink,1,1
innercoauthorsid_83460659537eb1bd9a0c96ea6f49c732,innercoauthorsid_4114cb5c0bfc824cd92f4511f2e32efa,Undirected,20590,,,2,pubLink,2,0
innercoauthorsid_83460659537eb1bd9a0c96ea6f49c732,innercoauthorsid_49b39d44272b2bec0de0176cf4d4f068,Undirected,20591,,,1,pubLink,1,0
