dc.relation.medium,dc.date.issued,dc.type.full,dc.type.circulation,dc.relation.ispartofbook,item.collection,dc.publisher.place,dc.identifier.uri,dc.publisher.country,dc.title,dc.relation.conferenceplace,dc.subject.keywords,dc.description.numberofauthors,item.openaireRights,dc.language.iso,dc.publisher.name,dc.relation.conferencename,dc.description.allpeople,dc.subject.keywordsita
-0,1989,07 ALTRO::07.13 Progetti,-0,-0,07.13 Progetti,-0,http://hdl.handle.net/11311/640518,-0,Lampada Tolomeo,Milano,-0,1,-0,ita;eng,ADI - Associazione per il Disegno Industriale,Compasso d'Oro,M. De Lucchi,-0
-0,1993,07 ALTRO::07.12 Altro,nazionale,"Paper (draft) per la ricerca MURST UdR Prodotto, progetto, ambiente",-0,-0,http://hdl.handle.net/11311/533539,-0,"Design for Assembly,",-0,"Robust design design a basso impatto ambientale. Processi, assemblaggi e disassemblaggi dei prodotti industriali.",1,none,-0,-0,-0,"Bruno, DAVIDE MARIA",-0
-0,1994,07 ALTRO::07.12 Altro,-0,-0,07.12 Altro,-0,http://hdl.handle.net/11311/533734,-0,Il cadenzamento dell’orario ferroviario: aspetti metodologici e applicativi,-0,-0,3,-0,-0,-0,-0,R. MAJA; LIMONGELLI M.; VILLA S.,-0
-0,1995,07 ALTRO::07.12 Altro,-0,-0,07.12 Altro,-0,http://hdl.handle.net/11311/533704,-0,"Il quadro dell'offerta di trasporto, IReR - Istituto Regionale di Ricerca della Lombardia - Aggiornamento del piano regionale dei trasporti della regione Lombardia",-0,-0,2,-0,-0,-0,-0,COMETTI E.; R. MAJA,-0
-0,1995,07 ALTRO::07.12 Altro,-0,-0,-0,-0,http://hdl.handle.net/11311/533705,-0,Telematica nei trasporti - Stato dell'arte delle tecnologie per il trasporto guidato e per l'intermodalità,-0,-0,3,none,-0,-0,-0,R. MAJA; GUERRA C.; CORTESE V.,-0
-0,1995,07 ALTRO::07.12 Altro,-0,-0,07.12 Altro,-0,http://hdl.handle.net/11311/533706,-0,Sistemi innovativi per l'esercizio economico delle linee ferroviarie a scarso traffico,-0,-0,1,-0,-0,-0,-0,R. MAJA,-0
-0,1995,07 ALTRO::07.12 Altro,-0,-0,-0,-0,http://hdl.handle.net/11311/533708,-0,Studio di simulazione del trasporto pubblico nel bacino della ferrovia Brescia-Iseo-Edolo,-0,-0,1,none,-0,-0,-0,R. MAJA,-0
-0,1996,07 ALTRO::07.05 Esposizione,-0,-0,07.05 Esposizione,-0,http://hdl.handle.net/11311/693106,-0,Esposizione: IPOTESI ECOMUSEALE PER I CAMPI FLEGREI,-0,-0,2,-0,-0,-0,-0,M. Parente; V. Gangemi,-0
-0,1996,07 ALTRO::07.06 Mostra,-0,-0,07.06 Mostra,-0,http://hdl.handle.net/11311/693108,-0,Mostra: IL DESIGN COME ELEMENTO STRATEGICO PER LE PICCOLE E MEDIE IMPRESE. PROPOSTE E PROGETTI DELLA SCUOLA DI SPECIALIZZAZIONE IN DISEGNO INDUSTRIALE DI NAPOLI,-0,-0,3,-0,-0,-0,-0,M. Parente; E. Guida; R. Valente,-0
-0,1996,07 ALTRO::07.12 Altro,-0,-0,07.12 Altro,-0,http://hdl.handle.net/11311/533707,-0,Catalogo dei sistemi innovativi di navetta automatica per la mobilità urbana,-0,-0,2,-0,-0,-0,-0,R. MAJA; GUERRA C.,-0
-0,1997,07 ALTRO::07.06 Mostra,-0,-0,07.06 Mostra,-0,http://hdl.handle.net/11311/693110,-0,PROGETTO E INDUSTRIA,-0,-0,3,-0,-0,-0,-0,M. Parente; E. Guida; R. Valente,-0
-0,1997,07 ALTRO::07.12 Altro,-0,-0,-0,-0,http://hdl.handle.net/11311/533703,-0,Consulenza e collaborazione per la sperimentazione di modelli di simulazione della mobilità a supporto della pianificazione regionale dei trasporti e della mobilità - Caso di studio Malpensa - Costruzione del modello di simulazione del traffico per la valutazione degli scenari alternativi,-0,-0,2,none,-0,-0,-0,R. MAJA; DALENO M.,-0
-0,1998,07 ALTRO::07.06 Mostra,-0,-0,07.06 Mostra,-0,http://hdl.handle.net/11311/693112,-0,Mostra: SOTTSSAS. 151 DISEGNI,-0,-0,5,none,-0,-0,-0,V. Cristallo; F. E. Guida; M. Elia; A. Morone; M. Parente,-0
-0,1998,07 ALTRO::07.06 Mostra,-0,-0,07.06 Mostra,-0,http://hdl.handle.net/11311/693114,-0,IV MOSTRA DELL’ARTIGIANATO ARTISTICO - CONTINUITA’ E INNOVAZIONE DELLA TRADIZIONE,-0,-0,4,-0,-0,-0,-0,V. Cristallo; E. Guida; A. Morone;  M. Parente;,-0
-0,1999,07 ALTRO::07.12 Altro,nazionale,"volumi guida 1, 2 a cura del DML",07.12 Altro,Genova,http://hdl.handle.net/11311/533559,ITA,Disabilità Motoria e Lavoro: guida per orientarsi nel mondo del lavoro Vol 1 e 2,-0,-0,2,-0,ita,Algraphy,-0,AA. VV.; M. CANINA,-0
-0,1999,07 ALTRO::07.13 Progetti,-0,-0,-0,-0,http://hdl.handle.net/11311/667420,-0,Concorso internazionale “Sarajevo Concert Hall” Nuovo auditorium di Sarajevo,"Sarajevo, Jugoslavia",-0,5,none,eng,Comune di Sarajevo,Concorso internazionale di progettazione,E. Avallone; L. Montuori; S. Orsi; G. Pierluisi; A. Sciolari,-0
