dc.type.full,dc.identifier.uri,dc.language.iso,dc.type.circulation,dc.relation.medium,dc.relation.conferenceplace,dc.title,item.collection,item.openaireRights,dc.description.numberofauthors,dc.authority.people
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/1045208,ita,nazionale,-,-,SERVIZIO PER PRANZO IN PIEDI,05.1 Brevetto,none,3,MARIO BISSON;PAOLO DE LUCCHI;GHOLAM KOWSAR
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/242582,ita,-,-,-,struttura di spazzolino da denti,05.1 Brevetto,info:eu-repo/semantics/closedAccess,2,"L. Bazzicalupo;MANGIAROTTI, RAFFAELLA"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/532965,ita,internazionale,-,-,Sistema di Parete Attrezzata e cablata con Tecnologie EIB,05.1 Brevetto,none,1,"BRUNO, DAVIDE MARIA"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/242585,-,nazionale,-,Milano,"Dispositivo portatile per refrigerare alimenti, particolarmente per alimenti contenuti  in un contenitore almeno in parte flessibile",05.1 Brevetto,none,2,"R. Gatti;INGARAMO, MATTEO ORESTE"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/251326,-,nazionale,-,Milano,"Dispositivo di conservazione di alimenti a parete, in particolare per frutta",05.1 Brevetto,none,2,"R. Gatti;INGARAMO, MATTEO ORESTE"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/258077,ita,-,-,-,Terminale wireless contenuto in un involucro morbido,05.1 Brevetto,none,2,"MANGIAROTTI, RAFFAELLA;TRABUCCO, FRANCESCO"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/643329,ita,nazionale,-,-,Contenitore termicamente isolato particolarmente isolato per bevande e simili,05.1 Brevetto,info:eu-repo/semantics/closedAccess,2,"MANGIAROTTI, RAFFAELLA;BAZZICALUPO, LEOPOLDO MATTEO"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/252095,-,nazionale,-,Milano,Asciugacapelli con caratteristiche ergonomiche migliorate,05.1 Brevetto,none,1,"MANGIAROTTI, RAFFAELLA"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/246657,-,nazionale,-,Milano,Dispositivo asciugacapelli,05.1 Brevetto,none,2,"L. Bazzicalupo;MANGIAROTTI, RAFFAELLA"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/257743,-,nazionale,-,Milano,Prodotto realizzato dal riutilizzo di sfridi di produzione,05.1 Brevetto,none,2,"BERTOLA, PAOLA;D. Leoni"
