dc.type.full,dc.identifier.uri,dc.date.issued,dc.title,dc.authority.people
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/1045208,1989,SERVIZIO PER PRANZO IN PIEDI,MARIO BISSON;PAOLO DE LUCCHI;GHOLAM KOWSAR
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/242582,2001,struttura di spazzolino da denti,"L. Bazzicalupo;MANGIAROTTI, RAFFAELLA"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/532965,2001,Sistema di Parete Attrezzata e cablata con Tecnologie EIB,"BRUNO, DAVIDE MARIA"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/242585,2002,"Dispositivo portatile per refrigerare alimenti, particolarmente per alimenti contenuti  in un contenitore almeno in parte flessibile","R. Gatti;INGARAMO, MATTEO ORESTE"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/251326,2002,"Dispositivo di conservazione di alimenti a parete, in particolare per frutta","R. Gatti;INGARAMO, MATTEO ORESTE"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/258077,2002,Terminale wireless contenuto in un involucro morbido,"MANGIAROTTI, RAFFAELLA;TRABUCCO, FRANCESCO"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/643329,2003,Contenitore termicamente isolato particolarmente isolato per bevande e simili,"MANGIAROTTI, RAFFAELLA;BAZZICALUPO, LEOPOLDO MATTEO"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/252095,2004,Asciugacapelli con caratteristiche ergonomiche migliorate,"MANGIAROTTI, RAFFAELLA"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/246657,2006,Dispositivo asciugacapelli,"L. Bazzicalupo;MANGIAROTTI, RAFFAELLA"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/257743,2006,Prodotto realizzato dal riutilizzo di sfridi di produzione,"BERTOLA, PAOLA;D. Leoni"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/579141,2006,SISTEMA DI PUNTAMENTO DELLE SORGENTI LUMINOSE IN APPARECCHI DI ILLUMINAZIONE,"MURANO, FRANCESCO"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/579142,2006,SISTEMA DI TRASPORTO DI ENERGIA ELETTRICA A BASSO VOLTAGGIO IN PARTICOLARE PER L'ALIMENTAZIONE DI PIANI DI APPOGGIO MUNITI DI SORGENTE,"MURANO, FRANCESCO"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/643330,2007,hairdrier device,"MANGIAROTTI, RAFFAELLA;BAZZICALUPO, LEOPOLDO MATTEO"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/693688,2007,Chair Strcture,"M. De Bonis;ROMERO, MAXIMILIANO ERNESTO;COSTA, FIAMMETTA CARLA ENRICA;G. Gualandi"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/545462,2008,Dispositivo di cottura,"D. Bongini;CANINA, MARIA RITA;FERRARO, VENERE;L. Melotti;S. Palmeto"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/643332,2008,Dispositivo audioluminoso per esterni,"MANGIAROTTI, RAFFAELLA;BAZZICALUPO, LEOPOLDO MATTEO;charon srl"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/533023,2009,Sistema per il varo e l'alaggio di imbarcazioni,"RATTI, ANDREA;FUMAGALLI G."
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/564171,2009,Dispositivo aspiratore/erogatore per un liquido,"G. Bortoluzzi;ANSELMI, LAURA;A. Grasselli"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/566421,2009,KNOT RING,"CAPPELLIERI, ALBA"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/575806,2010,Dispositivo di riabilitazione,"CANINA, MARIA RITA;S. Lang"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/582632,2010,Apparecchio per la riabilitazione,"CANINA, MARIA RITA;S. Lang"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/582634,2010,Apparecchio per la riabilitazione,"CANINA, MARIA RITA;S. Lang"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/582636,2010,Apparecchio per la riabilitazione,"CANINA, MARIA RITA;S. Lang"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/776927,2010,Capo di vestiario di tipo BSI per il rilevamento di parametri vitali di un neonato,"ANDREONI, GIUSEPPE;L. Moltani;R. Zanini;R. Bellù"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/547230,2011,Zip fastener slider including an electronic anti-counterfeiting device situated inside the slider and/or the relative puller,"MANGIAROTTI, RAFFAELLA;S. Dotti"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/622773,2011,Contenitore per pizze,"Andrea Rizzardi;FERRARO, VENERE"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/664562,2011,O'Hand,"CANINA, MARIA RITA;S. Lang"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/689990,2011,WHS ITEM OF CLOTHING FOR DETECTION OF VITAL PARAMETERS OF A BABY,"ANDREONI, GIUSEPPE;L. A. L. Moltani;R. Zanini;R. C. Bellu'"
05 BREVETTO::05.1 Brevetto,http://hdl.handle.net/11311/703133,2011,Dispositivo di seduta e relativa sella,"BRUNO, DAVIDE MARIA;ANDREONI, GIUSEPPE"
