Id	Label	timeset	attr_type	global_occurrences	role	name	section	name	role	dept	SSID	OrcID
innercoauthorsid_9afe9b2892cc03a24ccf6db5d0a0cca3	Anselmi, Laura		innerCoAuthorsId	37	Associate Professor	Anselmi, Laura	Design degli Ambienti, del Paesaggio e della Mobilit‡	Amoruso Giuseppe	Professore associato a tempo pieno	Dipartimento di Design	ICAR/17 - Disegno	https://orcid.org/0000-0001-7821-4517
innercoauthorsid_444623ff4cd1583769325f57f6c7c9ae	Anzani, Anna		innerCoAuthorsId	100	Associate Professor	Anzani, Anna	Design degli Ambienti, del Paesaggio e della Mobilit‡	Andreoni Giuseppe	Professore associato a tempo pieno	Dipartimento di Design	ING-INF/06 - Bioingegneria Elettronica E Informatica	https://orcid.org/0000-0002-5537-4128
innercoauthorsid_271f4e4d10a8d7b1b1349c86446760ac	Barbara, Anna		innerCoAuthorsId	43	Assistant Professor	Barbara, Anna	Design degli Ambienti, del Paesaggio e della Mobilit‡	Anselmi Laura	Professore associato a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0002-6149-2382
innercoauthorsid_238ac3b330193031f95fb3ccff9dbef3	Biamonti, Alessandro		innerCoAuthorsId	59	Associate Professor	Biamonti, Alessandro	Design degli Ambienti, del Paesaggio e della Mobilit‡	Anzani Anna	Professore associato a tempo pieno	Dipartimento di Design	ICAR/19 - Restauro	https://orcid.org/0000-0002-4265-1720
innercoauthorsid_ce78064a1b4436bf5250d3b006bc215a	Borghetti, Fabio		innerCoAuthorsId	40	Research Fellow	Borghetti, Fabio	Design degli Ambienti, del Paesaggio e della Mobilit‡	Arquilla Venanzio	Professore associato a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0003-1626-0221
innercoauthorsid_12410ea6bf22c49d0b17f210bdf5df2c	Bosoni, Giampiero		innerCoAuthorsId	104	Full Professor	Bosoni, Giampiero	Design degli Ambienti, del Paesaggio e della Mobilit‡	Barbara Anna	Ricercatore universitario a tempo definito	Dipartimento di Design	ICAR/14 - Composizione Architettonica E Urbana	https://orcid.org/0000-0002-9265-7290
innercoauthorsid_9f29fbacc825229d2a0c6a4573c26808	Bruglieri, Maurizio		innerCoAuthorsId	59	Associate Professor	Bruglieri, Maurizio	Design degli Ambienti, del Paesaggio e della Mobilit‡	Baule Giovanni	Professore ordinario a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0002-6728-8059
innercoauthorsid_17cdb904a86f7d58923f248b666e2759	Camocini, Barbara		innerCoAuthorsId	29	Assistant Professor	Camocini, Barbara	Design degli Ambienti, del Paesaggio e della Mobilit‡	Bertola Paola	Professore ordinario a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0003-1522-4077
innercoauthorsid_14bf267d40437590a32d9319cc201c2d	Canina, Maria Rita		innerCoAuthorsId	94	Associate Professor	Canina, Maria Rita	Design degli Ambienti, del Paesaggio e della Mobilit‡	Bertolo Maresa	Ricercatore universitario a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0002-1846-7739
innercoauthorsid_b04565ea9b04a1b2df7d4e55a3897473	Casciani, Daria		innerCoAuthorsId	40	Research Fellow	Casciani, Daria	Design degli Ambienti, del Paesaggio e della Mobilit‡	Biamonti Alessandro	Professore associato a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0002-4725-2032
innercoauthorsid_6167a2820190357a87a61da91525d04f	Ceconello, Mauro Attilio		innerCoAuthorsId	60	Associate Professor	Ceconello, Mauro Attilio	Design degli Ambienti, del Paesaggio e della Mobilit‡	Bianchini Massimo	Ricercatore legge 240/10 - t.det. a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0003-1438-4976
innercoauthorsid_9a0dec1aa6f6868d8ff1278cbf3c8c98	Ceppi, Giulio		innerCoAuthorsId	72	Assistant Professor	Ceppi, Giulio	Design degli Ambienti, del Paesaggio e della Mobilit‡	Bisson Mario	Professore associato a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0002-7043-6550
innercoauthorsid_4fe23db35944c46144cb3756ca4a6e2b	Collina, Luisa Maria Virginia		innerCoAuthorsId	105	Full Professor	Collina, Luisa Maria Virginia	Design degli Ambienti, del Paesaggio e della Mobilit‡	Bosoni Giampiero	Professore ordinario a tempo pieno	Dipartimento di Design	ICAR/16 - Architettura Degli Interni E Allestimento	https://orcid.org/0000-0002-9378-0717
innercoauthorsid_2390ecd940117c2e91a9897488a2d391	Colorni Vitale, Alberto		innerCoAuthorsId	101	0	Colorni Vitale, Alberto	Design degli Ambienti, del Paesaggio e della Mobilit‡	Brevi Fausto	Professore associato a tempo pieno	Dipartimento di Design	ICAR/17 - Disegno	https://orcid.org/0000-0001-5116-6412
innercoauthorsid_228c456266e70e0d95a4222e696eaf04	Cordera, Paola		innerCoAuthorsId	34	Assistant Professor	Cordera, Paola	Design degli Ambienti, del Paesaggio e della Mobilit‡	Bruglieri Maurizio	Professore associato a tempo pieno	Dipartimento di Design	MAT/09 - Ricerca Operativa	https://orcid.org/0000-0002-4517-873X
innercoauthorsid_0c1d3cd831d48c6891dfba3c80493eef	De Lucchi, Michele		innerCoAuthorsId	31	Full Professor	De Lucchi, Michele	Design degli Ambienti, del Paesaggio e della Mobilit‡	Brugnoli Gianluca	Ricercatore universitario a tempo definito	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0002-6834-5967
innercoauthorsid_746ddf02c4cfd8360418fb48816e1430	Di Sabatino, Peter Arthur		innerCoAuthorsId	3	Associate Professor	Di Sabatino, Peter Arthur	Design degli Ambienti, del Paesaggio e della Mobilit‡	Bruno Davide Maria	Professore associato a tempo definito	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0002-1770-9660
innercoauthorsid_9a6cd97eae1ee3dae5f3665e633b7d1c	Dominoni, Annalisa		innerCoAuthorsId	100	Assistant Professor	Dominoni, Annalisa	Design degli Ambienti, del Paesaggio e della Mobilit‡	Bucchetti Valeria Luisa	Professore associato a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0002-3538-3625
innercoauthorsid_8f1efee79bba140dc687ba0926b542d0	Fassi, Davide		innerCoAuthorsId	57	Associate Professor	Fassi, Davide	Design degli Ambienti, del Paesaggio e della Mobilit‡	Calabi Daniela Anna	Professore associato a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0002-1997-269X
innercoauthorsid_b7cd36b8e783a2f67a0a30501ba87054	Ferrara, Maria Rita		innerCoAuthorsId	100	Associate Professor	Ferrara, Maria Rita	Design degli Ambienti, del Paesaggio e della Mobilit‡	Camocini Barbara	Ricercatore legge 240/10 - t.det. a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0001-6967-1329
innercoauthorsid_847d4d5290fddda9eb7f6ceda77186e2	Finessi, Giuseppe		innerCoAuthorsId	100	Associate Professor	Finessi, Giuseppe	Design degli Ambienti, del Paesaggio e della Mobilit‡	Canina Maria Rita	Professore associato a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0002-0036-9428
innercoauthorsid_af192bfe8287f6ea47e2a9d628d27c14	Galluzzo, Laura		innerCoAuthorsId	23	Research Fellow	Galluzzo, Laura	Design degli Ambienti, del Paesaggio e della Mobilit‡	Cappellieri Alba	Professore ordinario a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0002-6438-3739
innercoauthorsid_b8e9956491d53fb2c4b3be50d24a15a7	Gandini, Paolo		innerCoAuthorsId	26	Research Fellow	Gandini, Paolo	Design degli Ambienti, del Paesaggio e della Mobilit‡	Caratti Elena	Professore associato a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0001-5119-4544
