dc.subject.keywordsita,item.openaireRights,dc.subject.keywords,dc.identifier.uri,dc.type.referee,dc.publisher.name,dc.title,dc.publisher.place,dc.language.iso,item.journal.title,dc.description.allpeople,dc.relation.ispartofbook,dc.relation.medium,dc.date.issued,dc.type.circulation,dc.type.full,item.collection,dc.publisher.country,dc.description.numberofauthors
-0,-0,città; cinema; immaginario; scenari urbani; sguardo; percezione; esperienza,http://hdl.handle.net/11311/660207,-0,Tranchida,Proiezioni urbane. La realtà dell'immaginario,Milano,ita,-0,M. Galbiati,-0,-0,1989,-0,06 CURATELA::06.1 Curatela,06.1 Curatela,-0,1
-0,none,Design; Significati; Funzione; Linguaggi; Industria giapponese.,http://hdl.handle.net/11311/564075,-0,Franco Angeli,Nuove vie del design in Giappone.,Milano,ita,-0,L. Migliore; G. Piccinno; M. Servetto,-0,-0,1990,-0,06 CURATELA::06.1 Curatela,-0,ITA,3
-0,none,mendini; filosofia del progetto; poltrona di Proust,http://hdl.handle.net/11311/660210,-0,Tranchida,Alessandro Mendini. La poltrona di proust,Milano,ita,-0,M. Galbiati,-0,-0,1991,-0,06 CURATELA::06.1 Curatela,-0,-0,1
-0,none,fotografia; territorio; rappresentazione; città; sguardo; percezione,http://hdl.handle.net/11311/660626,-0,Tranchida Editori,Lo sguardo discreto. habitat e fotografia,Milano,ita,-0,M. Galbiati,-0,-0,1991,-0,06 CURATELA::06.1 Curatela,-0,-0,1
-0,-0,-0,http://hdl.handle.net/11311/570619,-0,Il Mulino,I trasporti e l'industria,-0,ita,-0,M. Ponti,-0,-0,1992,nazionale,06 CURATELA::06.1 Curatela,06.1 Curatela,ITA,1
-0,none,fotografia; territorio; sguardo; città; percezione; soglia; abitare,http://hdl.handle.net/11311/660214,-0,Tranchida,Soglie urbane. Uno sguardo fotografico sul territorio,Milano,ita,-0,M. Galbiati,-0,-0,1992,-0,06 CURATELA::06.1 Curatela,-0,-0,1
-0,none,-0,http://hdl.handle.net/11311/504083,-0,Vita e Pensiero,Erich Przywara. Analogia entis,MILANO,ita,-0,P. VOLONTE',-0,-0,1995,nazionale,06 CURATELA::06.1 Curatela,-0,-0,1
-0,none,Fotografia; paesaggio; territorio; immagine; rappresentazione,http://hdl.handle.net/11311/660156,-0,Guerini e Associati,Fotografia e paesaggio. La rappresentazione fotografica del territorio,Milano,arp,-0,M. Galbiati; P. Pozzi; R. Signorini,-0,-0,1996,-0,06 CURATELA::06.1 Curatela,-0,ITA,3
-0,none,-0,http://hdl.handle.net/11311/504078,-0,Rusconi,Max Weber. La scienza come professione,MILANO,ita,-0,P. VOLONTE',-0,-0,1997,nazionale,06 CURATELA::06.1 Curatela,-0,-0,1
-0,info:eu-repo/semantics/closedAccess,-0,http://hdl.handle.net/11311/532644,-0,edizioni Bruno Mondadori,"L’architettura moderna del Novecento (Modern Architecture since 1900),",MILANO,-0,-0,A. BARBARA; RODRIQUEZ C,-0,-0,1997,-0,06 CURATELA::06.1 Curatela,06.1 Curatela,ITA,2
-0,none,Archivi di architettura e design; disegno di progetto; catalogazione; Luciano Baldessari; architettura italiana XX secolo; futurismo; razionalismo; Milano; Rovereto,http://hdl.handle.net/11311/562603,-0,Guerini,Luciano Baldessari nelle carte del suo archivio,Milano,ita,-0,G. L. Ciagà,-0,-0,1997,-0,06 CURATELA::06.1 Curatela,-0,-0,1
-0,none,-0,http://hdl.handle.net/11311/532728,-0,Guerini,"Progetto, processo, prodotto. Variabili di innovazione",MILANO,ita,-0,A. PENATI; SEASSARO A,Progetto processo prodotto. variabili di innovazione,-0,1998,nazionale,06 CURATELA::06.1 Curatela,-0,ITA,2
-0,-0,arte ambientale; installazione architettonica; nuovo realismo; ready made,http://hdl.handle.net/11311/693611,-0,CHARTA,Niki de Saint Phalle the Tarot Garden,Milano,eng,-0,A.Mazzanti,-0,-0,1998,-0,06 CURATELA::06.1 Curatela,06.1 Curatela,ITA,1
-0,-0,-0,http://hdl.handle.net/11311/504076,-0,La Nuova Italia,Max Weber. L'etica della responsabilità,SCANDICCI,ita,-0,P. VOLONTE',-0,-0,1999,nazionale,06 CURATELA::06.1 Curatela,06.1 Curatela,-0,1
-0,-0,-0,http://hdl.handle.net/11311/532384,-0,Moretti&Vitali,Auditorium di Milano. Una casa per la musica,BERGAMO,-0,-0,S. ZINGALE,-0,-0,1999,nazionale,06 CURATELA::06.1 Curatela,06.1 Curatela,ITA,1
-0,none,-0,http://hdl.handle.net/11311/532856,-0,Soprintendenza archeologica di Pompei,"12 Progetti per Pompei. Un sistema d'identità visiva per la Soprintendenza archeologica, Catalogo della mostra, Napoli - Palazzo Reale 10-28 nov., Soprintendenza archeologica di Pompei,",NAPOLI,-0,-0,D. RICCO',-0,-0,2000,nazionale,06 CURATELA::06.1 Curatela,-0,ITA,1
-0,-0,Design research,http://hdl.handle.net/11311/558159,-0,-0,Design Plus Research: proceedings of the Politecnico di Milano conference,Milano,eng,-0,S. Pizzocaro; A. Arruda; D. De Moraes;,-0,-0,2000,internazionale,06 CURATELA::06.1 Curatela,06.1 Curatela,-0,3
