dc.publisher.place,dc.relation.medium,item.openaireRights,item.collection,dc.subject.keywordsita,dc.subject.keywords,dc.identifier.uri,dc.date.issued,dc.relation.conferenceplace,dc.type.full,dc.type.circulation,dc.relation.ispartofbook,dc.relation.conferencename,dc.language.iso,dc.publisher.country,dc.description.numberofauthors,dc.publisher.name,dc.authority.people,dc.title
Roma,-,info:eu-repo/semantics/closedAccess,07.02 Disegno,-,rilievo urbano e ambientale; Rappresentazione Paesaggio Ambiente; Disegno,http://hdl.handle.net/11311/958761,2014,-,07 ALTRO::07.02 Disegno,-,Italian Survey. National & International Portfolio,-,eng,ITA,1,Aracne editrice,"AMORUSO, GIUSEPPE","Traditional Architecture and Countryside, Puglia - Valle D’itria"
Canada,STAMPA,info:eu-repo/semantics/closedAccess,07.03 Design,-,-,http://hdl.handle.net/11311/1044085,2016,-,07 ALTRO::07.03 Design,-,Cross-Cultural Design,-,eng,DEU,1,Springer,Yin Liang,Research Service Design Based on Online Public Service Platform — APP Design for Mutual Learning Through Sign Language Short Video
2002,STAMPA,info:eu-repo/semantics/closedAccess,07.03 Design,-,-,http://hdl.handle.net/11311/1049491,2002,-,07 ALTRO::07.03 Design,-,Blue Industries,-,ita,ITA,1,Lugo Editore,davide bruno,"Blue Industries: Dove nasce il futuro: design, innovazione e impresa"
"Cinisello Balsamo, Milano",STAMPA,info:eu-repo/semantics/closedAccess,07.03 Design,-,-,http://hdl.handle.net/11311/1053286,2018,-,07 ALTRO::07.03 Design,-,-,-,eng;ita,ITA,1,Silvana Editoriale,R. Gaddi,"Maglia, Punto. Quarant'anni di tesori nascosti dell'archivio MF1"
-,-,none,07.03 Design,-,-,http://hdl.handle.net/11311/703930,2012,-,07 ALTRO::07.03 Design,-,Street Furniture. Premio Lissone Design 2011,-,eng,-,5,-,"VIGNATI, ARIANNA;MANZONI, ALBERTO;LOLLIO, VALENTINA;RIVIECCIO, VALENTINA;CARAMAGNO, MARINA",Green Connection
-,-,info:eu-repo/semantics/closedAccess,07.03 Design,-,LIGHT DESIGN; SKYLIGHT LUMINATOR; SHARP,http://hdl.handle.net/11311/731382,2013,-,07 ALTRO::07.03 Design,-,-,-,-,-,1,-,"MURANO, FRANCESCO","SKYLIGHT  LUMINATOR
PRIMO PREMIO CONCORSO INTERNAZIONALE
SHARP DESIGN CONTEST
LIGHT FOR EMOTIONAL CONFORT"
Cinisello Balsamo (MI),STAMPA,info:eu-repo/semantics/openAccess,07.03 Design,-,-,http://hdl.handle.net/11311/958756,2015,-,07 ALTRO::07.03 Design,-,"TEXTILE VIVANT  Percorsi, esperienze e ricerche del textile design Tracks, experiences and Researches in textile design",-,ita;eng,ITA,1,SILVANA EDITORE,"GADDI, ROSSANA","TEXTILE VIVANT 
Percorsi, esperienze e ricerche del textile design
Tracks, experiences and Researches in textile design"
-,-,info:eu-repo/semantics/openAccess,07.03 Design,-,-,http://hdl.handle.net/11311/958783,2011,-,07 ALTRO::07.03 Design,-,-,-,ita;eng,-,1,-,"GADDI, ROSSANA",Boldini e la Belle Epoque
-,-,info:eu-repo/semantics/openAccess,07.03 Design,-,-,http://hdl.handle.net/11311/958784,2007,-,07 ALTRO::07.03 Design,-,-,-,ita;eng,-,1,-,"GADDI, ROSSANA","Gli impressionisti, i simbolisti e le avanguardie. 120 capolavori dal museo nazionale di Belgrado."
-,-,info:eu-repo/semantics/openAccess,07.03 Design,-,-,http://hdl.handle.net/11311/958787,2008,-,07 ALTRO::07.03 Design,-,-,-,eng;ita,-,1,-,"GADDI, ROSSANA","L'abbraccio di Vienna. Klimt, Schiele e i capolavori del Belvedere"
-,-,info:eu-repo/semantics/openAccess,07.03 Design,-,-,http://hdl.handle.net/11311/958788,2010,-,07 ALTRO::07.03 Design,-,-,-,ita;eng,-,1,-,"GADDI, ROSSANA",Rubens e i fiamminghi
-,-,info:eu-repo/semantics/closedAccess,07.03 Design,-,-,http://hdl.handle.net/11311/958789,2012,-,07 ALTRO::07.03 Design,-,-,-,-,-,1,-,"GADDI, ROSSANA",La dinastia Brueghel
-,-,info:eu-repo/semantics/openAccess,07.03 Design,-,-,http://hdl.handle.net/11311/958790,2006,-,07 ALTRO::07.03 Design,-,-,-,ita,-,2,-,"GADDI, ROSSANA;MARIANI, CIRO",René Magritte. L'impero delle luci
-,-,info:eu-repo/semantics/openAccess,07.03 Design,-,-,http://hdl.handle.net/11311/958792,2005,-,07 ALTRO::07.03 Design,-,-,-,ita,-,2,-,"GADDI, ROSSANA;MARIANI, CIRO",Picasso. La seduzione del classico
-,-,info:eu-repo/semantics/openAccess,07.03 Design,-,-,http://hdl.handle.net/11311/958793,2012,-,07 ALTRO::07.03 Design,-,-,-,ita;eng,-,1,-,"GADDI, ROSSANA",Brueghel. Meraviglie dell'arte fiamminga
-,-,info:eu-repo/semantics/closedAccess,07.04 Performance,-,-,http://hdl.handle.net/11311/731383,2012,-,07 ALTRO::07.04 Performance,-,-,-,-,-,3,-,"MURANO, FRANCESCO;Gianpietro Grossi;Pietro Pirelli",ARPA DI LUCE
-,-,info:eu-repo/semantics/closedAccess,07.04 Performance,-,-,http://hdl.handle.net/11311/731384,2012,-,07 ALTRO::07.04 Performance,-,-,-,-,-,3,-,"MURANO, FRANCESCO;Gianpietro Grossi;Pietro Pirelli",ARPA DI LUCE ALLA NOTTE DEI RICERCATORI A MANTOVA
