dc.publisher.place,dc.type.referee,dc.relation.ispartofbook,item.collection,item.openaireRights,dc.subject.keywordsita,item.journal.title,dc.subject.keywords,dc.identifier.uri,dc.date.issued,dc.type.full,dc.type.circulation,dc.relation.medium,dc.language.iso,dc.publisher.country,dc.description.numberofauthors,dc.publisher.name,dc.authority.people,dc.title
Santarcangelo di Romagna,-,-,06.1 Curatela,none,-,-,-,http://hdl.handle.net/11311/1001967,2016,06 CURATELA::06.1 Curatela,-,-,ita,-,1,Maggioli,"BARBARA, ANNA;Ceresoli, J.;CHIODO, SIMONA",Interni inclusivi. Dialoghi trasversali
Milano,-,-,06.1 Curatela,info:eu-repo/semantics/openAccess,-,-,-,http://hdl.handle.net/11311/1010369,2017,06 CURATELA::06.1 Curatela,-,ELETTRONICO,eng,ITA,2,Franco Angeli,"BIAMONTI, ALESSANDRO;GUERRINI, LUCA",Polimi Design PhD_017
"Cinisello Balsamo, Milano",-,-,06.1 Curatela,info:eu-repo/semantics/closedAccess,"Leonardo, Ultima Cena, Copie, Incisioni, Fotografie",-,-,http://hdl.handle.net/11311/1014755,2017,06 CURATELA::06.1 Curatela,-,-,ita,ITA,2,Silvana Editoriale,"MARANI, PIETRO;Mori, G.","Archeologia del Cenacolo. Ricostruzioni e fortuna dell'icona leonardesca: disegni, incisioni, fotografie"
-,-,-,06.1 Curatela,info:eu-repo/semantics/openAccess,-,-,-,http://hdl.handle.net/11311/1017992,2016,06 CURATELA::06.1 Curatela,-,-,ita,-,3,maggioli editore,"CHIODO, SIMONA;BARBARA, ANNA;Ceresoli, Jacqueine",Interni Inclusivi. Dialoghi trasversali
MILANO,Comitato scientifico,-,06.1 Curatela,info:eu-repo/semantics/openAccess,-,-,-,http://hdl.handle.net/11311/1018215,2015,06 CURATELA::06.1 Curatela,-,ELETTRONICO,eng,ITA,2,Gruppo del Colore – Associazione Italiana Colore,"ROSSI, MAURIZIO;CASCIANI, DARIA",Colour and Colorimetry Multidisciplinary Contributions Vol. XIb
Milano,Comitato scientifico,-,06.1 Curatela,info:eu-repo/semantics/openAccess,-,-,"Colore, illuminazione, percezione visiva, design, comunicazione",http://hdl.handle.net/11311/1018276,2015,06 CURATELA::06.1 Curatela,-,ELETTRONICO,ita,ITA,2,"Gruppo del Colore – Associazione Italiana Colore, Milano","ROSSI, MAURIZIO;Marchiafava, Veronica",Colore e colorimetria contributi multidisciplinari Vol XIa
-,Esperti anonimi,-,06.1 Curatela,info:eu-repo/semantics/openAccess,-,PAD,-,http://hdl.handle.net/11311/1018728,2016,06 CURATELA::06.1 Curatela,-,ELETTRONICO,eng,ITA,2,LetteraVentidue Edizioni S.r.l.,"PARENTE, MARINA;SEDINI, CARLA",Pad#13 Design for Territories
Venezia,Comitato scientifico,-,06.1 Curatela,none,"arte sacra, simbolismo, classicismo, arte del XIX secolo, arte del XX secolo",-,-,http://hdl.handle.net/11311/1019707,2015,06 CURATELA::06.1 Curatela,-,STAMPA,eng;ita,ITA,4,Marsilio,"MAZZANTI, ANNA;Mannini, Lucia;Sisi, Carlo;Sebregondi, Ludovica","Bellezza divina. Fra Van Gogh, Chagall e Fontana"
Heidelberg,Esperti anonimi,-,06.1 Curatela,none,-,-,-,http://hdl.handle.net/11311/1020345,2016,06 CURATELA::06.1 Curatela,-,-,eng,-,2,Springer,"CONCILIO, GRAZIA;RIZZO, FRANCESCA",Human Smart Cities. Rethinking the interplay between Design and Planning
-,-,-,06.1 Curatela,info:eu-repo/semantics/closedAccess,-,-,-,http://hdl.handle.net/11311/1022046,2016,06 CURATELA::06.1 Curatela,-,-,eng;ita,-,1,Corraini Edizioni,"FINESSI, GIUSEPPE",INVENTARIO 12
Mantova,-,-,06.1 Curatela,none,-,-,-,http://hdl.handle.net/11311/1022049,2017,06 CURATELA::06.1 Curatela,-,-,eng;ita,ITA,1,Corraini Edizioni,"FINESSI, GIUSEPPE",Fare Luce
Bruxelles,-,-,06.1 Curatela,info:eu-repo/semantics/closedAccess,-,CARTADITALIA,-,http://hdl.handle.net/11311/1022052,2016,06 CURATELA::06.1 Curatela,-,-,eng;fra;ita;nld,BEL,1,Istituto Italiano di Cultura di Bruxelles,"FINESSI, GIUSEPPE",Cartaditalia n.2. Il design italiano. Unità e pluralità
Mantova,-,-,06.1 Curatela,info:eu-repo/semantics/closedAccess,-,-,-,http://hdl.handle.net/11311/1022056,2016,06 CURATELA::06.1 Curatela,-,STAMPA,eng;ita,ITA,1,Corraini Edizioni,"FINESSI, GIUSEPPE",Quasi segreti
Venezia,-,-,06.1 Curatela,info:eu-repo/semantics/closedAccess,-,-,-,http://hdl.handle.net/11311/1022206,2016,06 CURATELA::06.1 Curatela,-,STAMPA,eng;ita,ITA,1,Marsilio,"FINESSI, GIUSEPPE",Stanze. Altre filosofie dell'abitare - Rooms. Novel Living Concepts
Milano,-,-,06.1 Curatela,info:eu-repo/semantics/closedAccess,culture del design,-,-,http://hdl.handle.net/11311/1025426,2017,06 CURATELA::06.1 Curatela,-,STAMPA,ita,ITA,1,Edizioni UNICOPLI,"PIZZOCARO, SILVIA LUISA",Eccedenze. Tra innovazione e culture del design
Milano,Comitato scientifico,-,06.1 Curatela,info:eu-repo/semantics/closedAccess,"Gregotti Associati, Gregotti-Meneghetti-Stoppino",-,-,http://hdl.handle.net/11311/1027333,2016,06 CURATELA::06.1 Curatela,-,STAMPA,ita,ITA,1,"Quinlan-CASVA, Comune di Milano","FERABOLI, MARIA TERESA",Umanesimo contemporaneo. Gli archivi di Gregotti-Meneghetti-Stoppino e della società Gregotti Associati conservati presso il CASVA
Milano,Comitato scientifico,-,06.1 Curatela,info:eu-repo/semantics/closedAccess,-,-,-,http://hdl.handle.net/11311/1029039,2017,06 CURATELA::06.1 Curatela,-,ELETTRONICO,eng,-,2,Franco Angeli,"BAULE, GIOVANNI;CARATTI, ELENA","Design is translation. The translation paradigm for design culture. ""Design and translation"": a Manifesto"
-,-,-,06.1 Curatela,info:eu-repo/semantics/openAccess,Design per i Territori,-,-,http://hdl.handle.net/11311/1029705,2017,06 CURATELA::06.1 Curatela,-,ELETTRONICO,ita,ITA,3,"D4T Design for Territories - Dipartimento di Design, Politecnico di Milano","PARENTE, MARINA;LUPO, ELEONORA;SEDINI, CARLA",Teoria/Pratica. Dialoghi sul Design per i Territori 01
