dc.publisher.place,dc.type.referee,item.collection,item.openaireRights,dc.subject.keywordsita,dc.subject.keywords,dc.identifier.uri,dc.date.issued,dc.type.full,dc.type.circulation,dc.relation.medium,dc.language.iso,dc.publisher.country,dc.description.numberofauthors,dc.publisher.name,dc.authority.people,dc.title
Bologna,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/1001243,2016,03 LIBRO::03.1 Monografia o trattato scientifico,-,STAMPA,eng,ITA,1,Esculapio,"IANNILLI, VALERIA MARIA",Visual Retailing. Shaping the sense of spaces
Milano,Comitato scientifico,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,"design della comunicazione, cartografia,  visualizzazione informazioni",-,http://hdl.handle.net/11311/1003330,2012,03 LIBRO::03.1 Monografia o trattato scientifico,-,STAMPA,ita,ITA,1,FrancoAngeli srl,"QUAGGIOTTO, MARCO",Cartografie del sapere. Interfacce per l'accesso agli spazi della conoscenza
mantova,Comitato scientifico,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,"jewellery, design, accessories design, fashion design, history of design, alba cappellieri, bijou design innovation, made in italy, design della moda, design del gioeillo, design dell'accessorio",http://hdl.handle.net/11311/1003707,2016,03 LIBRO::03.1 Monografia o trattato scientifico,-,STAMPA,eng;ita,ITA,1,Corraini,"CAPPELLIERI, ALBA",Gioielli alla Moda/ Jewellery a la mode
Milano,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,Transmedia Design,http://hdl.handle.net/11311/1003807,2016,03 LIBRO::03.1 Monografia o trattato scientifico,-,STAMPA,ita,ITA,1,Franco Angeli,"CIANCIA, MARIANA",Transmedia Design Framework. Un approccio design-oriented alla Transmedia Practice
Milano,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/openAccess,"semiotica, design, progetto, inventiva,",-,http://hdl.handle.net/11311/1005063,2015,03 LIBRO::03.1 Monografia o trattato scientifico,-,STAMPA,ita,ITA,2,ATì,"ZINGALE, SALVATORE;BONFANTINI, MASSIMO ACHILLE","L’oggetto del progetto. Saggi, dialoghi e lezioni di semiotica intorno al design e all’inventiva progettuale"
SANTARCANGELO DI ROMAGNA,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/1006784,2015,03 LIBRO::03.1 Monografia o trattato scientifico,-,STAMPA,eng,ITA,1,MAGGIOLI EDITORE,"DOMINONI, ANNALISA",FOR DESIGNERS WITH THEIR HEAD BEYOND THE CLOUDS
Bologna,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,"design per la sostenibilità, Life Cycle Design, Life Cycle Assesment, design di prodotto",http://hdl.handle.net/11311/1006942,2017,03 LIBRO::03.1 Monografia o trattato scientifico,-,STAMPA,ita,ITA,1,Zanichelli,"VEZZOLI, CARLO ARNALDO",Design per la sostenibilità ambiantale. Progettare il ciclo di vita dei prodotti.
Santarcangelo di Romagna,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/1007206,2016,03 LIBRO::03.1 Monografia o trattato scientifico,-,-,ita,-,4,Maggioli S.p.A.,"MORTATI, MARZIA;VILLARI, BEATRICE;MAFFEI, STEFANO;ARQUILLA, VENANZIO",Le politiche per il design e il design per le politiche. Dal focus sulla soluzione alla centralità della valutazione.
-,Comitato scientifico,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,-,-,http://hdl.handle.net/11311/1007626,2017,03 LIBRO::03.1 Monografia o trattato scientifico,-,STAMPA,eng,-,5,Springer,"BORGHETTI, FABIO;DERUDI, MARCO;GANDINI, PAOLO;FRASSOLDATI, ALESSIO;TAVELLI, SILVIA","Tunnel Fire Testing and Modeling
The Morgex North Tunnel Experiment"
Milano,Nessuno,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/openAccess,-,"storytelling, design, social innovation, philosophy, DESIS Philosophy Talks",http://hdl.handle.net/11311/1008790,2016,03 LIBRO::03.1 Monografia o trattato scientifico,-,ELETTRONICO,eng,ITA,4,"DESIS Philosophy Talks - Dipartimento di Design, Politecnico di Milano","BERTOLOTTI, ELISA;Daam, Heather;PIREDDA, FRANCESCA;Tassinari, Virginia",The Pearl Diver. The Designer as Storyteller
