dc.publisher.place,dc.type.referee,dc.relation.medium,item.openaireRights,item.collection,dc.subject.keywordsita,item.journal.title,dc.subject.keywords,dc.identifier.uri,dc.date.issued,dc.relation.conferenceplace,dc.type.full,dc.type.circulation,dc.relation.ispartofbook,dc.relation.conferencename,dc.language.iso,dc.publisher.country,dc.description.numberofauthors,dc.publisher.name,dc.authority.people,dc.title
Milano,Comitato scientifico,STAMPA,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,"Humanities; Design; Narrazione, Transdisciplinarietà",-,-,http://hdl.handle.net/11311/1000031,2016,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Humanities Design Lab.  Le culture del progetto e le scienze umane e sociali,-,ita,ITA,2,Maggioli Ed.,"CELI, MANUELA;Formia, Elena",Humanities e Design: prove per un dialogo
Milano,Comitato scientifico,STAMPA,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,"Interdisciplinarietà, Design, Narrazione",http://hdl.handle.net/11311/1000033,2016,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Humanities Design Lab Le culture del progetto e le scienze umane e sociali,-,ita,ITA,2,Maggioli Ed.,"CELI, MANUELA;Rizzo, Francesca",Design e narrazione
Bologna,Comitato scientifico,STAMPA,info:eu-repo/semantics/openAccess,02.1 Contributo in Volume,cimitero; forma e misura; metrologia storica; recinto;  simbolo; cultura immateriale,-,-,http://hdl.handle.net/11311/1000316,2016,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,La Certosa di Ferrara. Una città nella città,-,ita,ITA,1,Bononia University press,"ROSSI, MICHELA",L’altra città. Modelli urbani e riferimenti simbolici tra mondo profano e sacralità
Torre del Greco,-,STAMPA,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,"culture di genere, design della comunicazione, formazione",http://hdl.handle.net/11311/1000566,2016,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Le parole della parità,-,ita,ITA,3,Edizioni Scientifiche e Artistiche,"BAULE, GIOVANNI;CARATTI, ELENA;TOLINO, UMBERTO",Design della comunicazione per le culture di genere. Strumenti comunicativi nei luoghi della formazione
Sant'Arcangelo di Romagna,Comitato scientifico,STAMPA,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,"Gio Ponti, Politecnico di Milano, campus",-,-,http://hdl.handle.net/11311/1001444,2016,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Campus e contro campus. Architetture per studiare e ricercare. Aule/Halls,-,eng,ITA,1,Maggioli Editore,"IRACE, FULVIO",Politecnico di Milano. A virtual campus
Venezia,Comitato scientifico,STAMPA,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,"Luigi Figini, Luigi Caccia Dominioni, Ettore Sottsass, Gio Ponti, Carlo Mollino, Vittoriano Viganò, Renzo Piano",-,-,http://hdl.handle.net/11311/1001938,2016,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Stanze. Altre filosofie dell’abitare,-,eng;ita,ITA,1,Marsilio,"IRACE, FULVIO",Case con vista. Houses with a view
Sant'Arcangelo di Romagna,Comitato scientifico,STAMPA,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,"Giovanni Muzio, Milano, Università Cattolica",-,-,http://hdl.handle.net/11311/1001939,2016,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Campus e contro campus. Architetture per studiare e ricercare. Aule/Halls,-,eng,ITA,1,Maggioli Editore,"IRACE, FULVIO",Università Cattolica. Architecture as urban art
Milano,Comitato scientifico,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,Milano,-,-,http://hdl.handle.net/11311/1002472,2016,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Un palazzo in forma di parole. Scritti in onore di Paolo Carpeggiani,-,ita,-,1,Franco Angeli,"IRACE, FULVIO",Facciate leggere
Milano,Comitato scientifico,-,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,accessibilità,http://hdl.handle.net/11311/1002827,2016,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Design è traduzione,-,ita,-,1,Franco Angeli,"RICCO', DINA",Traduzioni sinestesiche. Teorie e pratiche per il progetto dell’accessibilità ai contenuti
Milano,-,STAMPA,info:eu-repo/semantics/closedAccess,02.1 Contributo in Volume,-,-,-,http://hdl.handle.net/11311/1003319,2013,-,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,-,Krisis-Orientation. Un progetto di unità di crisi. Ediz. multilingue,-,mul,ITA,1,Ass. Italiana Progettazione Comunicazione Visiva,"QUAGGIOTTO, MARCO",Due mappe del territorio
