dateissued	typefull	identifier	title	descriptionallpeople																																		
1989	 ALTRO Progetti	httphandlenet11311640518	Lampada Tolomeo	  Lucchi																																		
1993	 ALTRO Altro	httphandlenet11311533539	Design  Assembly	Bruno DAVIDE MARIA																																		
1994	 ALTRO Altro	httphandlenet11311533734	 cadenzamento dellorario ferroviario aspetti metodologici  applicativi	 MAJA LIMONGELLI  VILLA 																																		
1995	 ALTRO Altro	httphandlenet11311533704	 quadro dell'offerta  trasporto IReR  Istituto Regionale  Ricerca della Lombardia  Aggiornamento  piano regionale  trasporti della regione Lombardia	COMETTI   MAJA																																		
1995	 ALTRO Altro	httphandlenet11311533705	Telematica  trasporti  Stato dell'arte delle tecnologie   trasporto guidato   l'intermodalitÃ 	 MAJA GUERRA  CORTESE 																																		
1995	 ALTRO Altro	httphandlenet11311533706	Sistemi innovativi  l'esercizio economico delle linee ferroviarie  scarso traffico	 MAJA																																		
1995	 ALTRO Altro	httphandlenet11311533708	Studio  simulazione  trasporto pubblico  bacino della ferrovia BresciaIseoEdolo	 MAJA																																		
1996	 ALTRO Esposizione	httphandlenet11311693106	Esposizione IPOTESI ECOMUSEALE   CAMPI FLEGREI	 Parente  Gangemi																																		
1996	 ALTRO Mostra	httphandlenet11311693108	Mostra  DESIGN COME ELEMENTO STRATEGICO   PICCOLE  MEDIE IMPRESE PROPOSTE  PROGETTI DELLA SCUOLA  SPECIALIZZAZIONE  DISEGNO INDUSTRIALE  NAPOLI	 Parente  Guida  Valente																																		
1996	 ALTRO Altro	httphandlenet11311533707	Catalogo  sistemi innovativi  navetta automatica   mobilita  urbana	 MAJA GUERRA 																																		
1997	 ALTRO Mostra	httphandlenet11311693110	PROGETTO  INDUSTRIA	 Parente  Guida  Valente																																		
1997	 ALTRO Altro	httphandlenet11311533703	Consulenza  collaborazione   sperimentazione  modelli  simulazione della mobilita   supporto della pianificazione regionale  trasporti  della mobilita   Caso  studio Malpensa  Costruzione  modello  simulazione  traffico   valutazione degli scenari alternativi	 MAJA DALENO 																																		
1998	 ALTRO Mostra	httphandlenet11311693112	Mostra SOTTSSAS  DISEGNI	 Cristallo   Guida  Elia  Morone  Parente																																		
1998	 ALTRO Mostra	httphandlenet11311693114	 MOSTRA DELLARTIGIANATO ARTISTICO  CONTINUITA  INNOVAZIONE DELLA TRADIZIONE	 Cristallo  Guida  Morone   Parente																																		
1999	 ALTRO Altro	httphandlenet11311533559	Disabilita  Motoria  Lavoro guida  orientarsi  mondo  lavoro    	   CANINA																																		
1999	 ALTRO Progetti	httphandlenet11311667420	Concorso internazionale Sarajevo Concert Hall Nuovo auditorium  Sarajevo	 Avallone  Montuori  Orsi  Pierluisi  Sciolari																																		
2000	 ALTRO Altro	httphandlenet11311533558	 domotica qualita  degli ambienti  AAVV Disabilita  Motoria  Lavoro contributi   agire interdisciplinare	  CANINA																																		
2000	 ALTRO Altro	httphandlenet11311565392	Comunicazione visiva domani Sperimentazione  nuovi confini	Guida  																																		
2000	 ALTRO Altro	httphandlenet11311693515	Lionello Balestrieri   esposizioni	Mazzanti																																		
2000	 ALTRO Altro	httphandlenet11311693554	Sentieri nellarte Arte ambientale  Toscana	Mazzanti																																		
2000	 ALTRO Progetti	httphandlenet11311667413	Concorso internazionale   fasi Ampliamento della Galleria Comunale d'Arte Moderna  Contemporanea Fabbrica Peroni  Roma	 Avallone  Montuori  Petrachi  Orsi  Pierluisi  Sciolari																																		
2001	 ALTRO Altro	httphandlenet11311533557	Gamba intelligente cambia  passo secondo  terreno	 CANINA GENNARO VERNI PIERLUIGI VALENTINI																																		
2001	 ALTRO Progetti	httphandlenet11311640519	Stampante   Artjet   	  Lucchi																																		
2001	 ALTRO Progetti	httphandlenet11311667409	Concorso Internazionale Europan  Urbanita  europea  progetti strategici Sito  Massa Italia	 Avallone  Montuori  Musmeci  Petrachi  Orsi  Pierluisi  Sciolari																																		
2001	 ALTRO Progetti	httphandlenet11311667411	Concorso internazionale  progettazione  Parcheggi  scambio Roma Nuovo Salario	 Avallone  Fegiz  Galdo  Musmeci  Orsi   Pierluisi  Sciolari																																		
2002	 ALTRO Design	httphandlenet113111049491	Blue Industries Dove nasce  futuro design innovazione  impresa	Bruno	 DAVIDE MARIA																																	
2002	 ALTRO Altro	httphandlenet11311533384	DILABB	 GALBIATI FRANCESCO GALLI																																		
2002	 ALTRO Altro	httphandlenet11311570634	 grandi progetti infrastrutturali divergenze  criteri  valutazione	 Ponti  Boitani																																		
2002	 ALTRO Altro	httphandlenet11311570636	 lezione  ponte sullo Stretto	 Ponti  Boitani																																		
2002	 ALTRO Altro	httphandlenet11311570656	 federalismo stradale Procedure  prime applicazioni legislative	 Borgnolo  Ponti  Torta																																		
2002	 ALTRO Altro	httphandlenet11311691093	Nuove tecnologie multimedia  standard grafici   rappresentazione digitale  territorio	 Ceconello																																		
2002	 ALTRO Progetti	httphandlenet11311665920	Contratto  quartiere  Giuseppe Baia    Piacenza  controllo  qualita    flessibilita   progetto  riqualificazione	 Schiaffonati  Scoccimarro  Fanzini  Bianchi  Cavalleri  Collina  Cora  Daglio  Fantini  Ginelli  Mussinelli  Sancito  Vitola																																		
2002	 ALTRO Progetti	httphandlenet11311667407	Concorso internazionale  inviti   realizzazione  Museo dell'audiovisivo  Palazzo della Civilta   Lavoro   Roma	 Avallone  Carbonara  Colucci  Fegiz  Galdo  Musmeci  Orsi  Pierluisi  sasso  Sciolari																																		
2003	 ALTRO Altro	httphandlenet11311259638	Proceedings    International Conference  Human Aspects  Advanced Manifacturing Agility  Hybrid Automation	 Bagnara  Pozzi  Rizzo  Rizzo  Save																																		
2003	 ALTRO Altro	httphandlenet11311565393	 tempo  tempi  internet	Guida  																																		
