name	role	dept	SSID	OrcID
Amoruso Giuseppe	Professore associato a tempo pieno	Dipartimento di Design	ICAR/17 - Disegno	https://orcid.org/0000-0001-7821-4517
Andreoni Giuseppe	Professore associato a tempo pieno	Dipartimento di Design	ING-INF/06 - Bioingegneria Elettronica E Informatica	https://orcid.org/0000-0002-5537-4128
Anselmi Laura	Professore associato a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0002-6149-2382
Anzani Anna	Professore associato a tempo pieno	Dipartimento di Design	ICAR/19 - Restauro	https://orcid.org/0000-0002-4265-1720
Arquilla Venanzio	Professore associato a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0003-1626-0221
Barbara Anna	Ricercatore universitario a tempo definito	Dipartimento di Design	ICAR/14 - Composizione Architettonica E Urbana	https://orcid.org/0000-0002-9265-7290
Baule Giovanni	Professore ordinario a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0002-6728-8059
Bertola Paola	Professore ordinario a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0003-1522-4077
Bertolo Maresa	Ricercatore universitario a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0002-1846-7739
Biamonti Alessandro	Professore associato a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0002-4725-2032
Bianchini Massimo	Ricercatore legge 240/10 - t.det. a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0003-1438-4976
Bisson Mario	Professore associato a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0002-7043-6550
Bosoni Giampiero	Professore ordinario a tempo pieno	Dipartimento di Design	ICAR/16 - Architettura Degli Interni E Allestimento	https://orcid.org/0000-0002-9378-0717
Brevi Fausto	Professore associato a tempo pieno	Dipartimento di Design	ICAR/17 - Disegno	https://orcid.org/0000-0001-5116-6412
Bruglieri Maurizio	Professore associato a tempo pieno	Dipartimento di Design	MAT/09 - Ricerca Operativa	https://orcid.org/0000-0002-4517-873X
Brugnoli Gianluca	Ricercatore universitario a tempo definito	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0002-6834-5967
Bruno Davide Maria	Professore associato a tempo definito	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0002-1770-9660
Bucchetti Valeria Luisa	Professore associato a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0002-3538-3625
Calabi Daniela Anna	Professore associato a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0002-1997-269X
Camocini Barbara	Ricercatore legge 240/10 - t.det. a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0001-6967-1329
Canina Maria Rita	Professore associato a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0002-0036-9428
Cappellieri Alba	Professore ordinario a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0002-6438-3739
Caratti Elena	Professore associato a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0001-5119-4544
Cautela Cabirio	Professore associato a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0002-5171-2935
Ceconello Mauro Attilio	Professore associato a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0002-4217-5912
Celi Manuela	Professore associato a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0001-9786-1138
Ceppi Giulio	Ricercatore universitario a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0002-8128-0803
Ciaga' Graziella Leyla	Ricercatore universitario a tempo pieno	Dipartimento di Design	ICAR/18 - Storia Dell'Architettura	https://orcid.org/0000-0001-5484-9956
Ciancia Mariana	Ricercatore legge 240/10 - t.det. a tempo definito	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0001-8509-3776
Ciuccarelli Paolo	Professore associato a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0001-5831-5660
Collina Luisa Maria Virginia	Professore ordinario a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0003-0060-1423
Colombi Chiara	Professore associato a tempo definito	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0001-5791-2746
Conti Giovanni Maria	Professore associato a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0003-2451-4172
Cordera Paola	Ricercatore legge 240/10 - t.det. a tempo pieno	Dipartimento di Design	L-ART/04 - Museologia E Critica Artistica E Del Restauro	https://orcid.org/0000-0001-6701-4392
Costa Fiammetta Carla Enrica	Ricercatore universitario a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0002-5568-0061
Crabu Stefano	Ricercatore legge 240/10 - t.det. a tempo pieno	Dipartimento di Design	SPS/07 - Sociologia Generale	https://orcid.org/0000-0002-0180-716X
De Lucchi Michele	Professore ordinario a tempo definito	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0002-5624-7489
De Paolis Roberto	Ricercatore universitario a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0001-6875-4595
Dell'Acqua Bellavitis Arturo	Professore ordinario a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0002-1902-725X
Deserti Alessandro	Professore ordinario a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0002-1049-7650
Di Prete Barbara	Ricercatore legge 240/10 - t.det. a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0001-9334-7019
Di Sabatino Peter Arthur	Professore associato a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0003-0962-3442
Dominoni Annalisa	Ricercatore universitario a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0003-1667-9786
Fassi Davide	Professore associato a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0002-8436-5028
Feraboli Maria Teresa	Ricercatore legge 240/10 - t.det. a tempo pieno	Dipartimento di Design	ICAR/18 - Storia Dell'Architettura	https://orcid.org/0000-0003-4582-7602
Ferrara Maria Rita	Professore associato a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0002-4099-3137
Ferraris Silvia Deborah	Ricercatore universitario a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0003-3045-5359
Figiani Maurizio	Ricercatore universitario a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0002-0330-753X
Finessi Giuseppe	Professore associato a tempo pieno	Dipartimento di Design	ICAR/16 - Architettura Degli Interni E Allestimento	https://orcid.org/0000-0003-0633-5410
Galbiati Maria Luisa	Professore ordinario a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0002-4578-2072
Gerosa Giulia Maria	Professore associato a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0003-3565-3370
Guerrini Luca	Professore associato a tempo pieno	Dipartimento di Design	ICAR/13 - Disegno Industriale	https://orcid.org/0000-0001-9946-5219
