dateissued	typefull	identifier	title	dc.mainAuthor	dc.section	dc.ssid	dc.keywords
2020	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet11311970790	Energy Efficiency   Environmental Design perspective	Ranci Ortigosa Costanzo	Not in design department	ICAR/13 - Disegno Industriale	environmental;perspective
2019	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111057581	Digitalize Limits  Increased Capability Technology  Overcome Human Mechanisms	Stepanovic Mila	Design e Culture	ICAR/13 - Disegno Industriale	human;tech
2019	 CONTRIBUTO  VOLUME Contributo  Volume	httphandlenet113111062418	Ceramica  carta  produzione nella pubblicit� delle riviste Ceramics  paper Tiles  magazines advertisements	Feraboli Maria Teresa	Design e Culture	ICAR/18 - Storia Dell'Architettura	era;pubblici;carta;ceramics;car
2018	 ALTRO Design	httphandlenet113111053286	Maglia Punto Quarant'anni  tesori nascosti dell'archivio 	Gaddi Rossana	Design di Prodotti Strategie e Servizi	ICAR/16 - Architettura Degli Interni E Allestimento	archivio;costi
2018	 ALTRO Mostra	httphandlenet113111052994	Maglia Punto Quarant'anni  tesori nascosti nella storia dell'archivio 	Visconti Pamela	No section	ICAR/13 - Disegno Industriale	archivio;costi
2018	 BREVETTO Brevetto	httphandlenet113111059394	PLURISENSORIAL SYSTEM ADAPTED   PREVENTION  PROFESSIONAL DISEASES   WORKING ENVIRONMENT  METHOD      SYSTEM	Ferraro Venere	Design di Prodotti Strategie e Servizi	ICAR/13 - Disegno Industriale	senso;system;venti
2018	 BREVETTO Brevetto	httphandlenet113111059395	WEARABLE DEVICE  CONTROLLING GASEOUS POLLUTANTS	Ferraro Venere	Design di Prodotti Strategie e Servizi	ICAR/13 - Disegno Industriale	controlli
2018	 Contributo  Atti  convegno	httphandlenet113111044238	Costruire identitaﾠ	Bisson Mario	Design e Culture	ICAR/13 - Disegno Industriale	identitaﾠ;costruire
2018	 Contributo  Atti  convegno	httphandlenet113111046117	Female Design  Architectural Archives  Italy  Preliminary Investigation among Online Search Tools	Feraboli Maria Teresa	Design e Culture	ICAR/18 - Storia Dell'Architettura	online;line
2018	 Contributo  Atti  convegno	httphandlenet113111049499	Conferenza Internazionale  Foglio Tech Festival Linnovazione guidata dalla idee	Giambruno Maria Cristina	Not in design department	ICAR/13 - Disegno Industriale	innovazione;idee;azione;tech;data
