dc.type.full,dc.type.full
,dc.description.fulltext
dc.identifier.uri,dc.identifier.uri
dc.language.iso,dc.language.iso
dc.date.issued,dc.date.issued
dc.type.referee,dc.type.referee
dc.type.circulation,dc.type.circulation
dc.publisher.name,dc.publisher.name
dc.publisher.country,dc.publisher.country
dc.publisher.place,dc.publisher.place
,dc.relation.ispartofbook
,item.journal.title
dc.relation.medium,dc.relation.medium
,dc.relation.conferenceplace
,dc.relation.conferencename
dc.title,dc.title
dc.subject.keywords,dc.subject.keywordsita
,item.singlekeyword
item.collection,item.collection
item.openaireRights,item.openaireRights
dc.description.numberofauthors,dc.description.numberofauthors
dc.authority.people,dc.authority.people
,item.externalauthor
,crisitem.author.appartenenza
,item.firstauthor
