dc.type.referee,item.collection,dc.subject.keywords,dc.language.iso,dc.description.numberofauthors,dc.title,dc.description.allpeople,dc.relation.medium,dc.publisher.name,dc.publisher.country,dc.date.issued,dc.identifier.uri,dc.subject.keywordsita,item.openaireRights,dc.type.full,dc.publisher.place,dc.type.circulation
-0,03.1 Monografia o trattato scientifico,-0,-0,2,Il traffico urbano in Italia,M. PONTI; P. FANO,-0,Franco Angeli,ITA,1972,http://hdl.handle.net/11311/505794,-0,-0,03 LIBRO::03.1 Monografia o trattato scientifico,-0,-0
-0,-0,-0,ita,1,Magazzino di Mobilia o sieno Modelli di mobili di ogni genere 1796-1797 Firenze,M. C. Tonelli,-0,S.P.E.S. Studio Per Edizioni Scelte,-0,1981,http://hdl.handle.net/11311/665115,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,Firenze,-0
-0,-0,-0,ita,1,Il design in Italia 1925 / 43,M. C. Tonelli Michail,-0,Laterza,ITA,1987,http://hdl.handle.net/11311/505279,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,Roma-Bari,nazionale
-0,03.1 Monografia o trattato scientifico,-0,-0,3,Etica ed economia,P. VOLONTE'; DUILIO; L.,-0,-0,-0,1988,http://hdl.handle.net/11311/504077,-0,-0,03 LIBRO::03.1 Monografia o trattato scientifico,MILANO,nazionale
-0,03.1 Monografia o trattato scientifico,-0,-0,2,La Gran Bretagna: la riqualificazione urbana come rivitalizzazione economica,L. GUERRINI; PEDERIVA I,-0,Iuav/Daest,ITA,1990,http://hdl.handle.net/11311/505349,-0,-0,03 LIBRO::03.1 Monografia o trattato scientifico,VENEZIA,nazionale
-0,03.1 Monografia o trattato scientifico,-0,-0,1,Dizionario del Design,M. TURINETTO,-0,Lupetti&Co.,ITA,1993,http://hdl.handle.net/11311/504930,-0,info:eu-repo/semantics/closedAccess,03 LIBRO::03.1 Monografia o trattato scientifico,MILANO,nazionale
-0,03.1 Monografia o trattato scientifico,Corporate Identity; Product Design; Corporate Image; Designer; Fenomeni comunicativi.,ita,1,Progetto Corporate Identity & Product design,G. Piccinno,-0,Società Editrice Esculapio,-0,1994,http://hdl.handle.net/11311/564067,-0,-0,03 LIBRO::03.1 Monografia o trattato scientifico,Bologna,-0
-0,-0,-0,-0,1,Dall’oggetto all’interfaccia. Mutazioni del design,Costa F.,-0,Feltrinelli,-0,1995,http://hdl.handle.net/11311/692942,-0,none,03 LIBRO::03.8 Traduzione di libro,-0,-0
-0,03.1 Monografia o trattato scientifico,-0,ita,1,L'avventura dell'innovazione fra cultura materiale e strategia del progresso,M. C. Tonelli Michail,-0,Alinea,ITA,1996,http://hdl.handle.net/11311/505278,-0,-0,03 LIBRO::03.1 Monografia o trattato scientifico,FIRENZE,nazionale
-0,03.1 Monografia o trattato scientifico,-0,ger,1,Husserls Phänomenologie der Imagination. Zur Funktion der Phantasie bei der Konstitution von Erkenntnis,P. VOLONTE',-0,Alber,DEU,1997,http://hdl.handle.net/11311/504080,-0,-0,03 LIBRO::03.1 Monografia o trattato scientifico,FREIBURG,internazionale
-0,-0,-0,-0,1,Dal progetto al prodotto,G. SIMONELLI,-0,McGraw-Hill,ITA,1997,http://hdl.handle.net/11311/504994,-0,none,03 LIBRO::03.1 Monografia o trattato scientifico,MILANO,-0
-0,03.1 Monografia o trattato scientifico,-0,-0,3,Eyewear design : sviluppo del prodotto e organizzazione della produzione nel settore degli occhiali tra risorse locali e mercato globale,P. CIUCCARELLI; SEASSARO A.; CELASCHI F.,-0,Il Sole 24 ORE Libri,ITA,1998,http://hdl.handle.net/11311/504753,-0,-0,03 LIBRO::03.1 Monografia o trattato scientifico,MILANO,nazionale
-0,03.1 Monografia o trattato scientifico,impressionismo internazionale; pittura di genere verista; Esposizioni Biennali di Venezia; pittura di paesaggio; ritratti; temi mitologici; opera d'arte totale,ita,4,Ettore Tito (1859-1941),G.Fossaluzza; Maria Flora Giubilei; Anna Mazzanti; Fernando Mazzocca,STAMPA,ELECTA,ITA,1998,http://hdl.handle.net/11311/693587,-0,-0,03 LIBRO::03.1 Monografia o trattato scientifico,Milano,-0
-0,03.1 Monografia o trattato scientifico,arte ambientale; site-specific art; environment art; parchi di scultura,eng,5,Niki de Saint Phalle. The Tarot Garden,A.Mazzanti; Pierre Restany; Enrico Crispolti; Gianni Pettena; Mario Botta,STAMPA,CHARTA,ITA,1998,http://hdl.handle.net/11311/693624,-0,-0,03 LIBRO::03.1 Monografia o trattato scientifico,Milano,-0
-0,03.1 Monografia o trattato scientifico,-0,ita,4,"Concetti, metodi, temi di sociologia. Dodici moduli di scienze sociali",P. VOLONTE'; LUNGHI C.; MAGATTI M.; MORA E.,-0,Einaudi scuola,-0,1999,http://hdl.handle.net/11311/504081,-0,-0,03 LIBRO::03.1 Monografia o trattato scientifico,MILANO,nazionale
