title,pubLink,year,innerCoAuthorsNames,innerCoAuthorsId,outerCoAuthors
Humanities e Design: prove per un dialogo,http://hdl.handle.net/11311/1000031,2016,"CELI, MANUELA",rp10517,"Formia, Elena"
Design e narrazione,http://hdl.handle.net/11311/1000033,2016,"CELI, MANUELA",rp10517,
Design tools to build sustainable business models for social innovation,http://hdl.handle.net/11311/1000150,2016,"KOMATSU, TAMAMI TIFFANY;DESERTI, ALESSANDRO;RIZZO, FRANCESCA;CELI, MANUELA",rp20443;rp09946;rp15209;rp10517,
"COMMUNICATION DESIGN FOR GENDER CULTURES: A RESEARCH
AND A DESIGN PROJECT FOR CONCRETE ACTIONS IN THE
PLACES OF EDUCATION.",http://hdl.handle.net/11311/1000222,2015,"BAULE, GIOVANNI;BUCCHETTI, VALERIA LUISA;CARATTI, ELENA;REINA, MARTA ISABELLA;TOLINO, UMBERTO",rp07984;rp07259;rp18192;rp11383;rp03129,
The digital craftsman,http://hdl.handle.net/11311/1000251,2016,"CECONELLO, MAURO ATTILIO",rp10483,
Architectural Perspective Between Image and Building,http://hdl.handle.net/11311/1000307,2016,"ROSSI, MICHELA",rp02438,
"Synaesthesia of colour, taste and mood: the Futuristic cuisine as a global art",http://hdl.handle.net/11311/1000313,2016,"ROSSI, MICHELA",rp02438,
L’altra città. Modelli urbani e riferimenti simbolici tra mondo profano e sacralità,http://hdl.handle.net/11311/1000316,2016,"ROSSI, MICHELA",rp02438,
"Il colore nell’abitare secondo Giò Ponti.
Tra guerra e ricostruzione, le pagine della rivista Stile.",http://hdl.handle.net/11311/1000317,2016,"ROSSI, MICHELA;BURATTI, GIORGIO",rp02438;rp17492,
Il Disegno come manifesto di Stile. Gio Ponti e i codici della rappresentazione nel rinnovamento del progetto. Design as manifesto of Stile. Gio Ponti and representation codes for the project renewal.,http://hdl.handle.net/11311/1000318,2016,"IAROSSI, MARIA POMPEIANA;ROSSI, MICHELA",rp13284;rp02438,"Mele, Giampiero"
Road accessibility model to the rail network in emergency conditions,http://hdl.handle.net/11311/1000419,2016,"BORGHETTI, FABIO",rp23164,"Malavasi, Gabriele"
Design della comunicazione per le culture di genere. Strumenti comunicativi nei luoghi della formazione,http://hdl.handle.net/11311/1000566,2016,"BAULE, GIOVANNI;CARATTI, ELENA;TOLINO, UMBERTO",rp07984;rp18192;rp03129,
Systems and Design: Beyond Processes and Thinking,http://hdl.handle.net/11311/1000570,2016,"CELI, MANUELA",rp10517,"Formia, E.;Franzato, C.;Imbesi, L.;Peduccio, P. P.;Hernandis, B.;Celaschi, F."
Visual Retailing. Shaping the sense of spaces,http://hdl.handle.net/11311/1001243,2016,"IANNILLI, VALERIA MARIA",rp13283,
Narrative Objectification: Processes and Methodology of Value Creation through Narratives,http://hdl.handle.net/11311/1001252,2016,"IANNILLI, VALERIA MARIA;PENATI, ANTONELLA VALERIA;VACCA, FEDERICA",rp13283;rp08830;rp00236,
A case based discussion on the role of Design Competences in Social Innovation.,http://hdl.handle.net/11311/1001327,2016,"KOMATSU, TAMAMI TIFFANY;CELI, MANUELA;DESERTI, ALESSANDRO;RIZZO, FRANCESCA",rp20443;rp10517;rp09946;rp15209,
Politecnico di Milano. A virtual campus,http://hdl.handle.net/11311/1001444,2016,"IRACE, FULVIO",rp13301,
Case con vista. Houses with a view,http://hdl.handle.net/11311/1001938,2016,"IRACE, FULVIO",rp13301,
Università Cattolica. Architecture as urban art,http://hdl.handle.net/11311/1001939,2016,"IRACE, FULVIO",rp13301,
Interni inclusivi. Dialoghi trasversali,http://hdl.handle.net/11311/1001967,2016,"BARBARA, ANNA;CHIODO, SIMONA",rp16753;rp12773,"Ceresoli, J."
Facciate leggere,http://hdl.handle.net/11311/1002472,2016,"IRACE, FULVIO",rp13301,
The narratives and the supports. Remediating Design Culture in the translation of transmedia artefacts.,http://hdl.handle.net/11311/1002790,2016,"CIASTELLARDI, MATTEO",rp23328,"de Kerckhove, Derrick"
Networking democracy. A social media framework to enhance political reactivation in bottom-up environment.,http://hdl.handle.net/11311/1002813,2011,"CIASTELLARDI, MATTEO",rp23328,"Widmayer, Valentina"
Traduzioni sinestesiche. Teorie e pratiche per il progetto dell’accessibilità ai contenuti,http://hdl.handle.net/11311/1002827,2016,"RICCO', DINA",rp08639,
ICE BLOCK GLASS,http://hdl.handle.net/11311/1002912,2016,"MURANO, FRANCESCO",rp13459,
The Cultural Dimension of Design Driven Innovation. A Perspective from the Fashion Industry,http://hdl.handle.net/11311/1002993,2016,"BERTOLA, PAOLA;VACCA, FEDERICA;COLOMBI, CHIARA;IANNILLI, VALERIA MARIA",rp08052;rp00236;rp18665;rp13283,"Augello, Matteo"
Due mappe del territorio,http://hdl.handle.net/11311/1003319,2013,"QUAGGIOTTO, MARCO",rp01463,
Cartografie del sapere. Interfacce per l'accesso agli spazi della conoscenza,http://hdl.handle.net/11311/1003330,2012,"QUAGGIOTTO, MARCO",rp01463,
Partitioning a graph into minimum gap components,http://hdl.handle.net/11311/1003476,2016,"BRUGLIERI, MAURIZIO",rp07215,"Cordone, Roberto"
Drawing food trends: Design potential in shaping food future,http://hdl.handle.net/11311/1003493,2016,"CELI, MANUELA;RUDKIN, JENNIFER",rp10517;rp10835,
Gioielli alla Moda/ Jewellery a la mode,http://hdl.handle.net/11311/1003707,2016,"CAPPELLIERI, ALBA",rp10620,
Transmedia Design Framework. Un approccio design-oriented alla Transmedia Practice,http://hdl.handle.net/11311/1003807,2016,"CIANCIA, MARIANA",rp10163,
Playn'Rebus 2,http://hdl.handle.net/11311/1003948,2015,"CARATTI, ELENA;TOLINO, UMBERTO",rp18192;rp03129,"Menini, Marco;Minzoni, Marco;Spinelli, Aldo;Hachen, Massimo"
EARTHSPLOITATION. GAME DESIGN RESEARCH AND EXPERIMENTATION FOR FOOD SUSTAINABILITY,http://hdl.handle.net/11311/1004058,2015,"BERTOLO, MARESA;MARIANI, ILARIA",rp08060;rp11844,"Ruffino, Giulia"
DESIGN AND PROTOTYPING OF A FLEXIBLE PREFABRICATED MODULE FOR LOFT CONVERSIONS. THE “MADE IN ITALY” NATIONAL RESEARCH PROGRAMME.,http://hdl.handle.net/11311/1004077,2016,"DAGLIO, LAURA;GEROSA, GIULIA MARIA",rp11343;rp00520,
