dc.type.full,dc.identifier.uri,dc.date.issued,dc.title,dc.authority.people
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/692909,1986,convegno,"PILLAN, MARGHERITA;F. Vidimari;A. Orsucci"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/692906,1987,convegno,"C. Ghezzi;R. Mosca;E. Gombia;PILLAN, MARGHERITA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/692910,1987,convegno,"PILLAN, MARGHERITA;F. Vidimari"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/692911,1988,convegno,"PILLAN, MARGHERITA;F. Vidimari;A. Erenheim"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/692917,1988,convegno,"G. Donzelli;PILLAN, MARGHERITA;E. Bastida"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/502081,1992,convegno,"PIZZOCARO, SILVIA LUISA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/502082,1992,convegno,"PIZZOCARO, SILVIA LUISA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/542464,1992,convegno,"ALEI A.;MAJA, ROBERTO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/692921,1993,convegno,"BRAMBILLA, ANGELO MAURIZIO;D'AMORE, DARIO;PILLAN, MARGHERITA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/666930,1994,convegno,"PILLAN, MARGHERITA;SCIUTO, DONATELLA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/692923,1994,convegno,"D'AMORE, DARIO;PILLAN, MARGHERITA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/692925,1994,convegno,"D. Camin;G. Pessina;E. Previtali;PILLAN, MARGHERITA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/692928,1994,convegno,"PILLAN, MARGHERITA;SCIUTO, DONATELLA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/1049345,1995,convegno,Davide Bruno
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/1049357,1995,convegno,Davide bruno
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/1049360,1995,convegno,Davide Bruno
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/692930,1995,convegno,"BRANDOLESE, CARLO;PILLAN, MARGHERITA;SALICE, FABIO;SCIUTO, DONATELLA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/666806,1996,convegno,"BRANDOLESE, CARLO;PILLAN, MARGHERITA;SALICE, FABIO;SCIUTO, DONATELLA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/692933,1996,convegno,"BRANDOLESE, CARLO;PILLAN, MARGHERITA;SALICE, FABIO;SCIUTO, DONATELLA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/692936,1996,convegno,"PILLAN, MARGHERITA;SALICE, FABIO;G. Ghione"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/538929,1997,convegno,"ROVETTA, ALBERTO;CANINA, MARIA RITA;F. LORINI"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/542465,1997,convegno,"MAJA, ROBERTO;MANZINI A.;INZIRILLO F.;ROTONDO G."
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/542476,1997,convegno,"PODEST C.;CEMIN A.;MAJA, ROBERTO;POZZI M.;SADA S."
