dc.type.full,dc.identifier.uri,dc.date.issued,dc.title,dc.authority.people
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/660207,1989,Proiezioni urbane. La realtà dell'immaginario,"GALBIATI, MARIA LUISA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/564075,1990,Nuove vie del design in Giappone.,"L. Migliore;PICCINNO, GIOVANNA;M. Servetto"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/660210,1991,Alessandro Mendini. La poltrona di proust,"GALBIATI, MARIA LUISA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/660626,1991,Lo sguardo discreto. habitat e fotografia,"GALBIATI, MARIA LUISA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/570619,1992,I trasporti e l'industria,"PONTI, MARCO GUIDO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/660214,1992,Soglie urbane. Uno sguardo fotografico sul territorio,"GALBIATI, MARIA LUISA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/504083,1995,Erich Przywara. Analogia entis,"VOLONTE', PAOLO GAETANO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/660156,1996,Fotografia e paesaggio. La rappresentazione fotografica del territorio,"GALBIATI, MARIA LUISA;P. Pozzi;R. Signorini"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/504078,1997,Max Weber. La scienza come professione,"VOLONTE', PAOLO GAETANO"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532644,1997,"L’architettura moderna del Novecento (Modern Architecture since 1900),","BARBARA, ANNA;RODRIQUEZ C."
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/562603,1997,Luciano Baldessari nelle carte del suo archivio,"CIAGA', GRAZIELLA LEYLA"
06 CURATELA::06.1 Curatela,http://hdl.handle.net/11311/532728,1998,"Progetto, processo, prodotto. Variabili di innovazione","PENATI, ANTONELLA VALERIA;SEASSARO A."
