dc.type.full,dc.identifier.uri,dc.date.issued,dc.title,dc.authority.people
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1001243,2016,Visual Retailing. Shaping the sense of spaces,"IANNILLI, VALERIA MARIA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1003330,2012,Cartografie del sapere. Interfacce per l'accesso agli spazi della conoscenza,"QUAGGIOTTO, MARCO"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1003707,2016,Gioielli alla Moda/ Jewellery a la mode,"CAPPELLIERI, ALBA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1003807,2016,Transmedia Design Framework. Un approccio design-oriented alla Transmedia Practice,"CIANCIA, MARIANA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1005063,2015,"L’oggetto del progetto. Saggi, dialoghi e lezioni di semiotica intorno al design e all’inventiva progettuale","ZINGALE, SALVATORE;BONFANTINI, MASSIMO ACHILLE"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1006784,2015,FOR DESIGNERS WITH THEIR HEAD BEYOND THE CLOUDS,"DOMINONI, ANNALISA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1006942,2017,Design per la sostenibilità ambiantale. Progettare il ciclo di vita dei prodotti.,"VEZZOLI, CARLO ARNALDO"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1007206,2016,Le politiche per il design e il design per le politiche. Dal focus sulla soluzione alla centralità della valutazione.,"MORTATI, MARZIA;VILLARI, BEATRICE;MAFFEI, STEFANO;ARQUILLA, VENANZIO"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1007626,2017,"Tunnel Fire Testing and Modeling
The Morgex North Tunnel Experiment","BORGHETTI, FABIO;DERUDI, MARCO;GANDINI, PAOLO;FRASSOLDATI, ALESSIO;TAVELLI, SILVIA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1008790,2016,The Pearl Diver. The Designer as Storyteller,"BERTOLOTTI, ELISA;Daam, Heather;PIREDDA, FRANCESCA;Tassinari, Virginia"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1009996,2017,OLTRE L’ABITO. IRIDESCENZE NELLA MODA CONTEMPORANEA,"CONTI, GIOVANNI MARIA;FIORANI, ELEONORA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1010664,2016,"SOCIAL FOOD CLUB. SERVICE E FOOD DESIGN COME ABILITATORI DI NUOVI MODELLI DI SVILUPPO, INNOVAZIONE E COESIONE SOCIALE.","MAFFEI, STEFANO;VILLARI, BEATRICE;TAMINI, LUCA;PARINI, BARBARA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1014983,2016,Spazio pubblico e attrattività urbana. L'Isola e le sue piazze,"BRUZZESE, MARIA ANTONELLA;GEROSA, GIULIA MARIA;TAMINI, LUCA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1016673,2016,Il design e gli interni di Franco Albini,"BUCCI, FEDERICO;BOSONI, GIAMPIERO"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1018130,2016,Next Design Innovation,"MAFFEI, STEFANO;BIANCHINI, MASSIMO"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1018379,2016,Adapting Reuse. Strategie di conversione d'uso degli interni e di rinnovamento urbano,"CAMOCINI, BARBARA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1018791,2017,CoDesign for Public-Interest Services,"SELLONI, DANIELA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1018817,2016,"Moving design
The flow of people in the cities of the future","BRUNO, DAVIDE MARIA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1019052,2016,MICHELE DE LUCCHI,"DE LUCCHI, MICHELE"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1019544,2016,Diseňo de productos ambientalmente sustentables,"VEZZOLI, CARLO ARNALDO;MANZINI, EZIO"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1019554,2016,Handbook of Research on Visual Computing and Emerging Geometrical Design Tools,"AMORUSO, GIUSEPPE"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1022048,2017,SaloneSatellite. 20 anni di nuova creatività,"FINESSI, GIUSEPPE"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1026910,2016,LIGHTING ARTWORKS IN ART EXIBITIONS,"MURANO, FRANCESCO"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1028150,2015,Sulla spiaggia,"FASSI, DAVIDE"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1029588,2017,Design & Interiors. Considerations on an evolving discipline between education and profession,"BIAMONTI, ALESSANDRO"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1031371,2017,Media Culture Design. Introduzione alla Cultura dei Media per il Design della Comunicazione,"CIASTELLARDI, MATTEO"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1031375,2017,"La Gestione Bottom-up dell'Informazione in Rete. 
Analisi progettuale e sintesi critica dei sistemi partecipativi online","CIASTELLARDI, MATTEO"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1036475,2017,Il designer in azienda. Il viaggio d'esplorazione di un giovane designer in una PMI no-design,F. Bianco;L. Rampino
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1037393,2017,Interior(c)ity. Il design di interni urbani pres-agisce storie nuove.,A. Rebaglio
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1038437,2015,GIOIELLI IN TAVOLA | FOOD JEWELLERY,L. Tenuta;V. Vecchi
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1038440,2015,SKIN: LA SUPERFICIE DEL GIOIELLO | SKIN: THE SURFACE OF THE JEWEL,L. TENUTA
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1038441,2016,IL GIOIELLO E IL VIAGGIO | JEWELLERY AND JOURNEY,L. TENUTA
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1039133,2015,Designing Pilot Projects as Boundary Objects. A Brazilian Case Study in the Promotion of Sustainable Design,"F. Zurlo;DOS GUIMARAES ALVIM NUNES, VIVIANE"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1039811,2017,Designing better services. A strategic approach from design to evaluation,F. Foglieni;B. Villari;S. Maffei
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1039820,2017,MakeToCare. Un ecosistema di attori e soluzioni user-centered per l'innovazione nel campo dell'healthcare,"Maffei, Stefano;Bianchini, Massimo;Parini, Barbara;DELLI ZOTTI, ELISA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1041104,2018,"Catene:Gioielli tra storia, funzione e ornamento. Chains: jewellery in history, function and ornament","Cappellieri, Alba"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1041106,2017,"Gioielli Funzionali, Functional Jewellery",Cappellieri Alba
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1044114,2017,Dalla molecola al paziente. La biomedicina nella società contemporanea,"Crabu, Stefano"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1044392,2018,Location-Based Mobile Games. Design Perspectives,"Spallazzo, Davide;Mariani, Ilaria"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1044670,2017,Design e rito. La cultura del progetto per il patrimonio rituale contemporaneo,G. Pils;R. Trocchianesi
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1044702,2018,"Materials that Move. Smart Materials, Intelligent Design",M. Bengisu;M. Ferrara
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1045755,2018,Laboratori d'arredo. Didattica e progetti di design tra tradizione e innovazione,R. de Paolis;M. S. Tresoldi;G. Buratti;L. Dellera;E. Lupidi
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1045761,2000,Furniture e Textile design. Ricerca applicata e formazione come strategie per l'area comasca,R. de Paolis;A. Deserti;F. Celaschi
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1045958,2012,Benedetto Luti: l'ultimo maestro,Rodolfo Maffeis
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1047608,2018,Design & Alzheimer,"alessandro, biamonti"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1048748,2018,Evolving Perspectives in Product Design. From Mass Production to Social Awareness,Lucia Rampino
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1049832,2018,MASSIVE CODESIGN,"Meroni Anna;SELLONI, DANIELA;ROSSI, MARTINA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1051184,2018,"Il Design dell’illuminazione: dalla cultura del progetto, al colore, al CAD",M. Rossi
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1051292,2018,FASHIONabilities. Pianificare e gestire i processi di progettazione del prodotto moda,Bertola P.;Colombi C.;Vacca F.
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1051311,2018,SPAZIO AL CIBO. IL RUOLO DEL DESIGN NEL PROGETTO DELL’ALTA CUCINA,B Di Prete
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1054512,2018,"Idee in movimento, il valore economico dell'innovazione",Marco Turinetto
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1054598,2007,EUCIP Guida alla certificazione per professionisti IT,G. BIGINI;M. BRAMBILLA;CAPPIELLO C;F. RIZZO
