dc.type.full,dc.identifier.uri,dc.date.issued,dc.authority.people
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista (EX RV - Articoli),http://hdl.handle.net/11311/240029,2005,"ROGNOLI, VALENTINA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1000251,2016,"CECONELLO, MAURO ATTILIO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1000307,2016,"ROSSI, MICHELA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1000313,2016,"ROSSI, MICHELA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1000419,2016,"BORGHETTI, FABIO;Malavasi, Gabriele"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1002993,2016,"BERTOLA, PAOLA;VACCA, FEDERICA;COLOMBI, CHIARA;IANNILLI, VALERIA MARIA;Augello, Matteo"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1003476,2016,"BRUGLIERI, MAURIZIO;Cordone, Roberto"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1003493,2016,"CELI, MANUELA;RUDKIN, JENNIFER"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1004183,2017,"Baldi, Mauro Maria;BRUGLIERI, MAURIZIO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1005156,2015,"ZINGALE, SALVATORE"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1005163,2016,"ZINGALE, SALVATORE"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1005189,2016,"BRUGLIERI, MAURIZIO;Mancini, Simona;Pezzella, Ferdinando;Pisacane, Ornella"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1005663,2015,"ANDREONI, GIUSEPPE;MAZZOLA, MARCO;Matteoli, S;D’Onofrio, S;Forzoni, L."
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1005736,2016,"Souza, Patrícia Patrícia de Mello;CONTI, GIOVANNI MARIA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1006022,2016,"MARIANI, ILARIA;J. Ackermann"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1006165,2016,"ANDREONI, GIUSEPPE;STANDOLI, CARLO EMILIO;PEREGO, PAOLO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1006915,2016,"MARIANI, ILARIA;Gandolfi, Enrico"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1006959,2016,"Souza, Patrícia de Mello;CONTI, GIOVANNI MARIA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1007532,2016,"ROSSI, MARTINA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1008146,2016,"PARISI, STEFANO;ROGNOLI, VALENTINA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1008150,2017,"ROGNOLI, VALENTINA;FERRARA, MARIA RITA;ARQUILLA, VENANZIO"
