dc.type.full,dc.identifier.uri,dc.language.iso,dc.date.issued,dc.type.referee,dc.type.circulation,dc.publisher.name,dc.publisher.country,dc.publisher.place,dc.relation.ispartofbook,item.journal.title,dc.relation.medium,dc.relation.conferencename,dc.relation.conferenceplace,dc.title,dc.subject.keywords,item.collection,item.openaireRights,dc.description.numberofauthors,dc.authority.people
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,http://hdl.handle.net/11311/1000031,ita,2016,Comitato scientifico,-,Maggioli Ed.,ITA,Milano,Humanities Design Lab.  Le culture del progetto e le scienze umane e sociali,-,STAMPA,-,-,Humanities e Design: prove per un dialogo,"Humanities; Design; Narrazione, Transdisciplinarietà",02.1 Contributo in Volume,info:eu-repo/semantics/closedAccess,2,"CELI, MANUELA;Formia, Elena"
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,http://hdl.handle.net/11311/1000033,ita,2016,Comitato scientifico,-,Maggioli Ed.,ITA,Milano,Humanities Design Lab Le culture del progetto e le scienze umane e sociali,-,STAMPA,-,-,Design e narrazione,"Interdisciplinarietà, Design, Narrazione",02.1 Contributo in Volume,info:eu-repo/semantics/closedAccess,2,"CELI, MANUELA;Rizzo, Francesca"
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,http://hdl.handle.net/11311/1000316,ita,2016,Comitato scientifico,-,Bononia University press,ITA,Bologna,La Certosa di Ferrara. Una città nella città,-,STAMPA,-,-,L’altra città. Modelli urbani e riferimenti simbolici tra mondo profano e sacralità,cimitero; forma e misura; metrologia storica; recinto;  simbolo; cultura immateriale,02.1 Contributo in Volume,info:eu-repo/semantics/openAccess,1,"ROSSI, MICHELA"
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,http://hdl.handle.net/11311/1000566,ita,2016,-,-,Edizioni Scientifiche e Artistiche,ITA,Torre del Greco,Le parole della parità,-,STAMPA,-,-,Design della comunicazione per le culture di genere. Strumenti comunicativi nei luoghi della formazione,"culture di genere, design della comunicazione, formazione",02.1 Contributo in Volume,info:eu-repo/semantics/closedAccess,3,"BAULE, GIOVANNI;CARATTI, ELENA;TOLINO, UMBERTO"
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,http://hdl.handle.net/11311/1001444,eng,2016,Comitato scientifico,-,Maggioli Editore,ITA,Sant'Arcangelo di Romagna,Campus e contro campus. Architetture per studiare e ricercare. Aule/Halls,-,STAMPA,-,-,Politecnico di Milano. A virtual campus,"Gio Ponti, Politecnico di Milano, campus",02.1 Contributo in Volume,info:eu-repo/semantics/closedAccess,1,"IRACE, FULVIO"
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,http://hdl.handle.net/11311/1001938,eng;ita,2016,Comitato scientifico,-,Marsilio,ITA,Venezia,Stanze. Altre filosofie dell’abitare,-,STAMPA,-,-,Case con vista. Houses with a view,"Luigi Figini, Luigi Caccia Dominioni, Ettore Sottsass, Gio Ponti, Carlo Mollino, Vittoriano Viganò, Renzo Piano",02.1 Contributo in Volume,info:eu-repo/semantics/closedAccess,1,"IRACE, FULVIO"
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,http://hdl.handle.net/11311/1001939,eng,2016,Comitato scientifico,-,Maggioli Editore,ITA,Sant'Arcangelo di Romagna,Campus e contro campus. Architetture per studiare e ricercare. Aule/Halls,-,STAMPA,-,-,Università Cattolica. Architecture as urban art,"Giovanni Muzio, Milano, Università Cattolica",02.1 Contributo in Volume,info:eu-repo/semantics/closedAccess,1,"IRACE, FULVIO"
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,http://hdl.handle.net/11311/1002472,ita,2016,Comitato scientifico,-,Franco Angeli,-,Milano,Un palazzo in forma di parole. Scritti in onore di Paolo Carpeggiani,-,-,-,-,Facciate leggere,Milano,02.1 Contributo in Volume,info:eu-repo/semantics/closedAccess,1,"IRACE, FULVIO"
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,http://hdl.handle.net/11311/1002827,ita,2016,Comitato scientifico,-,Franco Angeli,-,Milano,Design è traduzione,-,-,-,-,Traduzioni sinestesiche. Teorie e pratiche per il progetto dell’accessibilità ai contenuti,accessibilità,02.1 Contributo in Volume,info:eu-repo/semantics/closedAccess,1,"RICCO', DINA"
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,http://hdl.handle.net/11311/1003319,mul,2013,-,-,Ass. Italiana Progettazione Comunicazione Visiva,ITA,Milano,Krisis-Orientation. Un progetto di unità di crisi. Ediz. multilingue,-,STAMPA,-,-,Due mappe del territorio,-,02.1 Contributo in Volume,info:eu-repo/semantics/closedAccess,1,"QUAGGIOTTO, MARCO"
