Id	Label	attr_type	global_occurrences	modularity_class	componentnumber	Degree	Eccentricity	closnesscentrality	harmonicclosnesscentrality	betweenesscentrality	filter_betweens	filter_hubs	eigencentrality		Label
authors_9d8d06e7cd95b570f6c51521d15d8bb0	g. verni	<[-Infinity, Infinity, authors]>	<[-Infinity, Infinity, 1]>	16	0	4	7	0.230431	0.252998	0	false	false	0.066614		Ventura, Nicola
authors_f4a7c20c8f14e937e027c354049fe5bc	e. lega	<[-Infinity, Infinity, authors]>	<[-Infinity, Infinity, 1]>	24	0	1	7	0.205451	0.214342	0	false	false	0.007263		Verganti, Roberto
authors_bdc59c039de3efa1a5b2667a31e44bb0	a luè	<[-Infinity, Infinity, authors]>	<[-Infinity, Infinity, 1]>	12	0	2	7	0.205925	0.223517	0	false	false	0.015819		Zanzottera, Ferdinando
authors_64b06c6adccc5f009369e854edff83b8	a. alamia	<[-Infinity, Infinity, authors]>	<[-Infinity, Infinity, 1]>	16	0	3	7	0.230412	0.252811	0	false	false	0.062582		Vezzoli, Carlo Arnaldo
authors_b16a845a7de36055607d77aed64ec0c9	a. alessandro	<[-Infinity, Infinity, authors]>	<[-Infinity, Infinity, 1]>	27	0	5	8	0.189976	0.199672	0	false	false	0.007763		Cantu', Daria
authors_edbf373279ba423ad9164f300099c4a6	a. anedda	<[-Infinity, Infinity, authors]>	<[-Infinity, Infinity, 2]>	16	0	2	7	0.207958	0.220687	0	false	false	0.00711		Oliva, Serena
authors_60dc3546f328535de835be02b6341821	a. antonini	<[-Infinity, Infinity, authors]>	<[-Infinity, Infinity, 1]>	15	0	4	7	0.21008	0.223053	0	false	false	0.010955		Vacca, Federica
authors_44998700e545ac29f85bb721a0b61955	a. arossa	<[-Infinity, Infinity, authors]>	<[-Infinity, Infinity, 2]>	14	0	13	6	0.24	0.257162	0	false	false	0.070727		Cervetta, Gabriele
authors_21e4a5b96d241dbcd7f30f41f42e62fc	a. arruda	<[-Infinity, Infinity, authors]>	<[-Infinity, Infinity, 1]>	36	0	2	6	0.228855	0.237606	0	false	false	0.005207		Gabbatore, Roberta
authors_7bf191a09ca063f4e9c5dd2d4d0fab0c	a. asmundo	<[-Infinity, Infinity, authors]>	<[-Infinity, Infinity, 1]>	22	0	3	8	0.178234	0.185937	0	false	false	0.004431		Frattini, Federico
authors_02cddde5d49d103761d711c409c4b5f9	a. b. pesando	<[-Infinity, Infinity, authors]>	<[-Infinity, Infinity, 1]>	24	0	33	6	0.248145	0.268	0	false	false	0.702476		Guida, Francesco Ermanno
authors_12125f1ec910db8b434149acf63f4af3	a. bagnasco	<[-Infinity, Infinity, authors]>	<[-Infinity, Infinity, 1]>	36	0	2	6	0.23715	0.247789	0	false	false	0.007998		Baldi, Claudia
authors_e1dd6e66f5a5eab7265c8ccff1bd138a	a. baila	<[-Infinity, Infinity, authors]>	<[-Infinity, Infinity, 4]>	37	0	6	7	0.214149	0.229358	310.019214	false	false	0.065006		Colombo, Barbara
authors_5aa3ca09362552c4bf0a67e8c3cafe8f	a. barichello	<[-Infinity, Infinity, authors]>	<[-Infinity, Infinity, 1]>	16	0	4	7	0.230431	0.252998	0	false	false	0.069039		Parini, Sergio
authors_aec51982657e1e1a1e8e451fd77fd417	a. bellotto	<[-Infinity, Infinity, authors]>	<[-Infinity, Infinity, 1]>	15	0	4	7	0.222333	0.237858	0	false	false	0.014846		Pasina, Irene
authors_a1e7e2503054c359ae0ed65b0f9f5967	a. belluscio	<[-Infinity, Infinity, authors]>	<[-Infinity, Infinity, 2]>	27	0	1	8	0.194831	0.203551	0	false	false	0.003049		Pedrazzini, Neva
authors_77056fae9313d56144d3bb819a630ef7	a. boitani	<[-Infinity, Infinity, authors]>	<[-Infinity, Infinity, 5]>	22	0	5	8	0.178257	0.186311	1.5	false	false	0.005666		Vidari, Pier Paride
authors_422cb6ce0068fc87e67c29e9df2c68a5	a. borlini	<[-Infinity, Infinity, authors]>	<[-Infinity, Infinity, 1]>	22	0	2	8	0.177548	0.195911	0	false	false	0.024003		Carulli, Marina
authors_6ef4e9a55338f1741a97fe71100acf0e	a. botero	<[-Infinity, Infinity, authors]>	<[-Infinity, Infinity, 1]>	34	0	3	6	0.242172	0.258041	0	false	false	0.020017		Morlando, Giorgia
authors_0e97bf4e911c480ee92f9840ed89a310	a. bozzon	<[-Infinity, Infinity, authors]>	<[-Infinity, Infinity, 1]>	30	0	1	7	0.194491	0.203215	0	false	false	0.002767		Musante, Fulvio
authors_ceb1b4e3095756d0d5e1900ab915bc46	a. branzi	<[-Infinity, Infinity, authors]>	<[-Infinity, Infinity, 1]>	31	0	1	7	0.223335	0.233234	0	false	false	0.004274		Lega, Elisa
authors_b6b029325be1edafe13fa9a228f1ef06	a. burtscher	<[-Infinity, Infinity, authors]>	<[-Infinity, Infinity, 1]>	36	0	3	6	0.237402	0.248325	0	false	false	0.009627		Ferraro, Venere
authors_2c682241a6671fa90e1d70bb262a4538	a. c. cimoli	<[-Infinity, Infinity, authors]>	<[-Infinity, Infinity, 1]>	36	0	1	6	0.234737	0.245005	0	false	false	0.006342		Vignati, Giorgio
authors_13973e93a47be0fd5163733e9ab77535	a. c. russo	<[-Infinity, Infinity, authors]>	<[-Infinity, Infinity, 3]>	10	0	1	7	0.229917	0.246175	0	false	false	0.014396		Camocini, Barbara
authors_1e47b4185a1e6e42848546e0747d8ade	a. c. turconi	<[-Infinity, Infinity, authors]>	<[-Infinity, Infinity, 2]>	16	0	6	7	0.230471	0.253371	0	false	false	0.072518		Gerosa, Giulia Maria
authors_c37352f7f1284a2e4903665558cd4948	a. calvera	<[-Infinity, Infinity, authors]>	<[-Infinity, Infinity, 1]>	10	0	1	7	0.229917	0.246175	0	false	false	0.014396		Rolando, Alberto Luigi Michele
authors_dd820989ea1442b8a17d9960100e75b7	a. can özcan	<[-Infinity, Infinity, authors]>	<[-Infinity, Infinity, 1]>	10	0	2	7	0.229936	0.246362	0	false	false	0.015402		Russo, Michele
authors_09e1be06da2e6a78d95925d192e1a19c	a. can ozcan	<[-Infinity, Infinity, authors]>	<[-Infinity, Infinity, 1]>	10	0	1	7	0.229917	0.246175	0	false	false	0.014396		Cavalleri, Anna
authors_d6a570cd698f31d3f59a610fb329a1ac	a. canon pineros	<[-Infinity, Infinity, authors]>	<[-Infinity, Infinity, 1]>	36	0	1	6	0.24893	0.260326	0	false	false	0.012062		Ceschin, Fabrizio
authors_90d257df423b019d9bf281a19e5a416e	a. cappiello	<[-Infinity, Infinity, authors]>	<[-Infinity, Infinity, 1]>	12	0	5	7	0.205973	0.224077	0	false	false	0.022273		Villani, Paola Maria Chiara
authors_669fa30d7ea9639bd547bc80763154e7	a. carpinteri	<[-Infinity, Infinity, authors]>	<[-Infinity, Infinity, 2]>	37	0	5	7	0.201871	0.215083	0.25	false	false	0.024116		Morrocchi, Valentina
authors_9e742336033f6aa7e2d1efda997ae00b	a. caruso	<[-Infinity, Infinity, authors]>	<[-Infinity, Infinity, 4]>	31	0	13	6	0.251622	0.267395	0	false	false	0.053921		Rainoldi, Giovanni
authors_36cf3124f7ad152409ed2e15fd249635	a. cattaneo	<[-Infinity, Infinity, authors]>	<[-Infinity, Infinity, 1]>	12	0	2	7	0.205925	0.223517	0	false	false	0.015819		Bossi, Elisa
authors_555056109f288408cf1ba465b0b236e2	a. cavalleri	<[-Infinity, Infinity, authors]>	<[-Infinity, Infinity, 1]>	36	0	1	6	0.24893	0.260326	0	false	false	0.012062		Zanolla Mancini, Anna Sara
authors_3c9ae50032aac5e669355c76f9707597	a. cecchini	<[-Infinity, Infinity, authors]>	<[-Infinity, Infinity, 4]>	14	0	15	6	0.246069	0.266841	28633.041688	false	false	0.079871		Gorno, Roberta
