dc.type.full,dc.identifier.uri,dc.language.iso,dc.date.issued,dc.type.referee,dc.type.circulation,dc.publisher.name,dc.publisher.place,dc.publisher.country,dc.relation.ispartofbook,item.journal.title,dc.relation.medium,dc.relation.conferenceplace,dc.relation.conferencename,,dc.subject.keywords,item.collection,item.openaireRights,dc.description.numberofauthors,dc.authority.people
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/692909,eng,1986,-,internazionale,-,-,-,-,-,-,"Hakone, Giappone",4th Semiinsulating III-V Materials Conference,,-,04.1 Contributo in Atti di convegno,none,3,"PILLAN, MARGHERITA;F. Vidimari;A. Orsucci"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/692906,eng,1987,-,-,-,-,-,-,-,-,"Bologna, Italia","17th European Solid State Device Research Conference, ESSDERC",,-,04.1 Contributo in Atti di convegno,none,4,"C. Ghezzi;R. Mosca;E. Gombia;PILLAN, MARGHERITA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/692910,eng,1987,-,-,-,-,-,-,-,-,"Bologna, Italia","17th European Solid State Device Research Conference, ESSDERC",,-,04.1 Contributo in Atti di convegno,none,2,"PILLAN, MARGHERITA;F. Vidimari"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/692911,eng,1988,-,internazionale,-,-,-,-,-,-,"Malmo, Svezia",5th Semiinsulating III-V Materials Conference,,-,04.1 Contributo in Atti di convegno,none,3,"PILLAN, MARGHERITA;F. Vidimari;A. Erenheim"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/692917,eng,1988,-,-,-,-,-,-,-,-,-,-,,-,04.1 Contributo in Atti di convegno,none,3,"G. Donzelli;PILLAN, MARGHERITA;E. Bastida"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/502081,-,1992,-,internazionale,-,-,-,-,-,-,"Trolleholm Castle, Sweden","Learning from Undoing: an Industrial Strategy, Papers from the ""Extended Producer Responsibility"", Invitational Expert Seminar",,-,04.1 Contributo in Atti di convegno,none,1,"PIZZOCARO, SILVIA LUISA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/502082,eng,1992,"Sì, ma tipo non specificato",internazionale,-,-,-,-,-,-,"Nunspeet, The Netherlands","the First NOH European Conference 'Design for the Environment', Nunspeet, The Netherlands,",,-,04.1 Contributo in Atti di convegno,none,1,"PIZZOCARO, SILVIA LUISA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/542464,-,1992,-,nazionale,-,-,-,Sviluppo e prospettive dei trasporti elettrificati: ricerca ed innovazione - DITEL-CIFI-AEI,-,-,Genova,Sviluppo e prospettive dei trasporti elettrificati: ricerca ed innovazione - DITEL-CIFI-AEI,,-,04.1 Contributo in Atti di convegno,none,2,"ALEI A.;MAJA, ROBERTO"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/692921,eng,1993,-,internazionale,-,-,-,-,-,-,Chicago,IEEE International Symposium on Circuits and Systems,,-,04.1 Contributo in Atti di convegno,none,3,"BRAMBILLA, ANGELO MAURIZIO;D'AMORE, DARIO;PILLAN, MARGHERITA"
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno,http://hdl.handle.net/11311/666930,eng,1994,"Sì, ma tipo non specificato",internazionale,IEEE,New York,USA,Proceedings of the 1994 IEEE International Symposium on Circuits and Systems,-,-,Londra,1994 IEEE International Symposium on Circuits and Systems,,-,04.1 Contributo in Atti di convegno,none,2,"PILLAN, MARGHERITA;SCIUTO, DONATELLA"
