dc.type.full,dc.identifier.uri,dc.language.iso,dc.date.issued,dc.type.referee,dc.type.circulation,dc.publisher.name,dc.publisher.country,dc.publisher.place,dc.relation.medium,dc.title,dc.subject.keywordsita,dc.subject.keywords,item.collection,item.openaireRights,dc.description.numberofauthors,dc.authority.people
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1001243,eng,2016,-,-,Esculapio,ITA,Bologna,STAMPA,Visual Retailing. Shaping the sense of spaces,-,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,1,"IANNILLI, VALERIA MARIA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1003330,ita,2012,Comitato scientifico,-,FrancoAngeli srl,ITA,Milano,STAMPA,Cartografie del sapere. Interfacce per l'accesso agli spazi della conoscenza,"design della comunicazione, cartografia,  visualizzazione informazioni",-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,1,"QUAGGIOTTO, MARCO"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1003707,eng;ita,2016,Comitato scientifico,-,Corraini,ITA,mantova,STAMPA,Gioielli alla Moda/ Jewellery a la mode,-,"jewellery, design, accessories design, fashion design, history of design, alba cappellieri, bijou design innovation, made in italy, design della moda, design del gioeillo, design dell'accessorio",03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,1,"CAPPELLIERI, ALBA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1003807,ita,2016,-,-,Franco Angeli,ITA,Milano,STAMPA,Transmedia Design Framework. Un approccio design-oriented alla Transmedia Practice,-,Transmedia Design,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,1,"CIANCIA, MARIANA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1005063,ita,2015,-,-,ATì,ITA,Milano,STAMPA,"L’oggetto del progetto. Saggi, dialoghi e lezioni di semiotica intorno al design e all’inventiva progettuale","semiotica, design, progetto, inventiva,",-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/openAccess,2,"ZINGALE, SALVATORE;BONFANTINI, MASSIMO ACHILLE"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1006784,eng,2015,-,-,MAGGIOLI EDITORE,ITA,SANTARCANGELO DI ROMAGNA,STAMPA,FOR DESIGNERS WITH THEIR HEAD BEYOND THE CLOUDS,-,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,1,"DOMINONI, ANNALISA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1006942,ita,2017,-,-,Zanichelli,ITA,Bologna,STAMPA,Design per la sostenibilità ambiantale. Progettare il ciclo di vita dei prodotti.,-,"design per la sostenibilità, Life Cycle Design, Life Cycle Assesment, design di prodotto",03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,1,"VEZZOLI, CARLO ARNALDO"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1007206,ita,2016,-,-,Maggioli S.p.A.,-,Santarcangelo di Romagna,-,Le politiche per il design e il design per le politiche. Dal focus sulla soluzione alla centralità della valutazione.,-,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,4,"MORTATI, MARZIA;VILLARI, BEATRICE;MAFFEI, STEFANO;ARQUILLA, VENANZIO"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1007626,eng,2017,Comitato scientifico,-,Springer,-,-,STAMPA,"Tunnel Fire Testing and Modeling
The Morgex North Tunnel Experiment",-,-,03.1 Monografia o trattato scientifico,info:eu-repo/semantics/closedAccess,5,"BORGHETTI, FABIO;DERUDI, MARCO;GANDINI, PAOLO;FRASSOLDATI, ALESSIO;TAVELLI, SILVIA"
03 LIBRO::03.1 Monografia o trattato scientifico,http://hdl.handle.net/11311/1008790,eng,2016,Nessuno,-,"DESIS Philosophy Talks - Dipartimento di Design, Politecnico di Milano",ITA,Milano,ELETTRONICO,The Pearl Diver. The Designer as Storyteller,-,"storytelling, design, social innovation, philosophy, DESIS Philosophy Talks",03.1 Monografia o trattato scientifico,info:eu-repo/semantics/openAccess,4,"BERTOLOTTI, ELISA;Daam, Heather;PIREDDA, FRANCESCA;Tassinari, Virginia"
