dc.type.full,dc.identifier.uri,dc.language.iso,dc.date.issued,dc.type.referee,dc.type.circulation,dc.publisher.name,dc.publisher.country,dc.publisher.place,dc.subject.keywords,item.collection,item.openaireRights,dc.authority.people,
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista (EX RV - Articoli),http://hdl.handle.net/11311/240029,-,2005,-,nazionale,Allemandi,-,Torino,moplen; Natta,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,1,"ROGNOLI, VALENTINA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1000251,eng,2016,-,-,-,-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/openAccess,1,"CECONELLO, MAURO ATTILIO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1000307,eng,2016,Esperti anonimi,-,-,-,-,"Architectural perspective, Interior decoration, Anamorphosis",01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,1,"ROSSI, MICHELA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1000313,eng,2016,Esperti anonimi,-,-,-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/openAccess,1,"ROSSI, MICHELA"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1000419,eng,2016,Esperti anonimi,-,-,-,-,Railway accessibility,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,2,"BORGHETTI, FABIO;Malavasi, Gabriele"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1002993,eng,2016,Esperti anonimi,-,-,-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,5,"BERTOLA, PAOLA;VACCA, FEDERICA;COLOMBI, CHIARA;IANNILLI, VALERIA MARIA;Augello, Matteo"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1003476,eng,2016,Esperti anonimi,-,-,-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/openAccess,2,"BRUGLIERI, MAURIZIO;Cordone, Roberto"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1003493,eng,2016,Esperti anonimi,-,-,-,-,-,01.1 Articolo in Rivista,info:eu-repo/semantics/closedAccess,2,"CELI, MANUELA;RUDKIN, JENNIFER"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1004183,eng,2017,Esperti anonimi,-,-,-,-,"bin packing problem, variable cost and size bin packing problem, approximation; Bellman’s optimality principle, dynamic programming",01.1 Articolo in Rivista,info:eu-repo/semantics/openAccess,2,"Baldi, Mauro Maria;BRUGLIERI, MAURIZIO"
01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,http://hdl.handle.net/11311/1005156,eng;ita,2015,-,-,-,-,-,"gioco, dialogo, semiotica, comunicazione, design,",01.1 Articolo in Rivista,info:eu-repo/semantics/openAccess,1,"ZINGALE, SALVATORE"
