dc.relation.ispartofbook,dc.subject.keywordsita,dc.description.allpeople,dc.type.full,dc.type.circulation,dc.type.referee,dc.date.issued,dc.publisher.country,item.journal.title,item.openaireRights,dc.relation.medium,dc.publisher.name,dc.identifier.uri,dc.publisher.place,dc.subject.keywords,item.collection,dc.description.numberofauthors,dc.language.iso,dc.title
-0,-0,M. C. Tonelli,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-0,-0,1977,-0,L'ARCHITECTURE D'AUJOURD'HUI,-0,-0,-0,http://hdl.handle.net/11311/662901,-0,-0,01.1 Articolo in Rivista,1,eng;fra,"Sources et origines, le poids du passé chez Alvar Aalto"
-0,-0,Maria Cristina Tonelli,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-0,-0,1977,-0,PARAMETRO,-0,-0,-0,http://hdl.handle.net/11311/662913,-0,-0,01.1 Articolo in Rivista,1,ita,Alvar Aalto 1898-1948
-0,-0,M.C.Tonelli,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-0,-0,1977,-0,PARAMETRO,-0,-0,-0,http://hdl.handle.net/11311/662922,-0,-0,01.1 Articolo in Rivista,1,ita,Venezia : l' ultimo dei padiglioni
-0,-0,M. C. Tonelli,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-0,-0,1980,-0,RASSEGNA,none,-0,-0,http://hdl.handle.net/11311/662937,-0,-0,-0,1,ita,Il razionale nel mobile italiano
-0,-0,M. C. Tonelli,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,nazionale,-0,1981,-0,ITINERARI,none,-0,-0,http://hdl.handle.net/11311/665108,-0,-0,-0,1,ita,Sulla Esposizione Universale di Parigi del 1925
-0,-0,M. C. Tonelli,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-0,-0,1982,-0,FMR,-0,-0,-0,http://hdl.handle.net/11311/662944,-0,-0,01.1 Articolo in Rivista,1,ita;eng,Alhambra anastatica
-0,-0,M. C. Tonelli Michail,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-0,-0,1982,-0,OTTAGONO,none,-0,-0,http://hdl.handle.net/11311/662950,-0,-0,-0,1,ita,La nascita del mobile autarchico
-0,-0,M. C. Tonelli Michail,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-0,-0,1982,-0,OTTAGONO,-0,-0,-0,http://hdl.handle.net/11311/662954,-0,-0,01.1 Articolo in Rivista,1,ita,"Da ""Stile"" a ""Stile Industria"""
-0,-0,M. C. Tonelli Michail,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-0,-0,1982,-0,OTTAGONO,none,-0,-0,http://hdl.handle.net/11311/662963,-0,-0,-0,1,ita,Ricordando Giovanni Muzio
-0,-0,M. C. Tonelli Michail,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-0,-0,1983,-0,OTTAGONO,none,-0,-0,http://hdl.handle.net/11311/663053,-0,-0,-0,1,ita,Il dormir viaggiando
-0,-0,M. C. Tonelli Michail,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-0,-0,1983,-0,OTTAGONO,-0,-0,-0,http://hdl.handle.net/11311/663055,-0,-0,01.1 Articolo in Rivista,1,ita,Partendo da Zizì
-0,-0,M. C. Tonelli Michail,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-0,-0,1984,-0,OTTAGONO,none,-0,-0,http://hdl.handle.net/11311/663058,-0,-0,-0,1,ita,Alvar Aalto e i suoi artigiani
-0,-0,M. C. Tonelli Michail,01 CONTRIBUTO SU RIVISTA::01.1 Articolo in Rivista,-0,-0,1984,-0,OTTAGONO,none,-0,-0,http://hdl.handle.net/11311/663060,-0,-0,-0,1,ita,Per navigare alla grande
