dc.type.full;dc.identifier.uri;dc.language.iso;dc.date.issued;dc.type.circulation;dc.publisher.name;dc.publisher.country;dc.publisher.place;dc.relation.ispartofbook;dc.relation.medium;dc.relation.conferenceplace;dc.relation.conferencename;dc.title;dc.subject.keywords;item.collection;item.openaireRights;dc.description.numberofauthors;dc.authority.people;;;;;
07 ALTRO::07.13 Progetti;http://hdl.handle.net/11311/640518;eng ita;1989;-0;ADI - Associazione per il Disegno Industriale;-0;-0;-0;-0;Milano;Compasso d'Oro;Lampada Tolomeo;-0;07.13 Progetti;none;1;DE LUCCHI, MICHELE;;;;;
07 ALTRO::07.12 Altro;http://hdl.handle.net/11311/533539;-0;1993;nazionale;-0;-0;-0;Paper (draft) per la ricerca MURST UdR Prodotto, progetto, ambiente;-0;-0;-0;Design for Assembly,;Robust design design a basso impatto ambientale. Processi, assemblaggi e disassemblaggi dei prodotti industriali.;07.12 Altro;none;1;BRUNO, DAVIDE MARIA;;;;;
07 ALTRO::07.12 Altro;http://hdl.handle.net/11311/533734;-0;1994;-0;-0;-0;-0;-0;-0;-0;-0;Il cadenzamento dell’orario ferroviario: aspetti metodologici e applicativi;-0;07.12 Altro;none;3;"MAJA, ROBERTO;LIMONGELLI M.;VILLA S.";;;;;
07 ALTRO::07.12 Altro;http://hdl.handle.net/11311/533704;-0;1995;-0;-0;-0;-0;-0;-0;-0;-0;Il quadro dell'offerta di trasporto, IReR - Istituto Regionale di Ricerca della Lombardia - Aggiornamento del piano regionale dei trasporti della regione Lombardia;-0;07.12 Altro;none;2;"COMETTI E.;MAJA, ROBERTO";;;;;
07 ALTRO::07.12 Altro;http://hdl.handle.net/11311/533705;-0;1995;-0;-0;-0;-0;-0;-0;-0;-0;Telematica nei trasporti - Stato dell'arte delle tecnologie per il trasporto guidato e per l'intermodalità;-0;07.12 Altro;none;3;"MAJA, ROBERTO;GUERRA C.;CORTESE V.";;;;;
07 ALTRO::07.12 Altro;http://hdl.handle.net/11311/533706;-0;1995;-0;-0;-0;-0;-0;-0;-0;-0;Sistemi innovativi per l'esercizio economico delle linee ferroviarie a scarso traffico;-0;07.12 Altro;none;1;MAJA, ROBERTO;;;;;
07 ALTRO::07.12 Altro;http://hdl.handle.net/11311/533708;-0;1995;-0;-0;-0;-0;-0;-0;-0;-0;Studio di simulazione del trasporto pubblico nel bacino della ferrovia Brescia-Iseo-Edolo;-0;07.12 Altro;none;1;MAJA, ROBERTO;;;;;
07 ALTRO::07.05 Esposizione;http://hdl.handle.net/11311/693106;-0;1996;-0;-0;-0;-0;-0;-0;-0;-0;Esposizione: IPOTESI ECOMUSEALE PER I CAMPI FLEGREI;-0;07.05 Esposizione;none;2;"PARENTE, MARINA;V. Gangemi";;;;;
07 ALTRO::07.06 Mostra;http://hdl.handle.net/11311/693108;-0;1996;-0;-0;-0;-0;-0;-0;-0;-0;Mostra: IL DESIGN COME ELEMENTO STRATEGICO PER LE PICCOLE E MEDIE IMPRESE. PROPOSTE E PROGETTI DELLA SCUOLA DI SPECIALIZZAZIONE IN DISEGNO INDUSTRIALE DI NAPOLI;-0;07.06 Mostra;none;3;"PARENTE, MARINA;E. Guida;R. Valente";;;;;
07 ALTRO::07.12 Altro;http://hdl.handle.net/11311/533707;-0;1996;-0;-0;-0;-0;-0;-0;-0;-0;Catalogo dei sistemi innovativi di navetta automatica per la mobilità urbana;-0;07.12 Altro;none;2;"MAJA, ROBERTO;GUERRA C.";;;;;
