dc.type.full;dc.identifier.uri;dc.language.iso;dc.date.issued;dc.type.referee;dc.type.circulation;dc.publisher.name;dc.publisher.place;dc.publisher.country;dc.relation.ispartofbook;item.journal.title;dc.relation.medium;dc.relation.conferenceplace;dc.relation.conferencename;;dc.subject.keywords;item.collection;item.openaireRights;dc.description.numberofauthors;dc.authority.people;;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/692909;eng;1986;-0;internazionale;-0;-0;-0;-0;-0;-0;Hakone, Giappone;4th Semiinsulating III-V Materials Conference;;-0;04.1 Contributo in Atti di convegno;none;3;"PILLAN, MARGHERITA;F. Vidimari;A. Orsucci";;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/692906;eng;1987;-0;-0;-0;-0;-0;-0;-0;-0;Bologna, Italia;17th European Solid State Device Research Conference, ESSDERC;;-0;04.1 Contributo in Atti di convegno;none;4;"C. Ghezzi;R. Mosca;E. Gombia;PILLAN, MARGHERITA";;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/692910;eng;1987;-0;-0;-0;-0;-0;-0;-0;-0;Bologna, Italia;17th European Solid State Device Research Conference, ESSDERC;;-0;04.1 Contributo in Atti di convegno;none;2;"PILLAN, MARGHERITA;F. Vidimari";;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/692911;eng;1988;-0;internazionale;-0;-0;-0;-0;-0;-0;Malmo, Svezia;5th Semiinsulating III-V Materials Conference;;-0;04.1 Contributo in Atti di convegno;none;3;"PILLAN, MARGHERITA;F. Vidimari;A. Erenheim";;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/692917;eng;1988;-0;-0;-0;-0;-0;-0;-0;-0;-0;-0;;-0;04.1 Contributo in Atti di convegno;none;3;"G. Donzelli;PILLAN, MARGHERITA;E. Bastida";;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/502081;-0;1992;-0;internazionale;-0;-0;-0;-0;-0;-0;Trolleholm Castle, Sweden;"Learning from Undoing: an Industrial Strategy, Papers from the ""Extended Producer Responsibility"", Invitational Expert Seminar";;-0;04.1 Contributo in Atti di convegno;none;1;PIZZOCARO, SILVIA LUISA;;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/502082;eng;1992;Sì, ma tipo non specificato;internazionale;-0;-0;-0;-0;-0;-0;Nunspeet, The Netherlands;the First NOH European Conference 'Design for the Environment', Nunspeet, The Netherlands,;;-0;04.1 Contributo in Atti di convegno;none;1;PIZZOCARO, SILVIA LUISA;;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/542464;-0;1992;-0;nazionale;-0;-0;-0;Sviluppo e prospettive dei trasporti elettrificati: ricerca ed innovazione - DITEL-CIFI-AEI;-0;-0;Genova;Sviluppo e prospettive dei trasporti elettrificati: ricerca ed innovazione - DITEL-CIFI-AEI;;-0;04.1 Contributo in Atti di convegno;none;2;"ALEI A.;MAJA, ROBERTO";;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/692921;eng;1993;-0;internazionale;-0;-0;-0;-0;-0;-0;Chicago;IEEE International Symposium on Circuits and Systems;;-0;04.1 Contributo in Atti di convegno;none;3;"BRAMBILLA, ANGELO MAURIZIO;D'AMORE, DARIO;PILLAN, MARGHERITA";;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/666930;eng;1994;Sì, ma tipo non specificato;internazionale;IEEE;New York;USA;Proceedings of the 1994 IEEE International Symposium on Circuits and Systems;-0;-0;Londra;1994 IEEE International Symposium on Circuits and Systems;;-0;04.1 Contributo in Atti di convegno;none;2;"PILLAN, MARGHERITA;SCIUTO, DONATELLA";;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/692923;eng;1994;-0;-0;-0;-0;-0;-0;-0;-0;Lafayette, Lousiana;37th Midwest Simposium on Circuit and Systems;;-0;04.1 Contributo in Atti di convegno;none;2;"D'AMORE, DARIO;PILLAN, MARGHERITA";;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/692925;eng;1994;-0;internazionale;-0;-0;-0;-0;-0;-0;Torino, Italia;IEEE European Gallium Arsenide and related III-V Compounds Applications Symposium;;-0;04.1 Contributo in Atti di convegno;none;4;"D. Camin;G. Pessina;E. Previtali;PILLAN, MARGHERITA";;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/692928;eng;1994;-0;internazionale;-0;-0;-0;-0;-0;-0;Londra, Inghilterra;IEEE International Symposium on Circuits and Systems;;-0;04.1 Contributo in Atti di convegno;none;2;"PILLAN, MARGHERITA;SCIUTO, DONATELLA";;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/1049345;ita;1995;Comitato scientifico;nazionale;Draft Politecnico di Milano;Milano;ITA;"Atti del Convegno ""Qualità Totale e Qualità Ambientale"" - Progettazione continua";-0;STAMPA;Milano;Qualità Totale e Qualità Ambientale;;-0;04.1 Contributo in Atti di convegno;info:eu-repo/semantics/closedAccess;1;Davide Bruno;;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/1049357;ita;1995;Comitato scientifico;nazionale;Draft Politecnico di Milano;Mil;ITA;"Atti del Convegno ""Qualità Totale e Qualità Ambientale"" - Assembly, design for disassembling";-0;STAMPA;Mil;"Convegno ""Qualità Totale e Qualità Ambientale""";;-0;04.1 Contributo in Atti di convegno;info:eu-repo/semantics/openAccess;1;Davide bruno;;;;;;;;
04 CONTRIBUTO IN ATTI DI CONVEGNO::04.1 Contributo in Atti di convegno;http://hdl.handle.net/11311/1049360;ita;1995;Comitato scientifico;nazionale;Draft Politecnico di Milano;Milano;ITA;"Atti del Convegno ""Qualità Totale e Qualità Ambientale"" - La prototipazione rapida per lo sviluppo dei prodotti.";-0;STAMPA;Milano;"Convegno ""Qualità Totale e Qualità Ambientale""";;-0;04.1 Contributo in Atti di convegno;info:eu-repo/semantics/openAccess;1;Davide Bruno;;;;;;;;
