dc.type.full;dc.identifier.uri;dc.language.iso;dc.date.issued;dc.type.referee;dc.type.circulation;dc.publisher.name;dc.publisher.country;dc.publisher.place;dc.relation.medium;dc.title;dc.subject.keywordsita;dc.subject.keywords;item.collection;item.openaireRights;dc.description.numberofauthors;dc.authority.people;;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/504077;-0;1988;-0;nazionale;-0;-0;MILANO;-0;Etica ed economia;-0;-0;03.1 Monografia o trattato scientifico;none;3;"VOLONTE', PAOLO GAETANO;DUILIO, L.";;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/504080;ger;1997;-0;internazionale;Alber;DEU;FREIBURG;-0;Husserls Phänomenologie der Imagination. Zur Funktion der Phantasie bei der Konstitution von Erkenntnis;-0;-0;03.1 Monografia o trattato scientifico;none;1;VOLONTE', PAOLO GAETANO;;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/504081;ita;1999;-0;nazionale;Einaudi scuola;-0;MILANO;-0;Concetti, metodi, temi di sociologia. Dodici moduli di scienze sociali;-0;-0;03.1 Monografia o trattato scientifico;none;4;"VOLONTE', PAOLO GAETANO;LUNGHI C.;MAGATTI M.;MORA E.";;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/504082;ita;1999;-0;nazionale;Xenia;-0;MILANO;-0;Nietzsche;-0;-0;03.1 Monografia o trattato scientifico;none;1;VOLONTE', PAOLO GAETANO;;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/1045761;ita;2000;Nessuno;-0;POLI.design;ITA;Milano;STAMPA;Furniture e Textile design. Ricerca applicata e formazione come strategie per l'area comasca;-0;industria tessile, distretti industriali, arredo, disegno industriale;03.1 Monografia o trattato scientifico;info:eu-repo/semantics/openAccess;3;R. de Paolis;A. Deserti;F. Celaschi;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/504084;-0;2000;-0;nazionale;Bompiani;-0;MILANO;-0;Edmund Husserl. Fenomenologia e teoria della conoscenza;-0;-0;03.1 Monografia o trattato scientifico;none;1;VOLONTE', PAOLO GAETANO;;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/504074;-0;2001;-0;nazionale;Rubbettino;-0;SOVERIA MANNELLI;-0;Razionalità e responsabilità. La fondazione etica dell'epistemologia delle scienze sociali in Max Weber;-0;-0;03.1 Monografia o trattato scientifico;none;1;VOLONTE', PAOLO GAETANO;;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/504075;-0;2001;-0;nazionale;FrancoAngeli;-0;MILANO;-0;Le imprese sociali e i beni culturali;-0;-0;03.1 Monografia o trattato scientifico;none;1;VOLONTE', PAOLO GAETANO;;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/267043;-0;2002;-0;internazionale;Corigraf;-0;Genova;-0;Una firma per sei. Bernazzoli, Biassoni, Costantini, Veruggio, Luzzati, Piombino;-0;-0;03.1 Monografia o trattato scientifico;none;1;PIAZZA, MARIO;;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/273975;-0;2002;-0;internazionale;Edizioni Poli.Design;-0;Milano;-0;Il design degli spazi abitativi. La cultura tecnologica della progettazione dagli spazi fissi agli spazi in movimento;-0;-0;03.1 Monografia o trattato scientifico;none;1;PIARDI, SILVIA ELVIRA MARIA;;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/504073;-0;2003;-0;internazionale;FrancoAngeli;-0;MILANO;-0;La fabbrica dei significati solidi. Indagine sulla cultura della scienza;-0;-0;03.1 Monografia o trattato scientifico;none;1;VOLONTE', PAOLO GAETANO;;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/255346;ita;2004;-0;nazionale;Edizioni Poli.Design;ITA;Milano;STAMPA;La progettazione web. Il design per la rete tra esperienza e interfacce;-0;interaction design, web design, digital design;03.1 Monografia o trattato scientifico;none;1;BRUGNOLI, GIANLUCA;;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/257899;-0;2004;-0;nazionale;Edizioni Poli.Design;-0;Milano;-0;E-content design - orizzonti di ricerca per la multimedialita' interattiva;-0;-0;03.1 Monografia o trattato scientifico;none;3;"M. Aureggi;BERTOLO, MARESA;PILLAN, MARGHERITA";;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/269662;-0;2004;-0;internazionale;Edizioni Poli.Design;-0;Milano;-0;Lo studio televisivo: macchina luogo metafora. Le professioni della televisione;-0;-0;03.1 Monografia o trattato scientifico;none;2;"GALBIATI, MARIA LUISA;GALLI, FRANCESCO";;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/504079;ita;2004;-0;-0;Einaudi scuola;-0;MILANO;-0;Sociologia. Concetti, metodi, temi di scienze sociali;-0;-0;03.1 Monografia o trattato scientifico;none;4;"VOLONTE', PAOLO GAETANO;C. LUNGHI;M. MAGATTI;E. MORA";;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/243936;-0;2005;-0;nazionale;Edizioni Poli.Design;-0;Milano;-0;L’uso della falsa prospettiva come strumento di gestione degli spazi architettonici. La prospettiva nella scenografia di Europa riconosciuta;-0;-0;03.1 Monografia o trattato scientifico;none;1;BREVI, FAUSTO;;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/245822;ita;2005;-0;nazionale;Clup;-0;Milano;-0;Requisiti ecosistemici degli edifici residenziali. L'esperienza di Bovisa 90 - La Casa ecologica.;-0;-0;03.1 Monografia o trattato scientifico;info:eu-repo/semantics/closedAccess;2;"S. Pangrazzi;PIARDI, SILVIA ELVIRA MARIA";;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/246723;ita;2005;-0;nazionale;Edizioni Poli.Design;ITA;Milano;-0;Design e Metaprogetto. Teorie, strumenti, pratiche;-0;-0;03.1 Monografia o trattato scientifico;none;1;COLLINA, LUISA MARIA VIRGINIA;;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/250425;-0;2005;-0;nazionale;Edizioni Poli.Design;-0;Milano;-0;Movie Design. Scenari progettuali per il design della comunicazione audiovisiva e multimediale;-0;-0;03.1 Monografia o trattato scientifico;none;1;GALBIATI, MARIA LUISA;;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/253331;-0;2005;-0;nazionale;Moretti Honegger;-0;Bergamo;-0;Come inventare e progettare alla maniera di Poe. Filosofia della composizione;-0;-0;03.1 Monografia o trattato scientifico;none;4;"BONFANTINI, MASSIMO ACHILLE;G. Proni;TERENZI, MARINA TATIANA;ZINGALE, SALVATORE";;;;;;;;;;
03 LIBRO::03.1 Monografia o trattato scientifico;http://hdl.handle.net/11311/255516;-0;2005;-0;nazionale;Clup;-0;Milano;-0;Costruire imbarcazioni da diporto. Esperienze in cantiere.;-0;-0;03.1 Monografia o trattato scientifico;none;2;"PIARDI, SILVIA ELVIRA MARIA;RATTI, ANDREA";;;;;;;;;;
