dc.type.full;dc.identifier.uri;dc.language.iso;dc.date.issued;dc.type.referee;dc.type.circulation;dc.publisher.name;dc.publisher.country;dc.publisher.place;dc.relation.ispartofbook;item.journal.title;dc.relation.medium;dc.relation.conferencename;dc.relation.conferenceplace;dc.title;dc.subject.keywords;item.collection;item.openaireRights;dc.description.numberofauthors;dc.authority.people;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1007675;ita;2017;Comitato scientifico;-0;Skira;ITA;Milano;Francesco Somaini. Uno scultore per la città: New York 1967-1976;-0;STAMPA;-0;-0;Metropolis;Francesco Somaini, New York, scultura;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;1;IRACE, FULVIO;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1010387;eng;2017;-0;-0;franco angeli;-0;-0;POLIMI DESIGN PHD_017;-0;-0;-0;-0;Interior Design As An Environmental System Of “Activators Of Well-Being”: The Therapeutic Habitat Model For Alzheimer’s Disease;-0;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;1;GRAMEGNA, SILVIA MARIA;;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1010984;ita;2017;-0;-0;deleyva editore;-0;-0;OLTRE L’ABITO. IRIDESCENZE NELLA MODA CONTEMPORANEA;-0;-0;-0;-0;Progettare per la persona: la moda;-0;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;2;"CONTI, GIOVANNI MARIA;FIORANI, ELEONORA";;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1010985;ita;2017;-0;-0;deleyva editore;-0;-0;OLTRE L’ABITO. IRIDESCENZE NELLA MODA CONTEMPORANEA;-0;-0;-0;-0;Interazioni e influenze nel progetto;-0;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;2;"CONTI, GIOVANNI MARIA;FIORANI, ELEONORA";;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1010986;ita;2017;-0;-0;deleyva editore;-0;-0;OLTRE L’ABITO. IRIDESCENZE NELLA MODA CONTEMPORANEA;-0;-0;-0;-0;Stagionalità e riconoscibilità della moda;-0;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;2;"CONTI, GIOVANNI MARIA;FIORANI, ELEONORA";;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1010987;ita;2017;-0;-0;deleyva editore;-0;-0;OLTRE L’ABITO. IRIDESCENZE NELLA MODA CONTEMPORANEA;-0;-0;-0;-0;Oltre l’abito. Progettare il corpo;-0;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;2;"CONTI, GIOVANNI MARIA;FIORANI, ELEONORA";;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1010988;ita;2017;-0;-0;deleyva editore;-0;-0;OLTRE L’ABITO. IRIDESCENZE NELLA MODA CONTEMPORANEA;-0;-0;-0;-0;Per il corpo, non solo l’abito;-0;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;2;"CONTI, GIOVANNI MARIA;FIORANI, ELEONORA";;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1010989;ita;2017;-0;-0;deleyva editore;-0;-0;OLTRE L’ABITO. IRIDESCENZE NELLA MODA CONTEMPORANEA;-0;-0;-0;-0;Progettare per un corpo vestito;-0;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;2;"CONTI, GIOVANNI MARIA;FIORANI, ELEONORA";;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1011006;ita;2017;-0;-0;deleyva editore;-0;-0;OLTRE L’ABITO. IRIDESCENZE NELLA MODA CONTEMPORANEA;-0;-0;-0;-0;L’abito sul corpo;-0;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;2;"CONTI, GIOVANNI MARIA;FIORANI, ELEONORA";;;;;
02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume;http://hdl.handle.net/11311/1011007;ita;2017;-0;-0;deleyva editore;-0;-0;OLTRE L’ABITO. IRIDESCENZE NELLA MODA CONTEMPORANEA;-0;-0;-0;-0;Abiti fluidi su corpi fluidi;-0;02.1 Contributo in Volume;info:eu-repo/semantics/closedAccess;2;"CONTI, GIOVANNI MARIA;FIORANI, ELEONORA";;;;;
