item.openaireRights,dc.type.circulation,dc.publisher.name,dc.relation.ispartofbook,dc.description.numberofauthors,dc.publisher.country,item.journal.title,dc.language.iso,item.collection,dc.identifier.uri,dc.description.allpeople,dc.relation.conferencename,dc.type.full,dc.date.issued,dc.relation.conferenceplace,dc.title,dc.type.referee,dc.publisher.place,dc.subject.keywordsita,dc.subject.keywords,dc.relation.medium
none,-0,S.P.E.S. Studio Per Edizioni Scelte,Mino Maccari,1,-0,-0,ita,-0,http://hdl.handle.net/11311/665157,M. C. Tonelli,-0,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,1977,-0,"Il Selvaggio, Piacentini e i razionalisti",-0,Firenze,-0,-0,-0
none,-0,S.P.E.S. Studio Per Edizioni Scelte,Artisti e cultura visiva del Novecento,1,-0,-0,ita,-0,http://hdl.handle.net/11311/665120,M. C. Tonelli,-0,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,1980,-0,Artista e artiere,-0,Firenze,-0,-0,-0
none,-0,S.P.E.S. Studio Per Edizioni Scelte,Artisti e cultura visiva del Novecento,1,-0,-0,ita,-0,http://hdl.handle.net/11311/665122,M. C. Tonelli,-0,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,1980,-0,Dai ricorsi neoclassici alle sigle decorative,-0,-0,-0,-0,-0
-0,-0,-0,Artisti e cultura visiva del Novecento,1,-0,-0,ita,02.1 Contributo in Volume,http://hdl.handle.net/11311/665124,M. C. Tonelli,-0,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,1980,-0,Fra nuovo e antico,-0,-0,-0,-0,-0
none,-0,S.P.E.S. Studio Per Edizioni Scelte,Artisti e cultura visiva del Novecento,1,-0,-0,ita,-0,http://hdl.handle.net/11311/665130,M. C. Tonelli,-0,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,1980,-0,Il folclorismo,-0,Firenze,-0,-0,-0
none,-0,S.P.E.S. Studio Per Edizioni Scelte,Artisti e cultura visiva del Novecento,1,-0,-0,ita,-0,http://hdl.handle.net/11311/665145,M. C. Tonelli,-0,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,1980,-0,Le arti a Monza,-0,Firenze,-0,-0,-0
none,-0,S.P.E.S. Studio Per Edizioni Scelte,Artisti e cultura visiva del Novecento,1,-0,-0,ita,-0,http://hdl.handle.net/11311/665148,M. C. Tonelli,-0,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,1980,-0,La pittura decorativa e l'affresco,-0,Firenze,-0,-0,-0
-0,-0,-0,Testimonianze neomedievali a Firenze,1,-0,-0,ita,02.1 Contributo in Volume,http://hdl.handle.net/11311/665152,M. C. Tonelli,-0,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,1980,-0,Ricorsi medievali nell'architettura fiorentina dell'Ottocento,-0,Firenze,-0,-0,-0
-0,-0,"Università di Parma, Comune di Parma - Assessorato alla cultura",Stile Industria: Alberto Rosselli,1,-0,-0,-0,02.1 Contributo in Volume,http://hdl.handle.net/11311/665106,M. C. Tonelli,-0,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,1981,-0,Testimonianze su Alberto Rosselli,-0,Parma,-0,-0,-0
none,nazionale,Editrice Collins,Il gioco delle perle di vetro,1,ITA,-0,-0,-0,http://hdl.handle.net/11311/507829,S. ZINGALE,-0,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,1982,-0,"Considerazioni su alcuni momenti della scrittura, sulla sua funzione e sulle possibilità della sua significazione",-0,MILANO,-0,-0,-0
-0,-0,Galleria del Milione,Mobili Italiani degli anni Trenta,1,-0,-0,ita,02.1 Contributo in Volume,http://hdl.handle.net/11311/665112,M. C. Tonelli,-0,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,1982,-0,L'evoluzione del gusto attraverso le Triennali: dall'oggetto d'eccezione alla proposta seriale,-0,Milano,-0,-0,-0
none,nazionale,Grafis Edizioni,L’ora italiana,2,ITA,-0,-0,-0,http://hdl.handle.net/11311/507830,S. ZINGALE; ISGRO' E,-0,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,1986,-0,Dialogo fuori scena,-0,BOLOGNA,-0,-0,-0
-0,-0,Franco Angeli,"Il tempo nello spazio. Linee di villaggio, linee di città",1,-0,-0,ita,02.1 Contributo in Volume,http://hdl.handle.net/11311/660200,M. Galbiati,-0,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,1986,-0,"Linguaggio, cooperazione spontanea del lavoro e nuovo ordine dello spazio e del tempo",-0,milano,-0,linguaggio; cooperazione spontanea; città diffusa; tempo e spazio; comunicazione nella città,-0
none,-0,Karta,L'edificio della Biblioteca Nazionale Centrale di Firenze,1,-0,-0,ita,-0,http://hdl.handle.net/11311/665160,M. C. Tonelli Michail,-0,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,1986,-0,Gli arredi,-0,Firenze,-0,-0,-0
-0,-0,-0,quando la radio parlava,1,-0,-0,ita,02.1 Contributo in Volume,http://hdl.handle.net/11311/665162,M. C. Tonelli Michail,-0,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,1987,-0,Il mobile radio: citazioni stilistiche e nuove progettazioni,-0,-0,-0,-0,-0
none,-0,Edizioni Lybra Immagine,Arti decorative e applicate del XX secolo,1,-0,-0,ita;eng,-0,http://hdl.handle.net/11311/665166,M. C. Tonelli Michail,-0,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,1990,-0,I materiali sintetici ed autarchici,-0,Milano,-0,-0,-0
none,nazionale,ELECTA,Storia del disegno industriale 1851-1918. Il grande emporio del mondo,1,ITA,-0,ita,-0,http://hdl.handle.net/11311/665179,M.C. Tonelli Michail,-0,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,1990,-0,Bicicletta,-0,Milano,-0,-0,-0
none,nazionale,ELECTA,Storia del disegno industriale 1851-1918. Il grande emporio del mondo,1,ITA,-0,ita,-0,http://hdl.handle.net/11311/665181,M.C. Tonelli Michail,-0,02 CONTRIBUTO IN VOLUME::02.1 Contributo in Volume,1990,-0,Ferrovie,-0,Milano,-0,-0,-0
