dc.type.full	dc.identifier.uri	dc.date.issued	dc.title	dc.authority.people	
07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/640518	1989	Lampada Tolomeo	DE LUCCHI, MICHELE	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/533539	1993	Design for Assembly,	BRUNO, DAVIDE MARIA	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/533734	1994	Il cadenzamento dell’orario ferroviario: aspetti metodologici e applicativi	MAJA, ROBERTO;LIMONGELLI M.;VILLA S.	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/533704	1995	Il quadro dell'offerta di trasporto, IReR - Istituto Regionale di Ricerca della Lombardia - Aggiornamento del piano regionale dei trasporti della regione Lombardia	COMETTI E.;MAJA, ROBERTO	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/533705	1995	Telematica nei trasporti - Stato dell'arte delle tecnologie per il trasporto guidato e per l'intermodalità	MAJA, ROBERTO;GUERRA C.;CORTESE V.	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/533706	1995	Sistemi innovativi per l'esercizio economico delle linee ferroviarie a scarso traffico	MAJA, ROBERTO	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/533708	1995	Studio di simulazione del trasporto pubblico nel bacino della ferrovia Brescia-Iseo-Edolo	MAJA, ROBERTO	
07 ALTRO::07.05 Esposizione	http://hdl.handle.net/11311/693106	1996	Esposizione: IPOTESI ECOMUSEALE PER I CAMPI FLEGREI	PARENTE, MARINA;V. Gangemi	
07 ALTRO::07.06 Mostra	http://hdl.handle.net/11311/693108	1996	Mostra: IL DESIGN COME ELEMENTO STRATEGICO PER LE PICCOLE E MEDIE IMPRESE. PROPOSTE E PROGETTI DELLA SCUOLA DI SPECIALIZZAZIONE IN DISEGNO INDUSTRIALE DI NAPOLI	PARENTE, MARINA;E. Guida;R. Valente	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/533707	1996	Catalogo dei sistemi innovativi di navetta automatica per la mobilità urbana	MAJA, ROBERTO;GUERRA C.	
07 ALTRO::07.06 Mostra	http://hdl.handle.net/11311/693110	1997	PROGETTO E INDUSTRIA	PARENTE, MARINA;E. Guida;R. Valente	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/533703	1997	Consulenza e collaborazione per la sperimentazione di modelli di simulazione della mobilità a supporto della pianificazione regionale dei trasporti e della mobilità - Caso di studio Malpensa - Costruzione del modello di simulazione del traffico per la valutazione degli scenari alternativi	MAJA, ROBERTO;DALENO M.	
07 ALTRO::07.06 Mostra	http://hdl.handle.net/11311/693112	1998	Mostra: SOTTSSAS. 151 DISEGNI	V. Cristallo;GUIDA, FRANCESCO ERMANNO;M. Elia;A. Morone;PARENTE, MARINA	
07 ALTRO::07.06 Mostra	http://hdl.handle.net/11311/693114	1998	IV MOSTRA DELL’ARTIGIANATO ARTISTICO - CONTINUITA’ E INNOVAZIONE DELLA TRADIZIONE	V. Cristallo;E. Guida;A. Morone;PARENTE, MARINA	
07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/533559	1999	Disabilità Motoria e Lavoro: guida per orientarsi nel mondo del lavoro Vol 1 e 2	A.A. V.V.;CANINA, MARIA RITA	
