dc.date.issued	dc.type.full	dc.identifier.uri	dc.title	dc.description.allpeople
1989	07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/640518	Lampada Tolomeo	M. De Lucchi
1993	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/533539	Design for Assembly,	Bruno, DAVIDE MARIA
1994	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/533734	Il cadenzamento dellâ€™orario ferroviario: aspetti metodologici e applicativi	R. MAJA; LIMONGELLI M.; VILLA S.
1995	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/533704	Il quadro dell'offerta di trasporto, IReR - Istituto Regionale di Ricerca della Lombardia - Aggiornamento del piano regionale dei trasporti della regione Lombardia	COMETTI E.; R. MAJA
1995	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/533705	Telematica nei trasporti - Stato dell'arte delle tecnologie per il trasporto guidato e per l'intermodalitÃ 	R. MAJA; GUERRA C.; CORTESE V.
1995	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/533706	Sistemi innovativi per l'esercizio economico delle linee ferroviarie a scarso traffico	R. MAJA
1995	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/533708	Studio di simulazione del trasporto pubblico nel bacino della ferrovia Brescia-Iseo-Edolo	R. MAJA
1996	07 ALTRO::07.05 Esposizione	http://hdl.handle.net/11311/693106	Esposizione: IPOTESI ECOMUSEALE PER I CAMPI FLEGREI	M. Parente; V. Gangemi
1996	07 ALTRO::07.06 Mostra	http://hdl.handle.net/11311/693108	Mostra: IL DESIGN COME ELEMENTO STRATEGICO PER LE PICCOLE E MEDIE IMPRESE. PROPOSTE E PROGETTI DELLA SCUOLA DI SPECIALIZZAZIONE IN DISEGNO INDUSTRIALE DI NAPOLI	M. Parente; E. Guida; R. Valente
1996	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/533707	Catalogo dei sistemi innovativi di navetta automatica per la mobilitÃ  urbana	R. MAJA; GUERRA C.
1997	07 ALTRO::07.06 Mostra	http://hdl.handle.net/11311/693110	PROGETTO E INDUSTRIA	M. Parente; E. Guida; R. Valente
1997	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/533703	Consulenza e collaborazione per la sperimentazione di modelli di simulazione della mobilitÃ  a supporto della pianificazione regionale dei trasporti e della mobilitÃ  - Caso di studio Malpensa - Costruzione del modello di simulazione del traffico per la valutazione degli scenari alternativi	R. MAJA; DALENO M.
1998	07 ALTRO::07.06 Mostra	http://hdl.handle.net/11311/693112	Mostra: SOTTSSAS. 151 DISEGNI	V. Cristallo; F. E. Guida; M. Elia; A. Morone; M. Parente
1998	07 ALTRO::07.06 Mostra	http://hdl.handle.net/11311/693114	IV MOSTRA DELLâ€™ARTIGIANATO ARTISTICO - CONTINUITAâ€™ E INNOVAZIONE DELLA TRADIZIONE	V. Cristallo; E. Guida; A. Morone;  M. Parente;
1999	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/533559	DisabilitÃ  Motoria e Lavoro: guida per orientarsi nel mondo del lavoro Vol 1 e 2	AA. VV.; M. CANINA
1999	07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/667420	Concorso internazionale â€œSarajevo Concert Hallâ€ Nuovo auditorium di Sarajevo	E. Avallone; L. Montuori; S. Orsi; G. Pierluisi; A. Sciolari
2000	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/533558	La domotica: qualitÃ  degli ambienti in AAVV DisabilitÃ  Motoria e Lavoro: contributi per un agire interdisciplinare	AA.VV; M. CANINA
2000	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/565392	Comunicazione (visiva) domani. Sperimentazione e nuovi confini	Guida F. E.
2000	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/693515	Lionello Balestrieri e le esposizioni	A.Mazzanti
2000	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/693554	â€œSentieri nellâ€™arteâ€. Arte ambientale in Toscana	A.Mazzanti
2000	07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/667413	Concorso internazionale in due fasi â€œAmpliamento della Galleria Comunale d'Arte Moderna e Contemporanea. Ex-Fabbrica Peroniâ€ a Roma.	E. Avallone; L. Montuori; R. Petrachi; S. Orsi; G. Pierluisi; A. Sciolari
2001	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/533557	Gamba â€œintelligenteâ€ cambia il passo secondo il terreno	M. CANINA; GENNARO VERNI; PIERLUIGI VALENTINI
2001	07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/640519	Stampante Ink Jet Artjet 10 (XP 30)	M. De Lucchi
2001	07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/667409	Concorso Internazionale Europan 6, â€œUrbanitÃ  europea e progetti strategiciâ€, Sito di Massa, Italia.	E. Avallone; L. Montuori; M. Musmeci; R. Petrachi; S. Orsi; G. Pierluisi; A. Sciolari
2001	07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/667411	Concorso internazionale di progettazione â€œTre Parcheggi di scambioâ€ Roma Nuovo Salario.	E. Avallone; M. Fegiz; F. Galdo; M. Musmeci; S. Orsi;  G. Pierluisi; A. Sciolari.
2002	07 ALTRO::07.03 Design	http://hdl.handle.net/11311/1049491	Blue Industries: Dove nasce il futuro: design, innovazione e impresa	Bruno, DAVIDE MARIA
2002	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/533384	DILABB	M. GALBIATI; FRANCESCO GALLI
2002	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/570634	I grandi progetti infrastrutturali: divergenze sui criteri di valutazione	M. Ponti; A. Boitani
2002	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/570636	La lezione del ponte sullo Stretto	M. Ponti; A. Boitani
2002	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/570656	Il federalismo stradale: Procedure e prime applicazioni legislative.	C. Borgnolo; M. Ponti; F. Torta.
2002	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/691093	Nuove tecnologie, multimedia e standard grafici per la rappresentazione digitale del territorio	M. Ceconello
2002	07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/665920	Contratto di quartiere San Giuseppe Baia del Re di Piacenza. Il controllo di qualitÃ  e la flessibilitÃ  nel progetto di riqualificazione	F. Schiaffonati; A. Scoccimarro; D. Fanzini; C. Bianchi; A. Cavalleri; L. Collina; M. CorÃ²; L. Daglio; A. Fantini; E. Ginelli; E. Mussinelli; M. Sancito; F. Vitola
2002	07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/667407	Concorso internazionale ad inviti per la realizzazione del â€œMuseo dell'audiovisivo nel Palazzo della CiviltÃ  del Lavoro all' EURâ€ Roma	E. Avallone; G. Carbonara; G. Colucci; M. Fegiz; F. Galdo; M. Musmeci; S. Orsi; G. Pierluisi; M. sasso; A. Sciolari
2003	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/259638	Proceedings of the 8th International Conference on Human Aspects of Advanced Manifacturing: Agility & Hybrid Automation	S. Bagnara; S. Pozzi; A. Rizzo; F. Rizzo; S. Save
2003	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/565393	Il tempo ai tempi di internet	Guida F. E.
2003	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/565394	Ma che strani tipi	Guida F. E.
2003	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/570645	Alitalia: un'Italia senza ali	M. Ponti
2003	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/570646	La leggenda del corridoio Lisbona - Kiev	M. Ponti
2003	07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/638724	Allestimento degli interni e grafica del Neues Museum Berlino	M. De Lucchi
2003	07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/667402	Concorso Internazionale Europan 7: â€œperiferia-INâ€ sito di Bageria (PA), Italia	E. Avallone; M. De Angelis; G. Forte; S. Orsi;  G. Pierluisi; A. Sciolari
2003	07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/667405	Concorso internazionale di progettazione in due fasi â€œMille idee per un concorsoâ€ per la costruzione della nuova sede dell'Istituto Zooprofilattico Sperimentale dell'Abruzzo e del Molise, Teramo.	E. Avallone; M. Cocciolito;  F. Galdo; G. Lupoi; M. Musmeci; S. Orsi;  G. Pierluisi; A. Sciolari
2003	07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/689382	Nuova Sede del Consiglio Regionale	P. Portoghesi; C. Blasi; G. Padovano; A. Nebuloni; M. Ruscelli
2003	07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/689384	"Centro Europeo per le CreativitÃ  Emergenti - concorso internazionale ""ex Tabacchificio Centola"""	C. Blasi; A. Nebuloni; G. Padovano
2004	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/533385	LE PROFESSIONI DELLA TELEVISIONE-LEZIONE MULTIMEDIALE IN RAI	M. GALBIATI; GALLI FRANCESCO
2004	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/533386	GRUPPO CIMBALI-FAEMA. DVD ISTITUZIONALE	M. GALBIATI; FRANCESCO GALLI
2004	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/533600	Studio di fattibilitÃ  per una metrotranvia in Como	A. COLORNI VITALE; D. CICCARELLI; A. LUE'; D. ROSSI
2004	07 ALTRO::07.12 Altro	http://hdl.handle.net/11311/533601	Il Sistema DREAMS: Demand Responsive Extended Area Mobility Services	A. COLORNI VITALE; D. CICCARELLI; A. LUE'; V. MORROCCHI; D. ROSSI
2004	07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/664582	Sistema di identitÃ  visiva di Palazzo dei Pio a Carpi	Francesco E. Guida
2004	07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/665878	Piano di marketing territoriale per lâ€™area dellâ€™OltrepÃ² Mantovano	F. Schiaffonati; C. Stevan; E. Mussinelli; G. Casoni; F. Celaschi; D. Fanzini; R. Trocchianesi
2004	07 ALTRO::07.13 Progetti	http://hdl.handle.net/11311/689386	Concorso di idee per un centro socio-ricreativo da realizzare sullâ€™area pubblica denominata Nava	A. Nebuloni; R. Bosia; T. Bosia; M. Besseghini; R. Malvestiti
2005	07 ALTRO::07.03 Design	http://hdl.handle.net/11311/958792	Picasso. La seduzione del classico	R.Gaddi; C.Mariani
