Id	Label	timeset	attr_type	global_occurrences	role	section	name	dept	ssid	orcid	modularity_class	Degree	Clustering Coefficient
innercoauthorsid_9afe9b2892cc03a24ccf6db5d0a0cca3	Aceti Alessandro		innerCoAuthorsId	1	Not in design department	Not in design department	#N/A	#N/A	#N/A	#N/A	14	13	0.346154
innercoauthorsid_444623ff4cd1583769325f57f6c7c9ae	Affinito Laura		innerCoAuthorsId	1	Not in design department	Not in design department	#N/A	#N/A	#N/A	#N/A	0	42	0.144019
innercoauthorsid_271f4e4d10a8d7b1b1349c86446760ac	Aguzzi Manuela		innerCoAuthorsId	1	Not in design department	Not in design department	#N/A	#N/A	#N/A	#N/A	1	1	0
innercoauthorsid_238ac3b330193031f95fb3ccff9dbef3	Alberti Erika		innerCoAuthorsId	1	Not in design department	Not in design department	#N/A	#N/A	#N/A	#N/A	14	9	0.222222
innercoauthorsid_ce78064a1b4436bf5250d3b006bc215a	Aliverti Andrea		innerCoAuthorsId	1	Not in design department	Not in design department	#N/A	#N/A	#N/A	#N/A	6	15	0.409524
innercoauthorsid_12410ea6bf22c49d0b17f210bdf5df2c	Amaldi Edoardo		innerCoAuthorsId	3	Not in design department	Not in design department	#N/A	#N/A	#N/A	#N/A	8	11	0.145455
innercoauthorsid_9f29fbacc825229d2a0c6a4573c26808	Amandolese Daniela		innerCoAuthorsId	1	Not in design department	Not in design department	#N/A	#N/A	#N/A	#N/A	2	19	0.134503
innercoauthorsid_17cdb904a86f7d58923f248b666e2759	Amoruso Giuseppe		innerCoAuthorsId	100	Associate Professor	Design e Culture	Professore associato a tempo pieno	ICAR/17 - Disegno	ICAR/17 - Disegno	https://orcid.org/0000-0001-7821-4517	4	16	0.258333
innercoauthorsid_14bf267d40437590a32d9319cc201c2d	Andreis Diego Vittorio		innerCoAuthorsId	1	Not in design department	Not in design department	Professore associato a tempo pieno	ICAR/17 - Disegno	ICAR/17 - Disegno	https://orcid.org/0000-0001-7821-4517	14	13	0.128205
innercoauthorsid_b04565ea9b04a1b2df7d4e55a3897473	Andreoni Giuseppe		innerCoAuthorsId	106	Associate Professor	Design di Prodotti Strategie e Servizi	Professore associato a tempo pieno	ING-INF/06 - Bioingegneria Elettronica E Informatica	ING-INF/06 - Bioingegneria Elettronica E Informatica	https://orcid.org/0000-0002-5537-4128	29	5	0.6
