title,author,year,type,keywords,cluster
Lampada Tolomeo,"DE LUCCHI, MICHELE",1989,07.13 Progetti,-,nocluster
"Design for Assembly,","BRUNO, DAVIDE MARIA",1993,07.12 Altro,"Robust design design a basso impatto ambientale. Processi, assemblaggi e disassemblaggi dei prodotti industriali.",nocluster
Il cadenzamento dell’orario ferroviario: aspetti metodologici e applicativi,"MAJA, ROBERTO;LIMONGELLI M.;VILLA S.",1994,07.12 Altro,-,nocluster
"Il quadro dell'offerta di trasporto, IReR - Istituto Regionale di Ricerca della Lombardia - Aggiornamento del piano regionale dei trasporti della regione Lombardia","COMETTI E.;MAJA, ROBERTO",1995,07.12 Altro,-,nocluster
Telematica nei trasporti - Stato dell'arte delle tecnologie per il trasporto guidato e per l'intermodalità,"MAJA, ROBERTO;GUERRA C.;CORTESE V.",1995,07.12 Altro,-,nocluster
Sistemi innovativi per l'esercizio economico delle linee ferroviarie a scarso traffico,"MAJA, ROBERTO",1995,07.12 Altro,-,nocluster
Studio di simulazione del trasporto pubblico nel bacino della ferrovia Brescia-Iseo-Edolo,"MAJA, ROBERTO",1995,07.12 Altro,-,nocluster
Esposizione: IPOTESI ECOMUSEALE PER I CAMPI FLEGREI,"PARENTE, MARINA;V. Gangemi",1996,07.05 Esposizione,-,nocluster
Mostra: IL DESIGN COME ELEMENTO STRATEGICO PER LE PICCOLE E MEDIE IMPRESE. PROPOSTE E PROGETTI DELLA SCUOLA DI SPECIALIZZAZIONE IN DISEGNO INDUSTRIALE DI NAPOLI,"PARENTE, MARINA;E. Guida;R. Valente",1996,07.06 Mostra,-,nocluster
Catalogo dei sistemi innovativi di navetta automatica per la mobilità urbana,"MAJA, ROBERTO;GUERRA C.",1996,07.12 Altro,-,nocluster
PROGETTO E INDUSTRIA,"PARENTE, MARINA;E. Guida;R. Valente",1997,07.06 Mostra,-,nocluster
Consulenza e collaborazione per la sperimentazione di modelli di simulazione della mobilità a supporto della pianificazione regionale dei trasporti e della mobilità - Caso di studio Malpensa - Costruzione del modello di simulazione del traffico per la valutazione degli scenari alternativi,"MAJA, ROBERTO;DALENO M.",1997,07.12 Altro,-,nocluster
Mostra: SOTTSSAS. 151 DISEGNI,"V. Cristallo;GUIDA, FRANCESCO ERMANNO;M. Elia;A. Morone;PARENTE, MARINA",1998,07.06 Mostra,-,nocluster
IV MOSTRA DELL’ARTIGIANATO ARTISTICO - CONTINUITA’ E INNOVAZIONE DELLA TRADIZIONE,"V. Cristallo;E. Guida;A. Morone;PARENTE, MARINA",1998,07.06 Mostra,-,nocluster
Disabilità Motoria e Lavoro: guida per orientarsi nel mondo del lavoro Vol 1 e 2,"A.A. V.V.;CANINA, MARIA RITA",1999,07.12 Altro,-,nocluster
Concorso internazionale “Sarajevo Concert Hall” Nuovo auditorium di Sarajevo,"E. Avallone;L. Montuori;S. Orsi;PIERLUISI, GABRIELE;A. Sciolari",1999,07.13 Progetti,-,nocluster
La domotica: qualità degli ambienti in AAVV Disabilità Motoria e Lavoro: contributi per un agire interdisciplinare,"A.A. VV;CANINA, MARIA RITA",2000,07.12 Altro,-,nocluster
Comunicazione (visiva) domani. Sperimentazione e nuovi confini,"GUIDA, FRANCESCO ERMANNO",2000,07.12 Altro,-,nocluster
Lionello Balestrieri e le esposizioni,"MAZZANTI, ANNA",2000,07.12 Altro,tardoromanticismo di fine XIX sec; futurismo; ritorno all'ordine figurativo,nocluster
“Sentieri nell’arte”. Arte ambientale in Toscana,"MAZZANTI, ANNA",2000,07.12 Altro,arte ambientata; arte ambientale; scultura in spazi aperti,nocluster
