title,author,year,type,keywords,cluster
4th Semiinsulating III-V Materials Conference,"PILLAN, MARGHERITA;F. Vidimari;A. Orsucci",1986,04.1 Contributo in Atti di convegno,-,nocluster
"17th European Solid State Device Research Conference, ESSDERC","C. Ghezzi;R. Mosca;E. Gombia;PILLAN, MARGHERITA",1987,04.1 Contributo in Atti di convegno,-,nocluster
"17th European Solid State Device Research Conference, ESSDERC","PILLAN, MARGHERITA;F. Vidimari",1987,04.1 Contributo in Atti di convegno,-,nocluster
5th Semiinsulating III-V Materials Conference,"PILLAN, MARGHERITA;F. Vidimari;A. Erenheim",1988,04.1 Contributo in Atti di convegno,-,nocluster
-,"G. Donzelli;PILLAN, MARGHERITA;E. Bastida",1988,04.1 Contributo in Atti di convegno,-,nocluster
"Learning from Undoing: an Industrial Strategy, Papers from the ""Extended Producer Responsibility"", Invitational Expert Seminar","PIZZOCARO, SILVIA LUISA",1992,04.1 Contributo in Atti di convegno,-,nocluster
"the First NOH European Conference 'Design for the Environment', Nunspeet, The Netherlands,","PIZZOCARO, SILVIA LUISA",1992,04.1 Contributo in Atti di convegno,-,nocluster
Sviluppo e prospettive dei trasporti elettrificati: ricerca ed innovazione - DITEL-CIFI-AEI,"ALEI A.;MAJA, ROBERTO",1992,04.1 Contributo in Atti di convegno,-,nocluster
IEEE International Symposium on Circuits and Systems,"BRAMBILLA, ANGELO MAURIZIO;D'AMORE, DARIO;PILLAN, MARGHERITA",1993,04.1 Contributo in Atti di convegno,-,nocluster
1994 IEEE International Symposium on Circuits and Systems,"PILLAN, MARGHERITA;SCIUTO, DONATELLA",1994,04.1 Contributo in Atti di convegno,-,nocluster
37th Midwest Simposium on Circuit and Systems,"D'AMORE, DARIO;PILLAN, MARGHERITA",1994,04.1 Contributo in Atti di convegno,-,nocluster
IEEE European Gallium Arsenide and related III-V Compounds Applications Symposium,"D. Camin;G. Pessina;E. Previtali;PILLAN, MARGHERITA",1994,04.1 Contributo in Atti di convegno,-,nocluster
IEEE International Symposium on Circuits and Systems,"PILLAN, MARGHERITA;SCIUTO, DONATELLA",1994,04.1 Contributo in Atti di convegno,-,nocluster
Qualità Totale e Qualità Ambientale,Davide Bruno,1995,04.1 Contributo in Atti di convegno,-,nocluster
"Convegno ""Qualità Totale e Qualità Ambientale""",Davide bruno,1995,04.1 Contributo in Atti di convegno,-,nocluster
"Convegno ""Qualità Totale e Qualità Ambientale""",Davide Bruno,1995,04.1 Contributo in Atti di convegno,-,nocluster
"IEEE International Conference on Microelectronics, ICM95","BRANDOLESE, CARLO;PILLAN, MARGHERITA;SALICE, FABIO;SCIUTO, DONATELLA",1995,04.1 Contributo in Atti di convegno,-,nocluster
1996 IEEE International Symposium on Circuits and Systems - Circuits and Systems Connecting the World (ISCAS 96),"BRANDOLESE, CARLO;PILLAN, MARGHERITA;SALICE, FABIO;SCIUTO, DONATELLA",1996,04.1 Contributo in Atti di convegno,-,nocluster
IEEE International Symposium on Circuits and Systems,"BRANDOLESE, CARLO;PILLAN, MARGHERITA;SALICE, FABIO;SCIUTO, DONATELLA",1996,04.1 Contributo in Atti di convegno,-,nocluster
IEEE European Gallium Arsenide and related III-V Compounds Applications Symposium,"PILLAN, MARGHERITA;SALICE, FABIO;G. Ghione",1996,04.1 Contributo in Atti di convegno,-,nocluster
14th International Congress of EEG and Clinical Neurophysiology,"ROVETTA, ALBERTO;CANINA, MARIA RITA;F. LORINI",1997,04.1 Contributo in Atti di convegno,-,nocluster
WCRR - World Congress on Railway Research,"MAJA, ROBERTO;MANZINI A.;INZIRILLO F.;ROTONDO G.",1997,04.1 Contributo in Atti di convegno,-,nocluster
Atti del 3° Convegno CNR PFT2,"PODEST C.;CEMIN A.;MAJA, ROBERTO;POZZI M.;SADA S.",1997,04.1 Contributo in Atti di convegno,-,nocluster
Per ricordare e conoscere: dai laboratori e dagli archivi del Politecnico,"CIAGA', GRAZIELLA LEYLA",1997,04.1 Contributo in Atti di convegno,-,nocluster
Doctoral Education in Design,"PIZZOCARO, SILVIA LUISA;E. MANZINI",1998,04.1 Contributo in Atti di convegno,Doctoral education in design,nocluster
"The 7th International Conference of The Greening of Industry, 'Partnership and leadership. Building Alliances for a Sustainable Future'","PIZZOCARO, SILVIA LUISA",1998,04.1 Contributo in Atti di convegno,Industrial ecosystems,nocluster
Medicine Meets Virtual Reality 6,"ROVETTA, ALBERTO;F. LORINI;CANINA, MARIA RITA",1998,04.1 Contributo in Atti di convegno,-,nocluster
Medicine Meets Virtual Reality 6,"ROVETTA, ALBERTO;SALA, REMO;M. BRESSANELLI;M. E. GARAVALDI;F. LORINI;R. PEGORARO;CANINA, MARIA RITA",1998,04.1 Contributo in Atti di convegno,-,nocluster
9th Symposium on Information Control in Manufacturing (IFAC),"ROVETTA, ALBERTO;SALA, REMO;M. BRESSANELLI;M. E. GARAVALDI;F. LORINI;R. PEGORARO;CANINA, MARIA RITA",1998,04.1 Contributo in Atti di convegno,-,nocluster
IFAC Conference on Manufacturing,"ROVETTA, ALBERTO;SALA, REMO;M. BRESSANELLI;M. E. GARAVALDI;F. LORINI;CANINA, MARIA RITA;R. PEGORARO",1998,04.1 Contributo in Atti di convegno,-,nocluster
Explospace. Workshop on Space Exploration and Resources Exploitation,"DOMINONI, ANNALISA",1998,04.1 Contributo in Atti di convegno,design; comfort; garments; human factors; microgravity; items; space clothing; space design; wardrobe for space,nocluster
-,"A. ANTONINI;ROVETTA, ALBERTO;R. FARIELLO;M. BARICHELLA;CANINA, MARIA RITA",1998,04.1 Contributo in Atti di convegno,-,nocluster
"NIR-IT. Didattica, Società, Cultura, Mercato: le nuove frontiere di Internet","RICCO', DINA",1998,04.1 Contributo in Atti di convegno,-,nocluster
14th International Congress of EEG and Clinical Neurophysiology,"ROVETTA, ALBERTO;F. LORINI;CANINA, MARIA RITA",1999,04.1 Contributo in Atti di convegno,-,nocluster
Tenth World Congress on the Theory of Machines and Mechanisms,"ROVETTA, ALBERTO;F. LORINI;CANINA, MARIA RITA",1999,04.1 Contributo in Atti di convegno,-,nocluster
Medicine Meets Virtual Reality 7 Int. Congress,"ROVETTA, ALBERTO;CANINA, MARIA RITA;F. LORINI",1999,04.1 Contributo in Atti di convegno,-,nocluster
Workshop NIR-IT '99: Internet: il media del 2000,"R. PEGORARO;ROVETTA, ALBERTO;F. LORINI;CANINA, MARIA RITA",1999,04.1 Contributo in Atti di convegno,-,nocluster
Design plus Research,"RICCO', DINA;ANCESCHI G.",2000,04.1 Contributo in Atti di convegno,-,nocluster
