title,author,year,type,keywords,cluster
Proiezioni urbane. La realtà dell'immaginario,"GALBIATI, MARIA LUISA",1989,06.1 Curatela,città; cinema; immaginario; scenari urbani; sguardo; percezione; esperienza,nocluster
Nuove vie del design in Giappone.,"L. Migliore;PICCINNO, GIOVANNA;M. Servetto",1990,06.1 Curatela,Design; Significati; Funzione; Linguaggi; Industria giapponese.,nocluster
Alessandro Mendini. La poltrona di proust,"GALBIATI, MARIA LUISA",1991,06.1 Curatela,mendini; filosofia del progetto; poltrona di Proust,nocluster
Lo sguardo discreto. habitat e fotografia,"GALBIATI, MARIA LUISA",1991,06.1 Curatela,fotografia; territorio; rappresentazione; città; sguardo; percezione,nocluster
I trasporti e l'industria,"PONTI, MARCO GUIDO",1992,06.1 Curatela,-,nocluster
Soglie urbane. Uno sguardo fotografico sul territorio,"GALBIATI, MARIA LUISA",1992,06.1 Curatela,fotografia; territorio; sguardo; città; percezione; soglia; abitare,nocluster
Erich Przywara. Analogia entis,"VOLONTE', PAOLO GAETANO",1995,06.1 Curatela,-,nocluster
Fotografia e paesaggio. La rappresentazione fotografica del territorio,"GALBIATI, MARIA LUISA;P. Pozzi;R. Signorini",1996,06.1 Curatela,Fotografia; paesaggio; territorio; immagine; rappresentazione,nocluster
Max Weber. La scienza come professione,"VOLONTE', PAOLO GAETANO",1997,06.1 Curatela,-,nocluster
"L’architettura moderna del Novecento (Modern Architecture since 1900),","BARBARA, ANNA;RODRIQUEZ C.",1997,06.1 Curatela,-,nocluster
Luciano Baldessari nelle carte del suo archivio,"CIAGA', GRAZIELLA LEYLA",1997,06.1 Curatela,Archivi di architettura e design; disegno di progetto; catalogazione; Luciano Baldessari; architettura italiana XX secolo; futurismo; razionalismo; Milano; Rovereto,nocluster
"Progetto, processo, prodotto. Variabili di innovazione","PENATI, ANTONELLA VALERIA;SEASSARO A.",1998,06.1 Curatela,-,nocluster
Niki de Saint Phalle the Tarot Garden,"MAZZANTI, ANNA",1998,06.1 Curatela,arte ambientale; installazione architettonica; nuovo realismo; ready made,nocluster
