Unfiltered word count,occurences,percentage
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
abbigliamento ,2,0.0036
abbigliamento ,2,0.0036
abbigliamento ,1,0.0018
aberghiero ,2,0.0036
aberghiero ,1,0.0018
aberghiero ,1,0.0018
aberghiero ,1,0.0018
,,
abilitazione ,2,0.0036
abilitazione ,1,0.0018
abilitazione ,5,0.0091
abilitazione ,1,0.0018
abilitazione ,1,0.0018
abilitazione ,1,0.0018
abitare ,24,0.0437
abitare ,2,0.0036
abitare ,1,0.0018
abitare ,5,0.0091
abitare ,1,0.0018
abitare ,5,0.0091
abitare ,3,0.0055
abbigliamento ,5,0.0091
abbigliamento ,7,0.0127
,,
,2,0.0036
accademia,25,0.0455
accademia,7,0.0127
accademia,5,0.0091
accademia,4,0.0073
accademia,4,0.0073
accademia,3,0.0055
accademia,1,0.0018
accessibilità ,7,0.0127
accessibilità ,5,0.0091
accessibilità ,4,0.0073
accessibilità ,3,0.0055
accessibilità ,3,0.0055
accessibilità ,2,0.0036
accessibilità ,2,0.0036
accessibilità ,1,0.0018
accessibilità ,1,0.0018
accessori ,2,0.0036
accessori ,1,0.0018
,2,0.0036
,2,0.0036
accoglienti ,1,0.0018
accoglienti ,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,1,0.0018
,7,0.0127
acqua ,3,0.0055
acqua ,1,0.0018
acquisizione ,1,0.0018
acquisto ,8,0.0146
acquisto ,2,0.0036
acquisto ,1,0.0018
acquisto ,1,0.0018
acromatica ,3,0.0055
acromatica ,2,0.0036
acromatica ,2,0.0036
acromatica ,1,0.0018
,,
,,
acustica ,1,0.0018
acustica ,1,0.0018
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
adeguamento ,2,0.0036
,,
,,
,,
,,
,,
,,
adolescenti ,2,0.0036
,,
,,
,,
,,
,,
,,
,,
,,
advancedesign ,3,0.0055
,,
,,
advertisement,1,0.0018
advertising ,1,0.0018
,,
advertising ,1,0.0018
aerospaziale ,1,0.0018
aerospaziale ,2,0.0036
aerospaziale ,1,0.0018
aerospaziale ,4,0.0073
aerospaziale ,3,0.0055
aerospaziale ,1,0.0018
aerospaziale ,2,0.0036
aerospaziale ,1,0.0018
aerospaziale ,1,0.0018
aesthetics ,1,0.0018
affare ,1,0.0018
,,
,,
,,
,,
affidabilità ,1,0.0018
affidabilità ,1,0.0018
,,
,,
