word;count;occurences;percentage
e;;2469;4.4935
di;;2345;4.2678
design;;1718;3.1267
il;;1268;2.3077
del;;1233;2.244
per;;1157;2.1057
la;;1118;2.0347
della;;666;1.2121
in;;547;0.9955
conferenza;;538;0.9791
internazionale;;517;0.9409
un;;466;0.8481
ricerca;;375;0.6825
dei;;369;0.6716
progetto;;354;0.6443
a;;323;0.5878
le;;321;0.5842
una;;308;0.5606
progettazione;;299;0.5442
i;;289;0.526
come;;253;0.4605
delle;;235;0.4277
nel;;231;0.4204
tra;;216;0.3931
al;;205;0.3731
innovazione;;186;0.3385
l;;177;0.3221
nella;;177;0.3221
sulla;;174;0.3167
su;;160;0.2912
the;;159;0.2894
città;;155;0.2821
milano;;154;0.2803
sistema;;146;0.2657
/;;145;0.2639
°;;145;0.2639
sul;;145;0.2639
progettare;;144;0.2621
colore;;142;0.2584
degli;;141;0.2566
comunicazione;;135;0.2457
sistemi;;132;0.2402
moda;;125;0.2275
of;;118;0.2148
sviluppo;;118;0.2148
con;;116;0.2111
alla;;113;0.2057
prodotto;;109;0.1984
and;;109;0.1984
nuove;;103;0.1875
tecnologia;;103;0.1875
congresso;;102;0.1856
lo;;100;0.182
sostenibile;;97;0.1765
architettura;;95;0.1729
italia;;94;0.1711
strumenti;;92;0.1674
gli;;92;0.1674
da;;91;0.1656
cultura;;91;0.1656
progettuale;;90;0.1638
territorio;;89;0.162
studio;;89;0.162
materiali;;89;0.162
servizi;;89;0.162
futuro;;88;0.1602
dal;;88;0.1602
nuovi;;86;0.1565
spazi;;85;0.1547
prodotti;;84;0.1529
arte;;83;0.1511
sui;;79;0.1438
italiano;;78;0.142
modello;;78;0.142
valutazione;;78;0.142
dell;;77;0.1401
disegno;;76;0.1383
ed;;75;0.1365
2015;75;0.1365;
sostenibilità;;73;0.1329
gestione;;73;0.1329
caso;;72;0.131
tecnologie;;72;0.131
processo;;72;0.131
nelle;;72;0.131
designer;;71;0.1292
patrimonio;;71;0.1292
atti;;71;0.1292
sociale;;70;0.1274
leonardo;;69;0.1256
nuovo;;69;0.1256
digitale;;68;0.1238
italiana;;68;0.1238
che;;68;0.1238
interni;;66;0.1201
attraverso;;65;0.1183
for;;65;0.1183
nazionale;;64;0.1165
luce;;63;0.1147
spazio;;62;0.1128
ruolo;;62;0.1128
convegno;;60;0.1092
società;;60;0.1092
modelli;;60;0.1092
è;;59;0.1074
culturali;;59;0.1074
rappresentazione;;58;0.1056
simposio;;57;0.1037
progetti;;57;0.1037
approccio;;57;0.1037
scenari;;57;0.1037
workshop;;57;0.1037
conoscenza;;57;0.1037
lavoro;;56;0.1019
produzione;;56;0.1019
l'innovazione;;56;0.1019
&;;55;0.1001
beni;;55;0.1001
culturale;;55;0.1001
trasporto;;55;0.1001
nuova;;55;0.1001
forum;;55;0.1001
storia;;55;0.1001
1;54;0.0983;
d;;54;0.0983
dalla;;54;0.0983
casa;;53;0.0965
vita;;53;0.0965
europea;;53;0.0965
istruzione;;51;0.0928
urbana;;50;0.091
grafica;;50;0.091
esperienze;;49;0.0892
strategie;;49;0.0892
2016;49;0.0892;
scienza;;49;0.0892
verso;;48;0.0874
industriale;;48;0.0874
servizio;;48;0.0874
rete;;48;0.0874
conference;;48;0.0874
nei;;48;0.0874
trasporti;;47;0.0855
cumulus;;46;0.0837
luoghi;;46;0.0837
non;;46;0.0837
pratica;;45;0.0819
ergonomia;;45;0.0819
ambientale;;45;0.0819
politecnico;;44;0.0801
qualità;;44;0.0801
complessità;;43;0.0783
metodi;;42;0.0764
dello;;42;0.0764
sulle;;42;0.0764
identità;;42;0.0764
forma;;42;0.0764
urbano;;41;0.0746
formazione;;41;0.0746
2013;41;0.0746;
processi;;40;0.0728
2012;40;0.0728;
ai;;39;0.071
oggetti;;39;0.071
studi;;39;0.071
settore;;39;0.071
interfacce;;39;0.071
2;38;0.0692;
creatività;;38;0.0692
valore;;38;0.0692
2014;38;0.0692;
mondo;;37;0.0673
sinestesia;;37;0.0673
made;;37;0.0673
annuale;;37;0.0673
service;;37;0.0673
mostra;;37;0.0673
didattica;;36;0.0655
dell'innovazione;;36;0.0655
sostenibili;;35;0.0637
analisi;;35;0.0637
oltre;;35;0.0637
introduzione;;35;0.0637
4;34;0.0619;
imprese;;34;0.0619
strumento;;34;0.0619
2010;34;0.0619;
italy;;34;0.0619
pratiche;;33;0.0601
casi;;33;0.0601
l'architettura;;33;0.0601
apprendimento;;33;0.0601
forme;;33;0.0601
contemporaneo;;33;0.0601
anni;;33;0.0601
uno;;33;0.0601
web;;33;0.0601
5;32;0.0582;
de;;32;0.0582
museo;;32;0.0582
tessile;;32;0.0582
movimento;;32;0.0582
2011;32;0.0582;
city;;31;0.0564
gioco;;31;0.0564
cambiamento;;31;0.0564
tradizione;;31;0.0564
2017;31;0.0564;
prospettiva;;31;0.0564
immagini;;31;0.0564
relazioni;;30;0.0546
visiva;;30;0.0546
costruzione;;30;0.0546
esperienza;;29;0.0528
metodo;;29;0.0528
percorsi;;29;0.0528
realtà;;29;0.0528
mobilità;;29;0.0528
supporto;;29;0.0528
ambienti;;29;0.0528
comunità;;29;0.0528
media;;29;0.0528
2009;29;0.0528;
tutti;;29;0.0528
università;;28;0.051
semiotica;;28;0.051
sicurezza;;28;0.051
2018;28;0.051;
due;;28;0.051
arti;;28;0.051
o;;27;0.0491
research;;27;0.0491
visioni;;27;0.0491
sperimentazione;;27;0.0491
urbani;;27;0.0491
riflessioni;;27;0.0491
tecniche;;27;0.0491
negli;;27;0.0491
nello;;27;0.0491
pensiero;;27;0.0491
international;;26;0.0473
tempo;;26;0.0473
secolo;;26;0.0473
virtuale;;26;0.0473
restauro;;26;0.0473
memoria;;26;0.0473
pubblico;;26;0.0473
corpo;;26;0.0473
politiche;;26;0.0473
paesaggio;;26;0.0473
2008;26;0.0473;
valorizzazione;;26;0.0473
concorso;;26;0.0473
natura;;26;0.0473
umani;;26;0.0473
storie;;26;0.0473
ad;;25;0.0455
on;;25;0.0455
si;;25;0.0455
evoluzione;;25;0.0455
case;;25;0.0455
intelligenti;;25;0.0455
urbane;;25;0.0455
contributi;;25;0.0455
reti;;25;0.0455
alle;;25;0.0455
laboratorio;;25;0.0455
dell'accademia;;25;0.0455
culture;;24;0.0437
learning;;24;0.0437
brand;;24;0.0437
abitare;;24;0.0437
costruire;;24;0.0437
emergenti;;24;0.0437
alimentare;;24;0.0437
traduzione;;24;0.0437
digitali;;24;0.0437
strategia;;24;0.0437
archivi;;24;0.0437
progettuali;;24;0.0437
idee;;24;0.0437
sociali;;24;0.0437
mobile;;24;0.0437
pianificazione;;24;0.0437
fra;;24;0.0437
ix;;23;0.0419
disegni;;23;0.0419
comunicare;;23;0.0419
mondiale;;23;0.0419
luogo;;23;0.0419
punto;;23;0.0419
secondo;;23;0.0419
nell;;23;0.0419
dispositivo;;23;0.0419
contemporanea;;23;0.0419
rapporto;;23;0.0419
fare;;23;0.0419
3;22;0.04;
6;22;0.04;
narrazione;;22;0.04
novecento;;22;0.04
capitolo;;22;0.04
scuola;;22;0.04
stile;;22;0.04
musica;;22;0.04
gruppo;;22;0.04
seminario;;22;0.04
all;;22;0.04
new;;22;0.04
più;;22;0.04
attività;;22;0.04
oggi;;21;0.0382
future;;21;0.0382
teoria;;21;0.0382
ambiente;;21;0.0382
applicazioni;;21;0.0382
packaging;;21;0.0382
dottorato;;21;0.0382
0;20;0.0364;
industria;;20;0.0364
senso;;20;0.0364
tendenze;;20;0.0364
triennale;;20;0.0364
sfide;;20;0.0364
conservazione;;20;0.0364
consumo;;20;0.0364
campo;;20;0.0364
colorimetria;;20;0.0364
modi;;20;0.0364
muratura;;20;0.0364
fattori;;20;0.0364
prospettive;;20;0.0364
risorse;;20;0.0364
prima;;20;0.0364
san;;20;0.0364
sts;;20;0.0364
management;;20;0.0364
scienze;;20;0.0364
edifici;;19;0.0346
sensi;;19;0.0346
problema;;19;0.0346
politica;;19;0.0346
infrastrutture;;19;0.0346
contesto;;19;0.0346
strutture;;19;0.0346
energia;;19;0.0346
giardino;;19;0.0346
colori;;19;0.0346
color;;19;0.0346
tecnica;;19;0.0346
centro;;19;0.0346
innovation;;19;0.0346
editoriale;;19;0.0346
territoriale;;19;0.0346
simulazione;;19;0.0346
lettura;;19;0.0346
merci;;19;0.0346
expo;;19;0.0346
vol;;19;0.0346
architetture;;19;0.0346
storici;;19;0.0346
n;;18;0.0328
7ª;;18;0.0328
co;;18;0.0328
dimensione;;18;0.0328
dell'arte;;18;0.0328
ingegneria;;18;0.0328
visione;;18;0.0328
architecture;;18;0.0328
impresa;;18;0.0328
controllo;;18;0.0328
virtuali;;18;0.0328
fashion;;18;0.0328
computer;;18;0.0328
industriali;;18;0.0328
presso;;18;0.0328
soluzioni;;18;0.0328
ieee;;18;0.0328
geometria;;18;0.0328
society;;18;0.0328
materiale;;18;0.0328
2006;18;0.0328;
2005;18;0.0328;
drs;;18;0.0328
smart;;18;0.0328
note;;18;0.0328
mediterraneo;;18;0.0328
xi;;17;0.0309
conversazione;;17;0.0309
narrazioni;;17;0.0309
heritage;;17;0.0309
gioiello;;17;0.0309
vinci;;17;0.0309
genere;;17;0.0309
traffico;;17;0.0309
lombardia;;17;0.0309
strategico;;17;0.0309
multidisciplinari;;17;0.0309
interazione;;17;0.0309
italian;;17;0.0309
lighting;;17;0.0309
diversità;;17;0.0309
crisi;;17;0.0309
cibo;;17;0.0309
estetica;;17;0.0309
archivio;;17;0.0309
stato;;17;0.0309
cambiare;;17;0.0309
utenti;;17;0.0309
l'esperienza;;17;0.0309
migliore;;17;0.0309
contributo;;17;0.0309
europeo;;17;0.0309
vivere;;17;0.0309
dai;;17;0.0309
its;;17;0.0309
locale;;17;0.0309
maria;;17;0.0309
social;;17;0.0309
3a;;16;0.0291
technology;;16;0.0291
gioielli;;16;0.0291
intorno;;16;0.0291
temi;;16;0.0291
problemi;;16;0.0291
territori;;16;0.0291
percorso;;16;0.0291
monitoraggio;;16;0.0291
questione;;16;0.0291
