title,author,year,type,keywords,cluster
Humanities e Design: prove per un dialogo,"CELI, MANUELA;Formia, Elena",2016,02.1 Contributo in Volume,"Humanities; Design; Narrazione, Transdisciplinarietà",nocluster
Design e narrazione,"CELI, MANUELA;Rizzo, Francesca",2016,02.1 Contributo in Volume,"Interdisciplinarietà, Design, Narrazione",nocluster
L’altra città. Modelli urbani e riferimenti simbolici tra mondo profano e sacralità,"ROSSI, MICHELA",2016,02.1 Contributo in Volume,cimitero; forma e misura; metrologia storica; recinto;  simbolo; cultura immateriale,nocluster
Design della comunicazione per le culture di genere. Strumenti comunicativi nei luoghi della formazione,"BAULE, GIOVANNI;CARATTI, ELENA;TOLINO, UMBERTO",2016,02.1 Contributo in Volume,"culture di genere, design della comunicazione, formazione",nocluster
Politecnico di Milano. A virtual campus,"IRACE, FULVIO",2016,02.1 Contributo in Volume,"Gio Ponti, Politecnico di Milano, campus",nocluster
Case con vista. Houses with a view,"IRACE, FULVIO",2016,02.1 Contributo in Volume,"Luigi Figini, Luigi Caccia Dominioni, Ettore Sottsass, Gio Ponti, Carlo Mollino, Vittoriano Viganò, Renzo Piano",nocluster
Università Cattolica. Architecture as urban art,"IRACE, FULVIO",2016,02.1 Contributo in Volume,"Giovanni Muzio, Milano, Università Cattolica",nocluster
Facciate leggere,"IRACE, FULVIO",2016,02.1 Contributo in Volume,Milano,nocluster
Traduzioni sinestesiche. Teorie e pratiche per il progetto dell’accessibilità ai contenuti,"RICCO', DINA",2016,02.1 Contributo in Volume,accessibilità,nocluster
Due mappe del territorio,"QUAGGIOTTO, MARCO",2013,02.1 Contributo in Volume,-,nocluster
Playn'Rebus 2,"Menini, Marco;Minzoni, Marco;CARATTI, ELENA;TOLINO, UMBERTO;Spinelli, Aldo;Hachen, Massimo",2015,02.1 Contributo in Volume,-,nocluster
SMARTA: Smart Ambiente and Wearable Home Monitoring for Elderly,"PEREGO, PAOLO;TARABINI, MARCO;BOCCIOLONE, MARCO FRANCESCO;ANDREONI, GIUSEPPE",2016,02.1 Contributo in Volume,-,nocluster
Texture e Testo. Un processo traduttivo,"CALABI, DANIELA ANNA",2016,02.1 Contributo in Volume,"Texture design, Design della comunicazione, Basic Design, Decostruzione",nocluster
Design for hospitable interiors: open-ended design solution for welcoming diversity,"GIUNTA, ELENA ENRICA;GEROSA, GIULIA MARIA",2014,02.1 Contributo in Volume,-,nocluster
Crescere con il Territorio: il rapporto città-commercio dall'antichità al IXX secolo,"GEROSA, GIULIA MARIA",2016,02.1 Contributo in Volume,-,nocluster
Raccontarsi nel Territorio: la nascita del negozio moderno,"GEROSA, GIULIA MARIA",2016,02.1 Contributo in Volume,-,nocluster
Recupero e trasformazione urbana,"GEROSA, GIULIA MARIA",2016,02.1 Contributo in Volume,-,nocluster
Rifunzionalizzazione e metamorfosi,"GEROSA, GIULIA MARIA",2016,02.1 Contributo in Volume,-,nocluster
Design: dall’oggetto al progetto,"ZINGALE, SALVATORE",2015,02.1 Contributo in Volume,"design, habit, pragmatismo, semiotica,",nocluster
'This is my Design'. Lo spazio dell’abduzione nella progettualità,"ZINGALE, SALVATORE",2015,02.1 Contributo in Volume,"semiotica, abduzione, Peirce",nocluster
Per natura e per cultura. Semiotica ecologica e wayfinding,"ZINGALE, SALVATORE",2015,02.1 Contributo in Volume,"wayfinding, orientamento, semiotica, design, natura",nocluster
Qual semiótica para o design? A via pragmatista e a construção de una semiótica do projeto,"ZINGALE, SALVATORE",2016,02.1 Contributo in Volume,-,nocluster
What semiotic for design? The pragmatist way and the construction of a project’s semiotic,"ZINGALE, SALVATORE",2016,02.1 Contributo in Volume,-,nocluster
Come una traduzione. La traduzione del senso nel design,"ZINGALE, SALVATORE",2016,02.1 Contributo in Volume,"Traduzione, Interpretante, Semiotica, Sistema di significazione, Design",nocluster
Il design e le scienze umane. Temi per una scienza dialogica,"ZINGALE, SALVATORE",2016,02.1 Contributo in Volume,"Design, umanismo, scienza, semiotica, pragmatismo, atropopoiesi",nocluster
L’osservazione semiotica,"ZINGALE, SALVATORE",2016,02.1 Contributo in Volume,"semiotica, osservazione, progetto, etnosemiotica",nocluster
"Innamoramento e abduzione. Il progetto, l’imprevisto, l’improvviso","ZINGALE, SALVATORE",2016,02.1 Contributo in Volume,"abduzione, semiotica, innamoramento, immagine, progetto, imprevisto,",nocluster
Il sistema di offerta dell'impresa entro il paradigma dell'experience design,"IANNILLI, VALERIA MARIA",2016,02.1 Contributo in Volume,-,nocluster
L'apporto delle scienze umane negli studi del design per il retail,"IANNILLI, VALERIA MARIA",2016,02.1 Contributo in Volume,-,nocluster
Smart consumer vs smart retail context,"IANNILLI, VALERIA MARIA",2016,02.1 Contributo in Volume,"smart consumer, smart retail, mobile, omnicanale",nocluster
Matèria connectada,"CIASTELLARDI, MATTEO;de Almeida, Cristina Miranda",2011,02.1 Contributo in Volume,-,nocluster
Il web come lo spazio della relazione. Prodromi di un’ecologia del testo,"CIASTELLARDI, MATTEO",2013,02.1 Contributo in Volume,-,nocluster
La narrazione e il supporto. Il principio di traduzione nel progetto transmediale,"CIASTELLARDI, MATTEO;de Kerckhove, Derrick",2016,02.1 Contributo in Volume,-,nocluster
"DESIGNING AND INNOVATING WITH PAPER, BOARD, AND CELLULOSE PULP - PROGETTARE E FARE INNOVAZIONE CON CARTA, CARTONE E POLPA DI CELLULOSA",Mario Bisson,2016,02.1 Contributo in Volume,"design, environmental, packaging",nocluster
PEGASO Fit for Future.,"GUARNERI, MARIA RENATA;ANDREONI, GIUSEPPE",2015,02.1 Contributo in Volume,-,nocluster
Nuovi Sistemi di salute personale: dalla Ricerca al Mercato,"ANDREONI, GIUSEPPE",2012,02.1 Contributo in Volume,-,nocluster
L’informazione mediata. Il processo d’interazione nella cultura del testo,"CIASTELLARDI, MATTEO",2016,02.1 Contributo in Volume,-,nocluster
Antropometria,"ANDREONI, GIUSEPPE;PIZZAGALLI, MANUELA",2009,02.1 Contributo in Volume,-,nocluster
Biomeccanica Occupazionale,"ANDREONI, GIUSEPPE",2009,02.1 Contributo in Volume,-,nocluster
Augmented Reality for Collaborative Media,"CIASTELLARDI, MATTEO",2016,02.1 Contributo in Volume,-,nocluster
TURISMO SPAZIALE,"DOMINONI, ANNALISA",2015,02.1 Contributo in Volume,-,nocluster
Antonio Balestra e la gioventù romana.,"MAFFEIS, RODOLFO",2016,02.1 Contributo in Volume,"Antonio Balestra, Benedetto Luti, Disegno, Barocco, Arcadia, Accademia di San Luca, Mostra, Catalogo, Ministero Beni Culturali, Storia dell'arte, Pittura, Settecento, Verona, Castelvecchio",nocluster
«Quasi dentatae rotae»: Leonardo disegna la Luna,"MAFFEIS, RODOLFO",2015,02.1 Contributo in Volume,"Leonardo da Vinci, Disegno, Manoscritti, Astronomia, Cosmologia, Filosofia Naturale, Aristotele, Alberto di Sassonia, Plutarco, Dante, Luna, Galileo",nocluster
L'equivoco del sole immobile: cosmologia di Leonardo tra disegni e testi,"MAFFEIS, RODOLFO",2015,02.1 Contributo in Volume,"Leonardo da Vinci, Disegno, Manoscritti, Astronomia, Cosmologia, Filosofia Naturale, Aristotele, Alberto di Sassonia, Niccolò Copernico, Luna, Sole, Eliocentrismo",nocluster
"Molto amore per nulla: il ""Furioso"" in pittura nel Settecento italiano","MAFFEIS, RODOLFO",2014,02.1 Contributo in Volume,"Ariosto, Orlando Furioso, Giambattista Tiepolo, Giuseppe Cades, Casanova, Angelica e Medoro, Pittura, Settecento",nocluster
Il cielo di Leonardo e uno Zodiaco dantesco.,"MAFFEIS, RODOLFO",2016,02.1 Contributo in Volume,"Leonardo da Vinci, Luca Signorelli, Disegno, Pittura, Manoscritti, Dante, Pietro Alighieri, Divina Commedia, Purgatorio, Zodiaco, Astronomia, Cosmologia, Codice Atlantico, Accademia della Crusca, Rubecchio",nocluster
Credere nel business sociale,"GALBIATI, MARIA LUISA",2016,02.1 Contributo in Volume,Business sociale,nocluster
Contemporary Communication Scenarios,"GALBIATI, MARIA LUISA",2016,02.1 Contributo in Volume,-,nocluster
Le prassi comunicative nell’era digitale,"GALBIATI, MARIA LUISA",2016,02.1 Contributo in Volume,digitale,nocluster
Dalla Città Nuova alla Green City,"IRACE, FULVIO",2016,02.1 Contributo in Volume,"Antonio Sant'Elia, Città Nuova, Green City",nocluster
