title,author,year,type,keywords,cluster
ICE BLOCK GLASS,"MURANO, FRANCESCO",2016,05.1 Brevetto,-,nocluster
Dispositivo educativo interattivo,"Sonia, China;FERRARO, VENERE;Belen, Corradi;Marius, Holter;Kasper, Pietrzykowski",2016,05.1 Brevetto,-,nocluster
GIOCO TATTILE PER NON VEDENTI,"FERRARO, VENERE;Lorenzo Sarghini",2016,05.1 Brevetto,-,nocluster
Dispositivo di navigazione indossabile da una persona,"CHE ME, ROSALAM;BIAMONTI, ALESSANDRO;FERRARO, VENERE;Stepanovic, M.",2017,05.1 Brevetto,-,nocluster
Metodo e dispositivo indossabile per il controllo di inquinanti gassosi,"FERRARO, VENERE",2017,05.1 Brevetto,-,nocluster
"SISTEMA PLURISENSORIALE ADATTATO PER LA PREVENZIONE DI MALATTIE PROFESSIONALI NELL’AMBIENTE
DI LAVORO, E METODO PER L’USO DEL SISTEMA","JANSEN, KASPAR;MOLTANI, ALESSIA;STEPANOVIC, MILA;FERRARO, VENERE;FERRARIS, SILVIA DEBORAH;ANDREONI, GIUSEPPE;CAPPELLIERI, ALBA",2017,05.1 Brevetto,-,nocluster
MUtable. Interactive Children’s table,"TOLINO, UMBERTO;Venturelli, Luca",2017,05.1 Brevetto,-,nocluster
WEARABLE SYSTEM FOR MONITORING A SWIMMER'S PERFORMANCE,ANDREONI GIUSEPPE;LAVEZZARI RICCARDO;PEREGO PAOLO;MOLTANI LARA ALESSIA LAURA,2015,05.1 Brevetto,-,nocluster
Sistema indossabile per il monitoraggio delle performance del nuotatore,"G. Andreoni;MOLTANI, LARA ALESSIA LAURA;P. Perego;LAVEZZARI, RICCARDO",2014,05.1 Brevetto,-,nocluster
Culla per neonati,"BELTRAMI, BENEDETTA;BISSON Mario;ANDREIS Diego;BARNI, GRETA",2017,05.1 Brevetto,-,nocluster
SERVIZIO PER PRANZO IN PIEDI,MARIO BISSON;PAOLO DE LUCCHI;GHOLAM KOWSAR,1989,05.1 Brevetto,-,nocluster
Apparato e metodo per illuminare oggetti,F. MURANO;M. CELI,2017,05.1 Brevetto,-,nocluster
APPARECCHIATURA MISCELATRICE E DOSATRICE DI PRODOTTI DETERGENTI,"GENNA, CRISTINA;Palmieri, Stefania;ANDREIS, DIEGO VITTORIO;Barni, Greta",2017,05.1 Brevetto,-,nocluster
"PLURISENSORIAL SYSTEM ADAPTED FOR THE PREVENTION OF PROFESSIONAL DISEASES IN THE WORKING ENVIRONMENT, AND METHOD FOR THE USE OF THE SYSTEM”",Venere Ferraro;Giuseppe Andreoni;Alba Cappellieri;Silvia Ferraris;Kaspar Jansen;Alessia Moltani;Mila Stepanovic,2018,05.1 Brevetto,-,nocluster
WEARABLE DEVICE FOR CONTROLLING GASEOUS POLLUTANTS,Venere Ferraro;Mila Stepanovic,2018,05.1 Brevetto,-,nocluster
struttura di spazzolino da denti,"L. Bazzicalupo;MANGIAROTTI, RAFFAELLA",2001,05.1 Brevetto,-,nocluster
"Dispositivo portatile per refrigerare alimenti, particolarmente per alimenti contenuti  in un contenitore almeno in parte flessibile","R. Gatti;INGARAMO, MATTEO ORESTE",2002,-,-,nocluster
Dispositivo asciugacapelli,"L. Bazzicalupo;MANGIAROTTI, RAFFAELLA",2006,05.1 Brevetto,-,nocluster
"Dispositivo di conservazione di alimenti a parete, in particolare per frutta","R. Gatti;INGARAMO, MATTEO ORESTE",2002,-,-,nocluster
Asciugacapelli con caratteristiche ergonomiche migliorate,"MANGIAROTTI, RAFFAELLA",2004,-,-,nocluster
Prodotto realizzato dal riutilizzo di sfridi di produzione,"BERTOLA, PAOLA;D. Leoni",2006,05.1 Brevetto,-,nocluster
Terminale wireless contenuto in un involucro morbido,"MANGIAROTTI, RAFFAELLA;TRABUCCO, FRANCESCO",2002,-,-,nocluster
Sistema di Parete Attrezzata e cablata con Tecnologie EIB,"BRUNO, DAVIDE MARIA",2001,05.1 Brevetto,-,nocluster
Sistema per il varo e l'alaggio di imbarcazioni,"RATTI, ANDREA;FUMAGALLI G.",2009,05.1 Brevetto,Pontile galleggiante; Alaggio imbarcazioni; Attrezzature per la nautica,nocluster
Dispositivo di cottura,"D. Bongini;CANINA, MARIA RITA;FERRARO, VENERE;L. Melotti;S. Palmeto",2008,05.1 Brevetto,multifunzione; piano cottura; cromoterapia,nocluster
Zip fastener slider including an electronic anti-counterfeiting device situated inside the slider and/or the relative puller,"MANGIAROTTI, RAFFAELLA;S. Dotti",2011,05.1 Brevetto,moda; RFID - Radio Frequency IDentification,nocluster
Dispositivo aspiratore/erogatore per un liquido,"G. Bortoluzzi;ANSELMI, LAURA;A. Grasselli",2009,05.1 Brevetto,contagocce; design for all; dosaggio liquidi,nocluster
KNOT RING,"CAPPELLIERI, ALBA",2009,05.1 Brevetto,-,nocluster
Dispositivo di riabilitazione,"CANINA, MARIA RITA;S. Lang",2010,05.1 Brevetto,-,nocluster
SISTEMA DI PUNTAMENTO DELLE SORGENTI LUMINOSE IN APPARECCHI DI ILLUMINAZIONE,"MURANO, FRANCESCO",2006,05.1 Brevetto,SISTEMA; PUNTAMENTO; SORGENTI; APPARECCHI DI ILLUMINAZIONE,nocluster
SISTEMA DI TRASPORTO DI ENERGIA ELETTRICA A BASSO VOLTAGGIO IN PARTICOLARE PER L'ALIMENTAZIONE DI PIANI DI APPOGGIO MUNITI DI SORGENTE,"MURANO, FRANCESCO",2006,05.1 Brevetto,MENSOLE LUMINOSE; TRASPORTO ENERGIA ELETTRICA,nocluster
Apparecchio per la riabilitazione,"CANINA, MARIA RITA;S. Lang",2010,05.1 Brevetto,-,nocluster
Apparecchio per la riabilitazione,"CANINA, MARIA RITA;S. Lang",2010,05.1 Brevetto,-,nocluster
Apparecchio per la riabilitazione,"CANINA, MARIA RITA;S. Lang",2010,05.1 Brevetto,-,nocluster
Contenitore per pizze,"Andrea Rizzardi;FERRARO, VENERE",2011,05.1 Brevetto,-,nocluster
