title,author,year,type,keywords,cluster
Visual Retailing. Shaping the sense of spaces,"IANNILLI, VALERIA MARIA",2016,03.1 Monografia o trattato scientifico,-,nocluster
Cartografie del sapere. Interfacce per l'accesso agli spazi della conoscenza,"QUAGGIOTTO, MARCO",2012,03.1 Monografia o trattato scientifico,-,nocluster
Gioielli alla Moda/ Jewellery a la mode,"CAPPELLIERI, ALBA",2016,03.1 Monografia o trattato scientifico,"jewellery, design, accessories design, fashion design, history of design, alba cappellieri, bijou design innovation, made in italy, design della moda, design del gioeillo, design dell'accessorio",nocluster
Transmedia Design Framework. Un approccio design-oriented alla Transmedia Practice,"CIANCIA, MARIANA",2016,03.1 Monografia o trattato scientifico,Transmedia Design,nocluster
"L’oggetto del progetto. Saggi, dialoghi e lezioni di semiotica intorno al design e all’inventiva progettuale","ZINGALE, SALVATORE;BONFANTINI, MASSIMO ACHILLE",2015,03.1 Monografia o trattato scientifico,-,nocluster
FOR DESIGNERS WITH THEIR HEAD BEYOND THE CLOUDS,"DOMINONI, ANNALISA",2015,03.1 Monografia o trattato scientifico,-,nocluster
Design per la sostenibilità ambiantale. Progettare il ciclo di vita dei prodotti.,"VEZZOLI, CARLO ARNALDO",2017,03.1 Monografia o trattato scientifico,"design per la sostenibilità, Life Cycle Design, Life Cycle Assesment, design di prodotto",nocluster
Le politiche per il design e il design per le politiche. Dal focus sulla soluzione alla centralità della valutazione.,"MORTATI, MARZIA;VILLARI, BEATRICE;MAFFEI, STEFANO;ARQUILLA, VENANZIO",2016,03.1 Monografia o trattato scientifico,-,nocluster
"Tunnel Fire Testing and Modeling
The Morgex North Tunnel Experiment","BORGHETTI, FABIO;DERUDI, MARCO;GANDINI, PAOLO;FRASSOLDATI, ALESSIO;TAVELLI, SILVIA",2017,03.1 Monografia o trattato scientifico,-,nocluster
The Pearl Diver. The Designer as Storyteller,"BERTOLOTTI, ELISA;Daam, Heather;PIREDDA, FRANCESCA;Tassinari, Virginia",2016,03.1 Monografia o trattato scientifico,"storytelling, design, social innovation, philosophy, DESIS Philosophy Talks",nocluster
OLTRE L’ABITO. IRIDESCENZE NELLA MODA CONTEMPORANEA,"CONTI, GIOVANNI MARIA;FIORANI, ELEONORA",2017,03.1 Monografia o trattato scientifico,-,nocluster
"SOCIAL FOOD CLUB. SERVICE E FOOD DESIGN COME ABILITATORI DI NUOVI MODELLI DI SVILUPPO, INNOVAZIONE E COESIONE SOCIALE.","MAFFEI, STEFANO;VILLARI, BEATRICE;TAMINI, LUCA;PARINI, BARBARA",2016,03.1 Monografia o trattato scientifico,-,nocluster
Spazio pubblico e attrattività urbana. L'Isola e le sue piazze,"BRUZZESE, MARIA ANTONELLA;GEROSA, GIULIA MARIA;TAMINI, LUCA",2016,03.1 Monografia o trattato scientifico,-,nocluster
Il design e gli interni di Franco Albini,"BUCCI, FEDERICO;BOSONI, GIAMPIERO",2016,03.1 Monografia o trattato scientifico,Albini,nocluster
Next Design Innovation,"MAFFEI, STEFANO;BIANCHINI, MASSIMO",2016,03.1 Monografia o trattato scientifico,-,nocluster
Adapting Reuse. Strategie di conversione d'uso degli interni e di rinnovamento urbano,"CAMOCINI, BARBARA",2016,03.1 Monografia o trattato scientifico,"Adaptive Reuse, Urban Regeneration, Interior Design, Change of Use, Re-use",nocluster
CoDesign for Public-Interest Services,"SELLONI, DANIELA",2017,03.1 Monografia o trattato scientifico,-,nocluster
"Moving design
The flow of people in the cities of the future","BRUNO, DAVIDE MARIA",2016,03.1 Monografia o trattato scientifico,-,nocluster
MICHELE DE LUCCHI,"DE LUCCHI, MICHELE",2016,03.1 Monografia o trattato scientifico,-,nocluster
Diseňo de productos ambientalmente sustentables,"VEZZOLI, CARLO ARNALDO;MANZINI, EZIO",2016,03.1 Monografia o trattato scientifico,"design per la sostenibilità, Life Cycle Design, Life Cycle Assesment, design di prodotto",nocluster
Handbook of Research on Visual Computing and Emerging Geometrical Design Tools,"AMORUSO, GIUSEPPE",2016,03.1 Monografia o trattato scientifico,-,nocluster
SaloneSatellite. 20 anni di nuova creatività,"FINESSI, GIUSEPPE",2017,03.1 Monografia o trattato scientifico,-,nocluster
LIGHTING ARTWORKS IN ART EXIBITIONS,"MURANO, FRANCESCO",2016,03.1 Monografia o trattato scientifico,-,nocluster
Sulla spiaggia,"FASSI, DAVIDE",2015,03.1 Monografia o trattato scientifico,-,nocluster
Design & Interiors. Considerations on an evolving discipline between education and profession,"BIAMONTI, ALESSANDRO",2017,03.1 Monografia o trattato scientifico,-,nocluster
Media Culture Design. Introduzione alla Cultura dei Media per il Design della Comunicazione,"CIASTELLARDI, MATTEO",2017,03.1 Monografia o trattato scientifico,-,nocluster
"La Gestione Bottom-up dell'Informazione in Rete. 
Analisi progettuale e sintesi critica dei sistemi partecipativi online","CIASTELLARDI, MATTEO",2017,03.1 Monografia o trattato scientifico,-,nocluster
Il designer in azienda. Il viaggio d'esplorazione di un giovane designer in una PMI no-design,F. Bianco;L. Rampino,2017,03.1 Monografia o trattato scientifico,-,nocluster
Interior(c)ity. Il design di interni urbani pres-agisce storie nuove.,A. Rebaglio,2017,03.1 Monografia o trattato scientifico,-,nocluster
GIOIELLI IN TAVOLA | FOOD JEWELLERY,L. Tenuta;V. Vecchi,2015,03.1 Monografia o trattato scientifico,-,nocluster
SKIN: LA SUPERFICIE DEL GIOIELLO | SKIN: THE SURFACE OF THE JEWEL,L. TENUTA,2015,03.1 Monografia o trattato scientifico,-,nocluster
IL GIOIELLO E IL VIAGGIO | JEWELLERY AND JOURNEY,L. TENUTA,2016,03.1 Monografia o trattato scientifico,-,nocluster
Designing Pilot Projects as Boundary Objects. A Brazilian Case Study in the Promotion of Sustainable Design,"F. Zurlo;DOS GUIMARAES ALVIM NUNES, VIVIANE",2015,03.1 Monografia o trattato scientifico,-,nocluster
Designing better services. A strategic approach from design to evaluation,F. Foglieni;B. Villari;S. Maffei,2017,03.1 Monografia o trattato scientifico,-,nocluster
