title,author,year,type,keywords,cluster
Il moplen e i suoi fratelli,"ROGNOLI, VALENTINA",2005,01.1 Articolo in Rivista,moplen; Natta,nocluster
The digital craftsman,"CECONELLO, MAURO ATTILIO",2016,01.1 Articolo in Rivista,-,nocluster
Architectural Perspective Between Image and Building,"ROSSI, MICHELA",2016,01.1 Articolo in Rivista,"Architectural perspective, Interior decoration, Anamorphosis",nocluster
"Synaesthesia of colour, taste and mood: the Futuristic cuisine as a global art","ROSSI, MICHELA",2016,01.1 Articolo in Rivista,-,nocluster
Road accessibility model to the rail network in emergency conditions,"BORGHETTI, FABIO;Malavasi, Gabriele",2016,01.1 Articolo in Rivista,Railway accessibility,nocluster
The Cultural Dimension of Design Driven Innovation. A Perspective from the Fashion Industry,"BERTOLA, PAOLA;VACCA, FEDERICA;COLOMBI, CHIARA;IANNILLI, VALERIA MARIA;Augello, Matteo",2016,01.1 Articolo in Rivista,-,nocluster
Partitioning a graph into minimum gap components,"BRUGLIERI, MAURIZIO;Cordone, Roberto",2016,01.1 Articolo in Rivista,-,nocluster
Drawing food trends: Design potential in shaping food future,"CELI, MANUELA;RUDKIN, JENNIFER",2016,01.1 Articolo in Rivista,-,nocluster
On the generalized bin packing problem,"Baldi, Mauro Maria;BRUGLIERI, MAURIZIO",2017,01.1 Articolo in Rivista,"bin packing problem, variable cost and size bin packing problem, approximation; Bellman’s optimality principle, dynamic programming",nocluster
Il gioco dialogico nella comunicazione sociale. Schemi semiotici e casi studio,"ZINGALE, SALVATORE",2015,01.1 Articolo in Rivista,"gioco, dialogo, semiotica, comunicazione, design,",nocluster
Semiotica del progetto: la via pragmatista,"ZINGALE, SALVATORE",2016,01.1 Articolo in Rivista,-,nocluster
A new Mathematical Programming Model for the Green Vehicle Routing Problem,"BRUGLIERI, MAURIZIO;Mancini, Simona;Pezzella, Ferdinando;Pisacane, Ornella",2016,01.1 Articolo in Rivista,-,nocluster
"Ultrasound System Typologies, User Interfaces and Probes Design: A Review","ANDREONI, GIUSEPPE;MAZZOLA, MARCO;Matteoli, S;D’Onofrio, S;Forzoni, L.",2015,01.1 Articolo in Rivista,-,nocluster
Projetando para a inovação: A cross fertilization como método,"Souza, Patrícia Patrícia de Mello;CONTI, GIOVANNI MARIA",2016,01.1 Articolo in Rivista,Cultura de projeto; comunicação; ensino e design; cross fertilization; inovação.,nocluster
Fun by design: The game design activity and its iterative process as (playful) learning practices,"MARIANI, ILARIA;J. Ackermann",2016,01.1 Articolo in Rivista,-,nocluster
Defining Requirements and Related Methods for Designing Sensorized Garments,"ANDREONI, GIUSEPPE;STANDOLI, CARLO EMILIO;PEREGO, PAOLO",2016,01.1 Articolo in Rivista,wearable systems; textile sensors; ergonomics; human factors; sensorized clothes; smart textiles; sensor design,nocluster
Negative Experiences as Learning Trigger: A Play Experience Empirical Research on a Game for Social Change Case Study,"MARIANI, ILARIA;Gandolfi, Enrico",2016,01.1 Articolo in Rivista,-,nocluster
CROSS FERTILIZATION: UM DIRECIONAMENTO PARA A INOVAÇÃO,"Souza, Patrícia de Mello;CONTI, GIOVANNI MARIA",2016,01.1 Articolo in Rivista,"design, moda, arquitetura, cross fertilization, inovação",nocluster
Design Doing: The service designer role in a society where everybody designs,"ROSSI, MARTINA",2016,01.1 Articolo in Rivista,-,nocluster
Superfici Imperfette,"PARISI, STEFANO;ROGNOLI, VALENTINA",2016,01.1 Articolo in Rivista,-,nocluster
"ICS_Materials: materiali interattivi, connessi e smart","ROGNOLI, VALENTINA;FERRARA, MARIA RITA;ARQUILLA, VENANZIO",2017,01.1 Articolo in Rivista,-,nocluster
"Comercio con la historia. OMA, Fondaco dei Tedeschi in Venice","IRACE, FULVIO",2016,01.1 Articolo in Rivista,-,nocluster
Telling without talking: dynamic products’ potential for non-verbal communication,"COLOMBO, SARA;RAMPINO, LUCIA ROSA ELENA",2016,01.1 Articolo in Rivista,-,nocluster
Milan 1630: the festivities to celebrate the birth of Prince Balthasar of Spain and an invention by Leonardo da Vinci,"MARANI, PIETRO;BORA, Giulio",2017,01.1 Articolo in Rivista,-,nocluster
Commons people: additive manufacturing enabled collaborative commons production (by design),"Smith, Paul;MORTATI, MARZIA",2017,01.1 Articolo in Rivista,-,nocluster
Updating the Tradition: Italian Design in the First Decade of the New Century,"GUERRINI, LUCA;GEROSA, GIULIA MARIA",2016,01.1 Articolo in Rivista,-,nocluster
CampUS: co-designing spaces for urban agriculture with local communities,"FASSI, DAVIDE;GALLUZZO, LAURA;DE ROSA, ANNALINDA",2016,01.1 Articolo in Rivista,-,nocluster
"Comunicare il viaggio: dalla guida al blog, dalla propaganda al branding","GUIDA, FRANCESCO ERMANNO",2016,01.1 Articolo in Rivista,"design della comunicazione, grafica, branding, narrazione, informazione digitale",nocluster
Le aziende e la ricerca. Quando università e impresa fanno squadra,"PALMIERI, STEFANIA;Amandolese, Daniela",2017,01.1 Articolo in Rivista,-,nocluster
Revived Beauty: Research into Aesthetic Appreciation of Materials to Valorise Materials from Waste,"Sauerwein, Marita;Karana, Elvin;ROGNOLI, VALENTINA",2017,01.1 Articolo in Rivista,materials experience; sustainability; aesthetic pleasure; sensorial experience; unity-in-variety,nocluster
Blue economy dentro casa,"CEPPI, GIULIO",2016,01.1 Articolo in Rivista,-,nocluster
"Il "" diritto al piacere"", una sfida per il paese","CEPPI, GIULIO",2017,01.1 Articolo in Rivista,-,nocluster
E-urbanism: strategies to develop a new urban interior design,"CRIPPA, DAVIDE;DI PRETE, BARBARA;LONARDO, EMILIO",2016,01.1 Articolo in Rivista,-,nocluster
Mapping the territory for cultural development. The methodological assumptions of Artificio Project,"GADDI, ROSSANA",2017,01.1 Articolo in Rivista,-,nocluster
FLASH ART,"CAPPELLIERI, ALBA",2017,01.1 Articolo in Rivista,-,nocluster
DESIGN FOR CHILDREN,"CAPPELLIERI, ALBA",2017,01.1 Articolo in Rivista,"DESIGN FOR CHILDREN, triennale di milano, alba cappellieri, politecnico di milano, italian design,",nocluster
"Clino Trini Castelli, La pratica della lungimiranza - The Practice of Foresight","BOSONI, GIAMPIERO",2016,01.1 Articolo in Rivista,-,nocluster
Le mutazioni del contract - The Changing Contract Sector,"BOSONI, GIAMPIERO",2016,01.1 Articolo in Rivista,-,nocluster
Aoi's Planned Hope,"BOSONI, GIAMPIERO",2016,01.1 Articolo in Rivista,-,nocluster
"The Substance of Italian Design: Reflecting on the Essential Characters of the ""Modo"" of Design in Italy","BOSONI, GIAMPIERO;Lecce C.",2016,01.1 Articolo in Rivista,"Italian design, modo italiano",nocluster
"L'âge d'or dei ""maestri"" del design italiano, The âge d'or of the ""masters"" of italian design, L'âge d'or des ""maîtres"" du design italien, De 'gouden eeuw' van de 'meesters' van het Italliaanse design","BOSONI, GIAMPIERO",2016,01.1 Articolo in Rivista,"design italiano, maestri,",nocluster
Nuvole in viaggio,"BIAMONTI, ALESSANDRO",2016,01.1 Articolo in Rivista,"Design, Innovazione sociale, Prodotto, Emergenza,",nocluster
Domestic Horticultural – Centric Lighting Design,"CASCIANI, DARIA;MUSANTE, FULVIO;ROSSI, MAURIZIO",2016,01.1 Articolo in Rivista,-,nocluster
The colour consultant training for the future: a holistic view of design and technologies,"ROSSI, MAURIZIO;Rizzi, Alessandro;Bonanomi, Cristian;SINISCALCO, ANDREA",2016,01.1 Articolo in Rivista,-,nocluster
The evaluation of flicker in LED lighting systems - La valutazione del flicker nei sistemi di illuminazione a LED,"MUSANTE, FULVIO;ROSSI, MAURIZIO",2016,01.1 Articolo in Rivista,-,nocluster
Envision the nocturnal territory: Urban lighting as a design strategy for the recovery of places,"GENTILI, HELENA;CASCIANI, DARIA",2016,01.1 Articolo in Rivista,-,nocluster
GENIUS LUCI - Il primo museo di illuminazione urbana all’EUR di Roma,"D'Alesio, Carlo;GENTILI, HELENA;CASCIANI, DARIA",2016,01.1 Articolo in Rivista,-,nocluster
"Milano, Zona Tortona. Understanding a place branding strategy built upon history, visions and design.","SEDINI, CARLA;FOIS, LUCA",2016,01.1 Articolo in Rivista,-,nocluster
Editoriale #13. Which Design for which Territories?,"PARENTE, MARINA;SEDINI, CARLA",2016,01.1 Articolo in Rivista,-,nocluster
Design for Territories as reflective practice,"PARENTE, MARINA",2016,01.1 Articolo in Rivista,-,nocluster
Policy constellations as ecosystems of design actions: Exploring three cases of social innovation policies in Italy,"SELLONI, DANIELA;MANZINI, EZIO",2016,01.1 Articolo in Rivista,-,nocluster
"Crolla un ""muro"". In soggiorno una società fluida","GUERRINI, LUCA",2016,01.1 Articolo in Rivista,-,nocluster
Opening the Black Box of Scholarly Communication Funding: A Public Data Infrastructure for Financial Flows in Academic Publishing,"Lawson, Stuart;Gray, Jonathan;MAURI, MICHELE",2016,01.1 Articolo in Rivista,-,nocluster
Abiti grafici. Scritture di superficie e segni di identità,"BUCCHETTI, VALERIA LUISA",2016,01.1 Articolo in Rivista,-,nocluster
Digging Wikipedia: The online encyclopedia as a digital cultural heritage gateway and site,"Pentzold, Christian;Weltevrede, Esther;MAURI, MICHELE;Laniado, David;Kaltenbrunner, Andreas;Borra, Erik",2017,01.1 Articolo in Rivista,-,nocluster
Osservare la città connessa - Strumenti visuali per la mappatura di dinamiche quotidiane,"PROFETA, GIOVANNI",2016,01.1 Articolo in Rivista,-,nocluster
O DESIGN PARA A GESTÃO. A GESTÃO PARA O DESIGN,"CAUTELA, CABIRIO",2015,01.1 Articolo in Rivista,Design. Gestão. Design thinking. Design estratégico,nocluster
Design dell'Ospitalità,"SCULLICA, FRANCESCO;Elgani, E.",2016,01.1 Articolo in Rivista,"Hotel, interior design, contract design, ospitalità",nocluster
Neri&HU Projects,"SCULLICA, FRANCESCO;Elgani, E.",2016,01.1 Articolo in Rivista,-,nocluster
Design for Mediterranean Emergency,"BIONDA, ARIANNA",2016,-,-,nocluster
Building experience to design the future,"BIONDA, ARIANNA",2015,-,-,nocluster
1001 vela cup: training and innovation on the water in Venice,"BIONDA, ARIANNA",2016,01.1 Articolo in Rivista,-,nocluster
Lecco Innovation Hub: a research structure that supports innovation,"RATTI, ANDREA;BIONDA, ARIANNA",2015,01.1 Articolo in Rivista,-,nocluster
La ricerca a supporto dell’innovazione,"RATTI, ANDREA;BIONDA, ARIANNA",2014,01.1 Articolo in Rivista,-,nocluster
MADEC. Material Design Culture,"FERRARA, MARIA RITA;LECCE, CHIARA",2016,01.1 Articolo in Rivista,-,nocluster
Reloading Spaces: How design makes urban spaces more liveable,"CAMOCINI, BARBARA;PETRILLO, DANIELA;REBAGLIO, AGNESE",2016,01.1 Articolo in Rivista,urban interior design; place activation,nocluster
In this issue,"Mora, E.;Rocamora, A.;VOLONTE', PAOLO GAETANO",2016,01.1 Articolo in Rivista,-,nocluster
Feeding the imaginary,"Mora, E.;Rocamora, A.;VOLONTE', PAOLO GAETANO",2016,01.1 Articolo in Rivista,-,nocluster
Sulla corteccia del libro. La traduzione fotografica,"BAULE, GIOVANNI",2016,01.1 Articolo in Rivista,"Design editoriale, design grafico, FOTOGRAFIA, libri",nocluster
Cartographic  Interfaces for Hybrid Spaces: Communication Design in the Spatial turn.,"BAULE, GIOVANNI;QUAGGIOTTO, MARCO",2016,01.1 Articolo in Rivista,-,nocluster
Tradurre/illustrare. Altre traduzioni: sul paradigma traduttivo,"BAULE, GIOVANNI",2016,01.1 Articolo in Rivista,"Traduzione editoriale, illustrazione, design della comunicazione",nocluster
Erranze nella città dell’immaginario. Forme contemporanee di esplorazione e narrazione urbana,"TROCCHIANESI, RAFFAELLA",2016,01.1 Articolo in Rivista,"cultura urbana, design del territorio",nocluster
Intercultural Dialog as a Strategy for a Sustainable Society: Case Studies from Italy.,"PILLAN, MARGHERITA;SUTEU, IRINA MARIA;GRANATA, ANNA",2014,01.1 Articolo in Rivista,-,nocluster
Editoriale Nautech Ottobre 2015,"RATTI, ANDREA",2015,01.1 Articolo in Rivista,-,nocluster
Editoriale Nautech Novembre 2015,"RATTI, ANDREA",2015,01.1 Articolo in Rivista,-,nocluster
Editoriale Nautech Febbraio 2016,"RATTI, ANDREA",2016,01.1 Articolo in Rivista,-,nocluster
Editoriale Nautech Aprile 2016,"RATTI, ANDREA",2016,01.1 Articolo in Rivista,-,nocluster
Editoriale Nautech Giugno 2016,"RATTI, ANDREA",2016,01.1 Articolo in Rivista,-,nocluster
Editoriale Nautech Settembre 2016,"RATTI, ANDREA",2016,01.1 Articolo in Rivista,-,nocluster
Editoriale Nautech Ottobre 2016,"RATTI, ANDREA",2016,01.1 Articolo in Rivista,-,nocluster
Editoriale Nautech Novembre 2016,"RATTI, ANDREA",2016,01.1 Articolo in Rivista,-,nocluster
Editoriale Nautech Febbraio 2017,"RATTI, ANDREA",2017,01.1 Articolo in Rivista,-,nocluster
Editoriale Nautech Aprile 2017,"RATTI, ANDREA",2017,01.1 Articolo in Rivista,-,nocluster
Wind from the North,"RATTI, ANDREA",2017,01.1 Articolo in Rivista,-,nocluster
Design and Social Innovation for the Development of Human Smart Cities,"Rizzo, F.;DESERTI, ALESSANDRO;COBANLI, ONUR MÜSTAK",2015,01.1 Articolo in Rivista,-,nocluster
A design framework for enabling sustainability in the clothing sector,"dos Santos, A.;Ceschin, F.;Suzana Barreto Martins, S. B.;VEZZOLI, CARLO ARNALDO",2016,01.1 Articolo in Rivista,-,nocluster
URBAN + INTERIOR,"Attiwill, Suzie;CRESPI, LUCIANO;FASSI, DAVIDE;Giunta, Elena Enrica;Hermida, Belen",2016,01.1 Articolo in Rivista,-,nocluster
Un BIM per l’identità dei paesaggi urbani storici. Applicazioni integrate di rilievo per il patrimonio architettonico della Certosa di Bologna,"AMORUSO, GIUSEPPE;MANTI, ANDREA",2016,01.1 Articolo in Rivista,-,nocluster
Entrepreneurial design: the role of design as driver of entrepreneurial opportunity generation and assessment,"Teixeira, Carlos;DESERTI, ALESSANDRO;Mata Garcia, Laura",2017,01.1 Articolo in Rivista,-,nocluster
Living interiors in the digital age: the Smart Home,"LECCE, CHIARA",2016,01.1 Articolo in Rivista,-,nocluster
Ufficio: una lunga evoluzione/The Office: a long evolution,"LECCE, CHIARA",2016,01.1 Articolo in Rivista,-,nocluster
Il Centro Progetti Tecno. Dal clima partecipativo degli anni sessanta al design globale del nuovo millennio,"LECCE, CHIARA",2016,01.1 Articolo in Rivista,-,nocluster
The Post-digital era: towards a relational and sustainable approach,"LECCE, CHIARA",2014,01.1 Articolo in Rivista,-,nocluster
Abet Laminati: il design delle superfici,"LECCE, CHIARA",2014,01.1 Articolo in Rivista,-,nocluster
"Glyn Philpot, e la Toscana","MAZZANTI, ANNA",2016,01.1 Articolo in Rivista,-,nocluster
Fede Cheti: 1936-1975. Tracce di una storia italiana,"LECCE, CHIARA",2013,01.1 Articolo in Rivista,-,nocluster
Activating new strategies for the Lombardy Region and the Italian-Swiss border area: A cultural design approach,"GUGLIELMETTI, ILARIA;TROCCHIANESI, RAFFAELLA",2016,01.1 Articolo in Rivista,-,nocluster
Wayfinding Design and Accessibility. Experimental Research of new ways to approach the Landscape and Cultural Heritage for wider range of users,"DE PAOLIS, ROBERTO;GUERINI, SILVIA",2015,01.1 Articolo in Rivista,-,nocluster
Analysis of Adaptive Traffic Control Systems Design of a Decision Support System for Better Choices,"STUDER, LUCA PASINO;KETABDARI, MISAGH;MARCHIONNI, GIOVANNA",2015,01.1 Articolo in Rivista,-,nocluster
La materia del futuro,"FERRARA, MARIA RITA;COGLIATI, NAIKE",2016,01.1 Articolo in Rivista,"Advanced Material, Material Design Culture, Design research, Madec, hydrophobic supermetal, aerographite, graphene, bullet-proof polymers, self-healing bio-concrete, bone polymer",nocluster
Piano digitale di emergenza,"BORGHETTI, FABIO",2017,01.1 Articolo in Rivista,tunnel safety,nocluster
La Rinascente. Un laboratorio creativo / A creative laboratory,"FERABOLI, MARIA TERESA",2017,01.1 Articolo in Rivista,-,nocluster
100 Record. Design Italia 1928 - 2016,"FINESSI, GIUSEPPE",2016,01.1 Articolo in Rivista,-,nocluster
SaloneSatellite. 20 anni di nuova creatività,"FINESSI, GIUSEPPE",2017,-,-,nocluster
Nuovi Maestri,"FINESSI, GIUSEPPE",2016,01.1 Articolo in Rivista,-,nocluster
L’abito fa il lavoro,"CAPPELLIERI, ALBA",2015,01.1 Articolo in Rivista,-,nocluster
Gioielli e design,"CAPPELLIERI, ALBA",2013,01.1 Articolo in Rivista,"design del gioiello, jewellery design, accessory design, fashion accessory, alba cappellieri, design innovation",nocluster
"Elio Fiorucci, il designer dei Comportamenti","CAPPELLIERI, ALBA",2015,01.1 Articolo in Rivista,"elio fiorucci, alba cappellieri, moda, design, accessorio moda, design del gioiello, jewellery design, museo del gioiello",nocluster
"'Ananke. Quadrimestrale di cultura, storia e tecniche della conservazione per il progetto (2015). Vol. 75","CONTE, SARA",2015,01.1 Articolo in Rivista,-,nocluster
Design-Intensive Start-Ups: A New Application Field for Design Thinking?,"CAUTELA, CABIRIO;RAMPINO, LUCIA ROSA ELENA;COLOMBO, SARA;SIMONELLI, GIULIANO",2017,01.1 Articolo in Rivista,-,nocluster
LA MADONNA ESTERHAZY DI RAFFAELLO,"MURANO, FRANCESCO",2015,01.1 Articolo in Rivista,-,nocluster
Non solo dolce dormire. La camera da letto è un territorio ibrido,"PICCINNO, GIOVANNA",2016,01.1 Articolo in Rivista,"interior, bedroom, hybrid space",nocluster
Made in Italy e design: costruire il brand moda,"Scarpellini, E.;Pouillard, V.;Segre, R.;TURINETTO, MARCO;Puccinelli, E.;Sergio, G.",2015,01.1 Articolo in Rivista,-,nocluster
SPACE RESEARCH INSPIRES INNOVATION IN FASHION,"DOMINONI, ANNALISA;Quaquaro, Benedetto",2017,01.1 Articolo in Rivista,-,nocluster
La silhouette come forma di rappresentazione privilegiata nel progetto della comunicazione.,"CIANCIA, MARIANA",2010,01.1 Articolo in Rivista,-,nocluster
From transmedia practice to transmedia design. The role of design in the development of transmedia projects.,"CIANCIA, MARIANA",2017,01.1 Articolo in Rivista,-,nocluster
Salvatore Ferragamo: 1927 il ritorno in Italia,"CAPPELLIERI, ALBA",2017,01.1 Articolo in Rivista,"Alba Cappellieri, Politecnico di Milano, Salvatore Ferragamo, accessory design, jewellery design, fashion design, design della moda, design del gioiello, design dell'accessorio, gioiello",nocluster
Suggestioni leonardesche nella cultura e nelle caricature di Anton Maria Zanetti dell'Album Cini,"MARANI, PIETRO",2017,01.1 Articolo in Rivista,"Zanetti Anton Maria, Leonardo da Vinci, caricature",nocluster
The New Aesthetic of DIY-Materials,"AYALA GARCIA, CAMILO;ROGNOLI, VALENTINA",2017,01.1 Articolo in Rivista,-,nocluster
"Material Tinkering. An inspirational approach for
experiential learning and envisioning in product
design education","PARISI, STEFANO;ROGNOLI, VALENTINA;Sonneveld, Marieke",2017,01.1 Articolo in Rivista,-,nocluster
New Vision On Knitwear Design. How the traditional craft methodologies are evolving into fashion international scenarios.,"AFFINITO, LAURA;CONTI, GIOVANNI MARIA;MOTTA, MARTINA",2017,01.1 Articolo in Rivista,-,nocluster
Micronarratives as the form of contemporary communication,"VENDITTI, SIMONA;PIREDDA, FRANCESCA;MATTANA, WALTER",2017,01.1 Articolo in Rivista,-,nocluster
Masters of Ceremonies. A design approach to participatory video,"PIREDDA, FRANCESCA;BERTOLOTTI, ELISA;VENDITTI, SIMONA",2017,01.1 Articolo in Rivista,-,nocluster
Storytelling in design for social innovation and politics: a reading through the lenses of Hannah Arendt,"Virginia Tassinari;Francesca Piredda;BERTOLOTTI, ELISA",2017,01.1 Articolo in Rivista,Hannah Arendt,nocluster
Empathy and Design. A new perspective,"DEVECCHI, ALICE;GUERRINI, LUCA",2017,01.1 Articolo in Rivista,-,nocluster
Methodological contributions to conservation and restoration of an inhabited interior. The case study of the University Campus by Giancarlo De Carlo in Urbino,"BARATIN, LAURA;DEVECCHI, ALICE;Gasparetto, F.;Moretti, E.",2017,01.1 Articolo in Rivista,-,nocluster
IN MIGRANTS’ SHOES. A GAME TO RAISE AWARENESS AND SUPPORT LONG-LASTING LEARNING,"Antonacci, Francesca;BERTOLO, MARESA;MARIANI, ILARIA",2017,01.1 Articolo in Rivista,-,nocluster
"Design actions with resilient local communities: Goals, drivers and tools","FASSI, DAVIDE;SEDINI, CARLA",2017,01.1 Articolo in Rivista,-,nocluster
Designing diagrams for Wikipedia,"MAURI, MICHELE;PINI, AZZURRA;CIUCCARELLI, PAOLO",2017,01.1 Articolo in Rivista,-,nocluster
Strategies in Design for social innovation within Alto Vale Project,"PRESTES JOLY, MAÍRA;Ricardo Straioto;Luiz Fernando Figueiredo",2014,01.1 Articolo in Rivista,-,nocluster
Persuasive Technology as key to increase Working Health Condition. The Case study of a Wearable System to prevent Respiratory Disease,"FERRARO, VENERE;STEPANOVIC, MILA;FERRARIS, SILVIA DEBORAH",2017,01.1 Articolo in Rivista,"Persuasive technology, wearable technology, health, human- centred approach",nocluster
A didactic tool for gender-sensitive practices in design education,"REINA, MARTA ISABELLA;BUCCHETTI, VALERIA LUISA",2017,01.1 Articolo in Rivista,-,nocluster
The Present Future In Fashion Design: The Archive As A Tool For Anticipation,"COLOMBI, CHIARA;VACCA, FEDERICA",2016,01.1 Articolo in Rivista,-,nocluster
Non c'è Italia senza spine,"IRACE, FULVIO",2017,01.1 Articolo in Rivista,-,nocluster
"Modello quantitativo per lo studio dell’accessibilità ferroviaria con veicolo bimodale in condizioni di emergenza
A quantitative model for the analysis of railway accessibility with bimodal vehicle in emergency conditions","BORGHETTI, FABIO;CALABRESE, VERONICA;MAJA, ROBERTO",2017,01.1 Articolo in Rivista,-,nocluster
