title,year,authors,internalAuthors,externalAuthors
Humanities e design: prove per un dialogo,2016,Celi manuela;Formia elena,Celi manuela,Formia elena
Design e narrazione,2016,Celi manuela;Rizzo francesca,Celi manuela;Rizzo francesca
Design tools to build sustainable business models for social innovation,2016,Komatsu tamami tiffany;Deserti alessandro;Rizzo francesca;Celi manuela,Komatsu tamami tiffany;Deserti alessandro;Rizzo francesca;Celi manuela
Communication design for gender cultures: a research  and a design project for concrete actions in the  places of education.,2015,Baule giovanni;Bucchetti valeria luisa;Caratti elena;Reina marta isabella;Tolino umberto,Baule giovanni;Bucchetti valeria luisa;Caratti elena;Reina marta isabella;Tolino umberto
The digital craftsman,2016,Ceconello mauro attilio;Nautech  ,Ceconello mauro attilio;Nautech  
Architectural perspective between image and building,2016,Rossi michela;Nexus network journal  ,Rossi michela;Nexus network journal  
"Synaesthesia of colour, taste and mood: the futuristic cuisine as a global art",2016,Rossi michela;Journal of the international colour association  ,Rossi michela;Journal of the international colour association  
L’altra città. modelli urbani e riferimenti simbolici tra mondo profano e sacralità,2016,Rossi michela,Rossi michela
"Il colore nell’abitare secondo giò ponti.  tra guerra e ricostruzione, le pagine della rivista stile.",2016,Rossi michela;Buratti giorgio,Rossi michela;Buratti giorgio
Il disegno come manifesto di stile. gio ponti e i codici della rappresentazione nel rinnovamento del progetto. design as manifesto of stile. gio ponti and representation codes for the project renewal.,2016,Iarossi maria pompeiana;Mele giampiero;Rossi michela,Iarossi maria pompeiana;Rossi michela,Mele giampiero
Road accessibility model to the rail network in emergency conditions,2016,Borghetti fabio;Malavasi gabriele;Journal of rail transport planning & management  ,Borghetti fabio;Journal of rail transport planning & management  ,Malavasi gabriele
Design della comunicazione per le culture di genere. strumenti comunicativi nei luoghi della formazione,2016,Baule giovanni;Caratti elena;Tolino umberto,Baule giovanni;Caratti elena;Tolino umberto
Systems and design: beyond processes and thinking,2016,Celi manuela;Formia e.;Franzato c.;Imbesi l.;Peduccio p. p.;Hernandis b.;Celaschi f.,Celi manuela,Formia e.;Franzato c.;Imbesi l.;Peduccio p. p.;Hernandis b.;Celaschi f.
Visual retailing. shaping the sense of spaces,2016,Iannilli valeria maria,Iannilli valeria maria
Narrative objectification: processes and methodology of value creation through narratives,2016,Iannilli valeria maria;Penati antonella valeria;Vacca federica,Iannilli valeria maria;Penati antonella valeria;Vacca federica
A case based discussion on the role of design competences in social innovation.,2016,Komatsu tamami tiffany;Celi manuela;Deserti alessandro;Rizzo francesca;Proceedings of drs  ,Komatsu tamami tiffany;Celi manuela;Deserti alessandro;Rizzo francesca;Proceedings of drs  
Politecnico di milano. a virtual campus,2016,Irace fulvio,Irace fulvio
Case con vista. houses with a view,2016,Irace fulvio,Irace fulvio
Università cattolica. architecture as urban art,2016,Irace fulvio,Irace fulvio
Interni inclusivi. dialoghi trasversali,2016,Barbara anna;Ceresoli j.;Chiodo simona,Barbara anna;Chiodo simona,Ceresoli j.
Facciate leggere,2016,Irace fulvio,Irace fulvio
The narratives and the supports. remediating design culture in the translation of transmedia artefacts.,2016,Ciastellardi matteo;De kerckhove derrick;Proceedings of drs  ,Ciastellardi matteo;Proceedings of drs  ,De kerckhove derrick
Networking democracy. a social media framework to enhance political reactivation in bottom-up environment.,2011,Ciastellardi matteo;Widmayer valentina,Ciastellardi matteo,Widmayer valentina
Traduzioni sinestesiche. teorie e pratiche per il progetto dell’accessibilità ai contenuti,2016,Ricco' dina,Ricco' dina
Ice block glass,2016,Murano francesco,Murano francesco
The cultural dimension of design driven innovation. a perspective from the fashion industry,2016,Bertola paola;Vacca federica;Colombi chiara;Iannilli valeria maria;Augello matteo;The design journal  ,Bertola paola;Vacca federica;Colombi chiara;Iannilli valeria maria;The design journal  ,Augello matteo
Due mappe del territorio,2013,Quaggiotto marco,Quaggiotto marco
Cartografie del sapere. interfacce per l'accesso agli spazi della conoscenza,2012,Quaggiotto marco,Quaggiotto marco
Partitioning a graph into minimum gap components,2016,Bruglieri maurizio;Cordone roberto;Electronic notes in discrete mathematics  ,Bruglieri maurizio;Electronic notes in discrete mathematics  ,Cordone roberto
Drawing food trends: design potential in shaping food future,2016,Celi manuela;Rudkin jennifer;Futures  ,Celi manuela;Rudkin jennifer;Futures  
Gioielli alla moda/ jewellery a la mode,2016,Cappellieri alba,Cappellieri alba
Transmedia design framework. un approccio design-oriented alla transmedia practice,2016,Ciancia mariana;Serie di architettura e design  ,Ciancia mariana;Serie di architettura e design  
Playn'rebus 2,2015,Menini marco;Minzoni marco;Caratti elena;Tolino umberto;Spinelli aldo;Hachen massimo,Caratti elena;Tolino umberto,Menini marco;Minzoni marco;Spinelli aldo;Hachen massimo
Earthsploitation. game design research and experimentation for food sustainability,2015,Bertolo maresa;Mariani ilaria;Ruffino giulia,Bertolo maresa;Mariani ilaria,Ruffino giulia
