title,year,authors,internalAuthors,externalAuthors
Humanities e design: prove per un dialogo,2016,Celi manuela
Design e narrazione,2016,Celi manuela;Rizzo francesca
Design tools to build sustainable business models for social innovation,2016,Komatsu tamami tiffany;Deserti alessandro;Rizzo francesca;Celi manuela
Communication design for gender cultures: a research  and a design project for concrete actions in the  places of education.,2015,Baule giovanni;Bucchetti valeria luisa;Caratti elena;Reina marta isabella;Tolino umberto
The digital craftsman,2016,Ceconello mauro attilio
Architectural perspective between image and building,2016,Rossi michela
"Synaesthesia of colour, taste and mood: the futuristic cuisine as a global art",2016,Rossi michela
L’altra città. modelli urbani e riferimenti simbolici tra mondo profano e sacralità,2016,Rossi michela
"Il colore nell’abitare secondo giò ponti.  tra guerra e ricostruzione, le pagine della rivista stile.",2016,Rossi michela;Buratti giorgio
Il disegno come manifesto di stile. gio ponti e i codici della rappresentazione nel rinnovamento del progetto. design as manifesto of stile. gio ponti and representation codes for the project renewal.,2016,Iarossi maria pompeiana;Rossi michela
Road accessibility model to the rail network in emergency conditions,2016,Borghetti fabio
Design della comunicazione per le culture di genere. strumenti comunicativi nei luoghi della formazione,2016,Baule giovanni;Caratti elena;Tolino umberto
Systems and design: beyond processes and thinking,2016,Celi manuela
Visual retailing. shaping the sense of spaces,2016,Iannilli valeria maria
Narrative objectification: processes and methodology of value creation through narratives,2016,Iannilli valeria maria;Penati antonella valeria;Vacca federica
A case based discussion on the role of design competences in social innovation.,2016,Komatsu tamami tiffany;Celi manuela;Deserti alessandro;Rizzo francesca
Politecnico di milano. a virtual campus,2016,Irace fulvio
Case con vista. houses with a view,2016,Irace fulvio
Università cattolica. architecture as urban art,2016,Irace fulvio
Interni inclusivi. dialoghi trasversali,2016,Barbara anna;Chiodo simona
Facciate leggere,2016,Irace fulvio
The narratives and the supports. remediating design culture in the translation of transmedia artefacts.,2016,Ciastellardi matteo
Networking democracy. a social media framework to enhance political reactivation in bottom-up environment.,2011,Ciastellardi matteo
